GPU Memory Track | 10-Oct-22-08:43:39 | Total Tensor Used Memory:522.6  Mb Total Allocated Memory:6901.0 Mb

+ | 1 * Size:(6858, 256)          | Memory: 6.6972 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 12116)           | Memory: 0.1848 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 1510)            | Memory: 0.0230 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 16784)           | Memory: 0.2561 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 11500)           | Memory: 0.1754 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 5676)            | Memory: 0.0866 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(7658, 256)          | Memory: 7.4785 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 24496)           | Memory: 0.3737 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2769, 256)          | Memory: 2.7041 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:()                   | Memory: 3.8146 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 4422)            | Memory: 0.0674 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1485, 256)          | Memory: 1.4501 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 5678)            | Memory: 0.0866 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 7632)            | Memory: 0.1164 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 17318)           | Memory: 0.2642 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2288, 256)          | Memory: 2.2343 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 16082)           | Memory: 0.2453 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 4560)            | Memory: 0.0695 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 5014)            | Memory: 0.0765 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(3039, 256)          | Memory: 2.9677 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 5822)            | Memory: 0.0888 M | <class 'torch.Tensor'> | torch.int64
+ | 100 * Size:(10,)                | Memory: 0.0009 M | <class 'torch.Tensor'> | torch.bool
+ | 1 * Size:(2, 2698)            | Memory: 0.0411 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 3850)            | Memory: 0.0587 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(7753, 256)          | Memory: 7.5712 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(4382, 256)          | Memory: 4.2792 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2586, 256)          | Memory: 2.5253 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 20098)           | Memory: 0.3066 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2746, 256)          | Memory: 2.6816 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2955, 256)          | Memory: 2.8857 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 12112)           | Memory: 0.1848 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 3506)            | Memory: 0.0534 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1251, 256)          | Memory: 1.2216 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(5956, 256)          | Memory: 5.8164 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(3498, 256)          | Memory: 3.4160 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 4498)            | Memory: 0.0686 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 15650)           | Memory: 0.2388 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(1848, 256)          | Memory: 1.8046 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2732, 256)          | Memory: 2.6679 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(1751, 256)          | Memory: 1.7099 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(3075, 256)          | Memory: 3.0029 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 4770)            | Memory: 0.0727 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 9728)            | Memory: 0.1484 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 14480)           | Memory: 0.2209 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(3872, 256)          | Memory: 3.7812 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(5812, 256)          | Memory: 5.6757 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 15264)           | Memory: 0.2329 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 36478)           | Memory: 0.5566 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 6894)            | Memory: 0.1051 M | <class 'torch.Tensor'> | torch.int64
+ | 6 * Size:(1, 1, 256)          | Memory: 0.0058 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 24742)           | Memory: 0.3775 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2038, 256)          | Memory: 1.9902 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 8248)            | Memory: 0.1258 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 24384)           | Memory: 0.3720 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 6096)            | Memory: 0.0930 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 15824)           | Memory: 0.2414 M | <class 'torch.Tensor'> | torch.int64
+ | 1 * Size:(2, 8938)            | Memory: 0.1363 M | <class 'torch.Tensor'> | torch.int64
+ | 9 * Size:(256, 256)           | Memory: 2.25 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 4852)            | Memory: 0.0740 M | <class 'torch.Tensor'> | torch.int64
+ | 9 * Size:(256,)               | Memory: 0.0087 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2735, 256)          | Memory: 2.6708 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(11107, 256)         | Memory: 10.846 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2406, 256)          | Memory: 2.3496 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(4448, 256)          | Memory: 4.3437 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2827, 256)          | Memory: 2.7607 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(698, 256)           | Memory: 0.6816 M | <class 'torch.Tensor'> | torch.float32
+ | 1 * Size:(2, 7590)            | Memory: 0.1158 M | <class 'torch.Tensor'> | torch.int64
