gene,p_val,logFC,p_val_adj
LCN2,0.7876226459464968,-9.878501,1.0
CYBA,0.03795224055549464,-9.211055,0.38572534124184454
ZDHHC14,0.8679242602502253,-8.634732,1.0
TCEA3,0.8457327587878665,-8.456909,1.0
STRBP,0.0298691165717146,-8.254858,0.3495481970396956
SSR3,0.003211227785154186,-7.5666523,0.12830314650684224
CD27,0.0006094937185696688,-7.2300053,0.07549336136417852
SLC1A4,0.001408628432913741,-7.1937275,0.09620603606677426
SLAMF7,4.818373022697973e-05,-7.0991883,0.043473679558874
SELENOI,0.13797944590607625,-6.8874497,0.6663952359969287
RPRD1B,0.5695385378993997,-6.019618,1.0
KLHL6,0.0005097502072849003,-5.7131176,0.07549336136417852
DNAJC4,0.018411275837147145,-5.6731668,0.2826179825359674
CREB3L2,0.0007054733878234012,-5.63993,0.07751388848709621
ADA2,0.01359356225913766,-5.3800073,0.246406131389727
GTF2H5,0.9893855322252728,-5.253922,1.0
GNG11,0.5345243618149541,-5.2151003,1.0
HMCES,0.0030018684288178133,-5.1984076,0.12565748006943414
DUSP5,0.014503434474090205,-5.072481,0.25300258020844013
RUSC2,0.8340325160990104,-5.0643063,1.0
TSC2,0.5101970356485178,-5.040004,1.0
RANGRF,0.30019181906881975,-5.032299,0.9483199745555437
TCEAL9,0.6056113021668712,-5.030697,1.0
SRM,0.006834565956887973,-4.866563,0.18083444624499154
MCU,0.6642653907496102,-4.8119984,1.0
KLF13,0.02541642766842869,-4.777583,0.32352270198703037
SNAI2,0.9655127077247841,-4.769863,1.0
LY9,0.0014749194370593517,-4.74183,0.09846487482343064
KIFAP3,0.5992395659450087,-4.60285,1.0
PRPS1,0.2947939801776863,-4.59797,0.9403291665756371
ACSF2,0.9165612653099597,-4.4964414,1.0
IDH3A,0.3853595794513872,-4.402036,1.0
MEF2B,0.004413583604464034,-4.3903584,0.14400970199388127
PRDX2,0.10351751264209627,-4.289773,0.5842754029877585
GEMIN7,0.06090942411775537,-4.2437744,0.46555985912614756
PPID,0.7507695889484572,-4.243559,1.0
PLCG2,0.006227346643469003,-4.1822753,0.17386762312099785
MSI2,0.003799124124836929,-4.1578574,0.1335155637563397
ZBTB21,0.11606789131422271,-4.140925,0.619703770115741
ERLEC1,0.004471564825210808,-4.0818324,0.14409185064049979
ATP2A3,0.011923822816551053,-4.0203266,0.23170422448666575
MAGEH1,0.03497659104760209,-3.9999382,0.37291079754390855
CLPTM1L,0.004322229735516789,-3.956008,0.1430676127099302
ATXN1,0.015395971147784104,-3.877593,0.2616488243826424
CHD6,0.4684218511322187,-3.8602004,1.0
IQCB1,0.16244852628951378,-3.8408234,0.7250382462489949
TPD52,0.0013607250908829087,-3.8036556,0.09401481392117635
AIMP2,0.9165612653099597,-3.7948685,1.0
SCRN2,0.3853595794513872,-3.7584858,1.0
CD38,0.004144646714441344,-3.7455668,0.1410249469158945
TUBG2,0.6971785715277496,-3.7354882,1.0
DAPK2,0.8236629769879859,-3.7250311,1.0
PRKAB1,0.5334308465634761,-3.599193,1.0
EIF2AK3,0.009457875759433656,-3.598467,0.2124297110486144
CDC37L1,0.5888791622324203,-3.5911262,1.0
NUGGC,0.002851167620840929,-3.5830445,0.12565748006943414
SLC1A5,0.03260616059354511,-3.5572803,0.3632541720929451
AARS,0.03673709454374661,-3.5527077,0.38003306392234926
KIAA1143,0.6003958023503906,-3.5303826,1.0
CLCN6,0.8444310007057065,-3.5017729,1.0
TP53INP1,0.005455995087419258,-3.463621,0.15956516501506007
MTHFD2,0.033983281585542986,-3.4384139,0.3672997218341435
WIPI1,0.02558064163405807,-3.379562,0.3240924043122776
NR1H2,0.2894615702544605,-3.3425114,0.9290626101334712
LPCAT4,0.17744683545132967,-3.3282764,0.752991749439045
SUPT4H1,0.4104149372190897,-3.321471,1.0
LCLAT1,0.9893855322252728,-3.2786286,1.0
C14orf119,0.24608446743701873,-3.215402,0.8728532274346141
DENND5B,0.005103625628520213,-3.197162,0.1574065588585708
PARD3,0.810744421298128,-3.1809824,1.0
HDAC5,0.42958353606475097,-3.1617827,1.0
ERGIC2,0.013436500975343341,-3.14194,0.24548766562573018
IRF4,0.016336502975200003,-3.1359,0.26924598966001506
MOB3B,0.7991615221818358,-3.0999546,1.0
GAB1,0.03342657840655042,-3.0976985,0.3672997218341435
SELENOK,0.01069103048733203,-3.0671704,0.22227790324647487
INPP5F,0.9747940894017304,-3.0318177,1.0
PIM2,0.00038706444170621046,-3.0236204,0.07290635234137692
SPAG4,0.008353203930024472,-3.003596,0.19904275991091444
JSRP1,0.012527377609869725,-3.0014422,0.23483852846553557
LRRK1,0.009901621697502794,-2.9992523,0.21455912398045957
GMPPB,0.0029058663535737714,-2.984899,0.12565748006943414
LOXL1,0.9284464097558582,-2.9774182,1.0
WDR59,0.7646865605775021,-2.9732597,1.0
USP53,0.6594420927749142,-2.9723132,1.0
ZNF275,0.020350355273814763,-2.9664402,0.29431747819222775
KNTC1,0.13600328870704917,-2.9308825,0.6644679504874178
SDF2L1,0.0030591970956008346,-2.913203,0.12704098804880945
DERL1,0.014671445696623481,-2.909095,0.2553703122243968
ERO1B,0.027800372908780645,-2.9043615,0.3378321813845832
CASP3,0.029931913883080263,-2.8596008,0.3500241991560206
ROBO1,0.9046947417762096,-2.8539734,1.0
NDUFB5,0.29632954038588033,-2.8535028,0.9403291665756371
FMC1,0.5992395659450087,-2.8395398,1.0
POU2AF1,0.012294333890396063,-2.8344522,0.23483852846553557
TOR3A,0.013467784322067354,-2.8343868,0.24549226214717704
CDRT4,0.1256253022925102,-2.826952,0.6370652348949027
RAB30,0.009276403545392657,-2.8226526,0.21179113549091286
MEGF9,0.869233067984871,-2.8194358,1.0
