gene_idx,gene_name
15525,AAK1
15526,ABI3
15527,ACLY
15528,ACVR1B
15529,ADCK5
15530,AKT1
15531,ALDH1A3
15532,ALOX15B
15533,ANG
15534,ANGPT1
15535,ANGPTL4
15536,AREG
15537,ARPC1B
15538,ATM
15539,AXL
15540,BCL6
15541,BEX3
15542,BHLHE40
15543,BLK
15544,BMP2
15545,BMP6
15546,BRAF
15547,C3
15548,CBX8
15549,CCL13
15550,CCL16
15551,CCL2
15552,CCL20
15553,CCL24
15554,CCL26
15555,CCL3
15556,CCL4
15557,CCL5
15558,CCL7
15559,CCL8
15560,CCN2
15561,CCND1
15562,CD44
15563,CD55
15564,CD9
15565,CDK18
15566,CDK4
15567,CDK6
15568,CDKN1A
15569,CDKN1B
15570,CDKN1C
15571,CDKN2A
15572,CDKN2AIP
15573,CDKN2B
15574,CDKN2D
15575,CHEK1
15576,CITED2
15577,CKB
15578,CLTB
15579,COL1A2
15580,CREG1
15581,CRYAB
15582,CSF1
15583,CSF2
15584,CSF2RB
15585,CTNNB1
15586,CTSB
15587,CXCL1
15588,CXCL10
15589,CXCL12
15590,CXCL14
15591,CXCL16
15592,CXCL2
15593,CXCL3
15594,CXCL8
15595,CXCR2
15596,CYP1B1
15597,DDB2
15598,DEK
15599,DKK1
15600,DPY30
15601,E2F1
15602,EDN1
15603,EGF
15604,EGFR
15605,EHF
15606,EIF2S2
15607,EREG
15608,ERRFI1
15609,ESM1
15610,ETS1
15611,ETS2
15612,EWSR1
15613,F3
15614,FAS
15615,FASTK
15616,FBXO31
15617,FGF1
15618,FGF2
15619,FGF7
15620,FILIP1L
15621,FN1
15622,FOS
15623,G6PD
15624,GADD45A
15625,GDF15
15626,GEM
15627,GLB1
15628,GMFG
15629,GRK6
15630,GSN
15631,GUK1
15632,HBS1L
15633,HDAC1
15634,HGF
15635,HK3
15636,HPS5
15637,HRAS
15638,HSPA2
15639,HTATIP2
15640,ICAM1
15641,ICAM3
15642,ID1
15643,ID4
15644,IFI16
15645,IFNG
15646,IGF1
15647,IGFBP1
15648,IGFBP2
15649,IGFBP3
15650,IGFBP4
15651,IGFBP5
15652,IGFBP6
15653,IGFBP7
15654,IGSF3
15655,IL10
15656,IL13
15657,IL15
15658,IL18
15659,IL1A
15660,IL1B
15661,IL2
15662,IL32
15663,IL6
15664,IL7
15665,ING1
15666,INHA
15667,IQGAP2
15668,IRF3
15669,IRF5
15670,IRF7
15671,ISG15
15672,ITGA2
15673,ITPK1
15674,ITPKA
15675,ITPKB
15676,JUN
15677,KITLG
15678,LCP1
15679,LIMK1
15680,MAP1LC3B
15681,MAP2K1
15682,MAP2K2
15683,MAP2K3
15684,MAP2K6
15685,MAP2K7
15686,MAP3K6
15687,MAP3K7
15688,MAPK12
15689,MAPK14
15690,MAPKAPK5
15691,MAST1
15692,MATK
15693,MCRS1
15694,MDM2
15695,MIF
15696,MMP1
15697,MMP10
15698,MMP12
15699,MMP13
15700,MMP14
15701,MMP2
15702,MMP3
15703,MMP9
15704,MOB3A
15705,MORC3
15706,MVK
15707,MXD4
15708,MYC
15709,NADK
15710,NAP1L4
15711,NDN
15712,NEK6
15713,NFE2L2
15714,NINJ1
15715,NME2
15716,NRG1
15717,OPTN
15718,PAK4
15719,PAPPA
15720,PDCD10
15721,PDIK1L
15722,PDPK1
15723,PDZD2
15724,PEA15
15725,PECAM1
15726,PEX19
15727,PGF
15728,PIAS4
15729,PIGF
15730,PIK3R5
15731,PKM
15732,PLAT
15733,PLAU
15734,PLAUR
15735,PML
15736,PMVK
15737,PPM1D
15738,PROX1
15739,PRPF19
15740,PSMB5
15741,PTBP1
15742,PTGER2
15743,PTGES
15744,PTTG1
15745,RAB13
15746,RAB31
15747,RAB5B
15748,RABGGTA
15749,RAC1
15750,RAF1
15751,RBL2
15752,RBP2
15753,RGL2
15754,RHOB
15755,RRAS
15756,RUNX1
15757,S100A11
15758,SCAMP4
15759,SELPLG
15760,SEMA3F
15761,SERPINB2
15762,SERPINB4
15763,SERPINE1
15764,SERPINE2
15765,SFN
15766,SGK1
15767,SIRT1
15768,SLC13A3
15769,SMARCB1
15770,SMPD1
15771,SMURF2
15772,SOD1
15773,SORBS2
15774,SOX2
15775,SOX5
15776,SP1
15777,SPARC
15778,SPIN1
15779,SPP1
15780,SPX
15781,SRC
15782,SREBF1
15783,SRSF1
15784,STAT1
15785,STAT5B
15786,STK32C
15787,STK40
15788,SUPT5H
15789,SYK
15790,TACC3
15791,TERF2
15792,TES
15793,TFAP2A
15794,TFAP4
15795,TGFB1I1
15796,THBS1
15797,TIMP2
15798,TLR3
15799,TMSB4X
15800,TNF
15801,TNFAIP2
15802,TNFAIP3
15803,TNFRSF10C
15804,TNFRSF11B
15805,TNFRSF1A
15806,TNFRSF1B
15807,TOP1
15808,TP53
15809,TP63
15810,TRIM28
15811,TSPYL5
15812,TUBGCP2
15813,TYK2
15814,UBTD1
15815,VEGFA
15816,VEGFC
15817,VIM
15818,WNT2
15819,WT1
15820,ZFP36
15821,ZNF148
