gene,p_val,logFC,p_val_adj
SLC41A2,0.37074386463464615,-10.143081,1.0
FAM118B,0.0046290020416836445,-9.096568,0.6728615444810612
SLC44A3,0.4910169080732616,-8.848999,1.0
TBC1D24,0.0013465872335137175,-8.503473,0.2676035385148308
FANCA,0.964435880351519,-7.792015,1.0
SHB,0.07688102747370172,-7.4944897,1.0
MCAT,0.7543792715260211,-7.1725664,1.0
PPIP5K1,0.9914378281127231,-7.111609,1.0
LIMD1,0.03445162969604691,-7.004362,1.0
SLC26A5,0.6739100703196528,-7.0025883,1.0
ERN1,0.04260001035178927,-6.879784,1.0
ITLN2,0.9091470305983818,-6.737227,1.0
EGR2,0.9023210943047588,-6.563874,1.0
CAPN3,2.7306380083718076e-06,-6.5342817,0.0014918699518842386
TOP1,0.09184964542204295,-6.493185,1.0
RB1CC1,0.5376507265774708,-6.42519,1.0
TMEM129,0.5197036746505114,-6.31173,1.0
INSYN1,0.8579724753617131,-6.2646213,1.0
ATAD1,0.5115034759328092,-6.21507,1.0
FAM47E,0.7483579249162068,-6.0677996,1.0
STT3A,0.34444849924737553,-6.058792,1.0
FAM153A,0.3038726622419603,-6.031713,1.0
ABCC9,0.5145218552907308,-6.0280075,1.0
ABHD14A,0.8223480847666791,-6.0027246,1.0
ZNF791,0.930203707629932,-5.998057,1.0
EIF4G1,0.45517971524647904,-5.9223447,1.0
STOML1,0.662030543409369,-5.9136004,1.0
REPIN1,0.589585627254336,-5.8135886,1.0
MAP3K20,0.19643992941550914,-5.7880898,1.0
MMP15,0.2107039949000491,-5.7666225,1.0
ZNF444,0.007438407949994658,-5.762167,0.8572953548494446
PPIC,0.563482683037188,-5.7236195,1.0
TARBP2,0.5241735991964807,-5.710714,1.0
JADE3,0.7073300999252596,-5.6807747,1.0
SC5D,0.1850666347929708,-5.671647,1.0
CNOT1,0.7365324293925778,-5.665854,1.0
PSMD8,0.7924982275129916,-5.651821,1.0
FUT8,0.3856284256708705,-5.6468205,1.0
GOLGB1,0.5731672383436237,-5.637123,1.0
HPCAL1,0.15166184061656865,-5.5877934,1.0
PLEKHA7,0.1980153054605136,-5.563842,1.0
SREBF1,0.023448821441985606,-5.557527,1.0
PDIK1L,0.7265266288948282,-5.5417666,1.0
HDLBP,0.35973859704143285,-5.5058517,1.0
ZDHHC11B,0.8174126657131658,-5.478944,1.0
SMPDL3A,0.6390674744083324,-5.4759617,1.0
SLC43A3,0.021798970981038647,-5.4746733,1.0
SCYL2,0.4332238076936168,-5.460365,1.0
FOXO4,0.9460141221586944,-5.4461303,1.0
YBX3,0.5822560457667951,-5.4156814,1.0
MYO5C,0.03304609881467607,-5.3572497,1.0
ZMYND19,0.3197422349054838,-5.348266,1.0
RAB11FIP2,0.5069933004406886,-5.3435616,1.0
RHNO1,0.821466238201382,-5.330073,1.0
SH3RF1,0.058708375926837676,-5.315573,1.0
NMRAL1,0.5276747562979591,-5.3105316,1.0
GCNT2,0.0447599187285217,-5.287687,1.0
FAM53A,0.8106676010317271,-5.270786,1.0
SMAD2,0.39400189115653417,-5.2505383,1.0
ZNF487,0.964435880351519,-5.2418075,1.0
SRP9,0.6967380913383898,-5.2036185,1.0
ST3GAL6,0.11180747133328461,-5.190328,1.0
ANTXR1,0.9579314069504411,-5.15526,1.0
ZNF391,0.8849905402225111,-5.151468,1.0
LRP11,0.5256515075549891,-5.1176524,1.0
RAB3D,0.3454135374405637,-5.1074204,1.0
PI4K2B,0.37916418842904376,-5.09896,1.0
WSB1,0.0001762075708563005,-5.0962996,0.062040727836605
SULF1,0.8926933604358148,-5.090146,1.0
RALGAPA2,0.26439863885200054,-5.077761,1.0
