gene,p_val,logFC,p_val_adj
ZNF787,0.5813982147924868,-10.819715,1.0
ITGAL,0.19801413872078966,-9.016483,1.0
CHCHD1,0.5967629704068699,-8.958951,1.0
SOX12,0.8995211830976172,-8.929159,1.0
AATF,0.36485862297926985,-8.775763,1.0
HK2,0.6447471462341574,-8.612832,1.0
IDUA,0.10357814377400396,-8.313542,1.0
MAN2B1,0.012901616160015892,-8.158873,1.0
DCAF15,0.6787116700218818,-7.991092,1.0
ATG7,0.04259218479678064,-7.6811852,1.0
CDV3,0.9986324095488984,-7.6394305,1.0
UNC13D,0.07354426832861512,-7.557451,1.0
CTSE,0.6711968753983151,-7.5504427,1.0
GLA,0.31380351666288786,-7.455065,1.0
ATP5F1A,0.7278804970573431,-7.3823957,1.0
ROR1,0.7703210618296609,-7.323829,1.0
KLHDC8B,0.333404406097244,-7.2850304,1.0
IPO9,0.7896108497913485,-7.2370453,1.0
KCTD17,0.17480233563892966,-7.2291203,1.0
SLC19A1,0.2479879228864914,-7.093872,1.0
BTAF1,0.6645445193293709,-6.83375,1.0
ERLIN1,0.6211582519094907,-6.7174377,1.0
MIF4GD,0.16906436179596018,-6.6684284,1.0
USP30,0.3143528012964394,-6.617214,1.0
TATDN3,0.6187395581090724,-6.578884,1.0
PCNX3,0.5421134026794309,-6.503812,1.0
CITED2,0.2899996097916123,-6.4778047,1.0
P3H1,0.7270224930851368,-6.3672276,1.0
LHFPL2,0.2073274653311833,-6.3425403,1.0
IVD,0.5005590615645666,-6.337573,1.0
INAFM2,0.6187395581090724,-6.3129478,1.0
ERAP2,0.7253075126852551,-6.145751,1.0
TRIR,0.35556052721923814,-6.130839,1.0
PLAAT3,0.4531523349714328,-6.094383,1.0
HHAT,0.897712468856811,-6.024723,1.0
TBCK,0.6645445193293709,-6.0179377,1.0
PYM1,0.4670321749673534,-5.88763,1.0
MFSD1,0.0750274045824825,-5.800732,1.0
CCDC174,0.8401644196230215,-5.786755,1.0
RASGRP4,0.23400626000965097,-5.778816,1.0
ZFP3,0.7270224930851368,-5.7462296,1.0
MPDZ,0.7984225334019558,-5.689656,1.0
CCDC30,0.8841646876198379,-5.682397,1.0
TSR3,0.7843366471186193,-5.6661763,1.0
SCART1,0.8841646876198379,-5.6398373,1.0
DVL3,0.8081450876690586,-5.630751,1.0
B3GALT4,0.6292500626079784,-5.6083636,1.0
SFTPC,0.06108855914753599,-5.5898423,1.0
SRGN,0.4181762096400594,-5.570164,1.0
MAMDC2,0.6203515638981864,-5.490735,1.0
TMEM86B,0.7133416323038849,-5.4804983,1.0
SH3TC1,0.028861205634197144,-5.4191923,1.0
SIRPB2,0.07720211530306288,-5.4149575,1.0
GCFC2,0.7278804970573431,-5.364478,1.0
TOR4A,0.6083064628469725,-5.3552966,1.0
NAT9,0.1543446918472085,-5.332376,1.0
SLC7A8,0.2784389424546668,-5.2584786,1.0
SMCO4,0.09223188033618797,-5.2582574,1.0
PFDN1,0.3886034906866105,-5.2578864,1.0
SHLD1,0.6043147103315237,-5.257285,1.0
TP53I13,0.04844888740320582,-5.2381654,1.0
YTHDC2,0.9558038454420292,-5.2222342,1.0
CDH26,0.7984225334019558,-5.216096,1.0
CD33,0.14278776963801185,-5.17362,1.0
REEP4,0.4983815858280718,-5.0528355,1.0
RENBP,0.04989764936219195,-5.0446057,1.0
RAD21,0.8986167601455717,-5.002738,1.0
MYO1G,0.04183934261102766,-5.002006,1.0
EXOSC10,0.8303500320812595,-4.973437,1.0
CCNYL1,0.35615585515587944,-4.945381,1.0
COQ2,0.04825409357254277,-4.9368215,1.0
APOC1,0.2060949707179569,-4.935295,1.0
EIF3A,0.5067558665325282,-4.92546,1.0
ZDHHC8,0.20548072288283414,-4.924118,1.0
POLRMT,0.4868539676847434,-4.9058933,1.0
PPP2R3A,0.5782694851105932,-4.8997154,1.0
POLR2E,0.32350722520628294,-4.8987684,1.0
CTNS,0.7966581020475424,-4.8642716,1.0
EDEM2,0.04020043336629812,-4.8383284,1.0
NIPBL,0.8250077605803332,-4.828115,1.0
UTP18,0.3246285414738215,-4.8130984,1.0
DNAJC5,0.22340397792419853,-4.811538,1.0
FAM49B,0.7611636163085891,-4.7649193,1.0
NKAP,0.8241181623137241,-4.7644706,1.0
SLC47A1,0.1165379621724893,-4.7453,1.0
SERPINI2,0.6333128048720618,-4.738815,1.0
DIAPH1,0.13908677083232587,-4.7214155,1.0
AC253572.1,0.8679522923262263,-4.6293335,1.0
SUMF1,0.298680001548706,-4.6144986,1.0
WDR4,0.7825807653112128,-4.595473,1.0
SLC66A1,0.5932008857547649,-4.55995,1.0
TMEM67,0.9849573889071359,-4.5556974,1.0
SPART,0.970375668686935,-4.5536075,1.0
OASL,0.11054376800079804,-4.5509906,1.0
DPH1,0.7141940440552486,-4.55079,1.0
