gene,p_val,logFC,p_val_adj
C9orf40,0.9260837547949367,-10.767736,1.0
PRPF8,0.7500105095739588,-10.5093155,1.0
C1GALT1C1,0.8375686754958054,-10.20777,1.0
SENP6,0.9832283939188193,-10.123705,1.0
FGFBP2,0.8431378724158543,-9.663064,1.0
TSPO,0.23299707537061465,-9.243624,1.0
EPHA1,0.9459801117155868,-9.062867,1.0
MTFR1,0.7781013150253693,-8.902703,1.0
MT-ND1,0.031149914482317135,-8.157418,1.0
UBR2,0.5881462017947363,-7.9687486,1.0
ATP6V0E2,0.6331888602724569,-7.966094,1.0
NRSN2,0.7397558776194143,-7.8863044,1.0
TBC1D19,0.8738331021587021,-7.7877517,1.0
C19orf25,0.780767067383039,-7.6308403,1.0
ATL2,0.6840949181474163,-7.593141,1.0
SACM1L,0.1596673263274555,-7.531001,1.0
GLCE,0.7707840368349657,-7.4976234,1.0
VCP,0.7831684505644674,-7.4241905,1.0
TPRN,0.7984243215515079,-7.394327,1.0
KRAS,0.7396247034203973,-7.346296,1.0
PARP4,0.5349951604730329,-7.286277,1.0
ALG12,0.8194250133742305,-7.2777348,1.0
CERS6,0.7271981919327941,-7.11741,1.0
TMTC2,0.6573757622211572,-6.980439,1.0
PDIA5,0.5212494565075065,-6.860613,1.0
UQCC3,0.9191854580675919,-6.810052,1.0
NPEPL1,0.3175605813657091,-6.8011866,1.0
SRR,0.9128443802114355,-6.798909,1.0
BRIX1,0.921116390735085,-6.5753493,1.0
PRICKLE1,0.7015314302812687,-6.4443374,1.0
PSMB7,0.8790373030578695,-6.436188,1.0
PRRC2A,0.6422459720594585,-6.3882446,1.0
TOMM40,0.9037560969801759,-6.278211,1.0
NCSTN,0.5544948576771429,-6.2170897,1.0
DGKD,0.7434318158327538,-6.155629,1.0
MAGIX,0.7986926752904842,-6.150625,1.0
PRPF3,0.8810930452955057,-6.1246557,1.0
ARF3,0.8454493709880656,-6.0650296,1.0
PPM1L,0.8752021090724015,-6.0569253,1.0
CWF19L1,0.8700019045828926,-6.053727,1.0
EIF4EBP3,0.9082987381837705,-6.017244,1.0
GSTO2,0.8630315478340194,-5.9258304,1.0
STEAP3,0.6922800510889805,-5.863066,1.0
ENY2,0.47316327033248906,-5.8597608,1.0
GPR39,0.8528005144336018,-5.8571677,1.0
MED17,0.8093113586711532,-5.8192115,1.0
ABHD11,0.6171957978357112,-5.7656574,1.0
VRK2,0.8182097519409397,-5.7304916,1.0
ACTB,0.0007853621688480554,-5.692962,1.0
MEIS3,0.7564753224689191,-5.6847134,1.0
SFMBT1,0.7781013150253693,-5.6107597,1.0
ARV1,0.8575720243032582,-5.559295,1.0
PMEPA1,0.7484299433543731,-5.509186,1.0
PLPP6,0.7577967855474489,-5.4989257,1.0
GSDME,0.8624852965461556,-5.4659557,1.0
TXNDC15,0.8233437928688567,-5.3875155,1.0
UIMC1,0.8164551459672316,-5.3743787,1.0
ETV6,0.7158806333338352,-5.3422346,1.0
TENT2,0.8879512313592336,-5.3378377,1.0
LCORL,0.6892063502221764,-5.3357196,1.0
ABRACL,0.8648073154994618,-5.332687,1.0
RAVER2,0.6220979032130158,-5.3092475,1.0
ANTKMT,0.9865546396176997,-5.2976384,1.0
FIZ1,0.8927569892041612,-5.238959,1.0
SIRT7,0.5072427111342886,-5.235257,1.0
GRHL2,0.578724188765327,-5.21081,1.0
ERI1,0.807023286414767,-5.196773,1.0
CTHRC1,0.8724644728643514,-5.1935015,1.0
NMT2,0.34230428113374467,-5.1870723,1.0
EXOC1,0.6826917957851129,-5.176617,1.0
SPG7,0.2946594447853873,-5.1447268,1.0
HDLBP,0.4219794335395781,-5.1131077,1.0
NBEAL1,0.5690200485556487,-5.0695815,1.0
IGHA1,0.2800997464930627,-5.0480165,1.0
TNKS2,0.926359805778422,-4.9959326,1.0
TAX1BP1,0.6080503027934243,-4.9822593,1.0
PIGW,0.8930317246359382,-4.9393487,1.0
PITPNM2,0.48906103050970473,-4.9366536,1.0
NDUFS4,0.5777740289022291,-4.9311194,1.0
TMEM44,0.4675019455823979,-4.8886657,1.0
CTDSP1,0.3736353646211076,-4.8673034,1.0
KLF9,0.3219545600286561,-4.858324,1.0
UBB,0.3841767082184875,-4.7950835,1.0
VAMP2,0.45660790876535595,-4.7834187,1.0
PTBP2,0.8589362772147844,-4.7830763,1.0
RECQL,0.9111910815755443,-4.7500134,1.0
DRG2,0.8017804449814571,-4.7257237,1.0
DISC1,0.657627046887864,-4.703577,1.0
TCIRG1,0.27213310934225354,-4.6793156,1.0
HDAC4,0.9585716939311147,-4.6760902,1.0
ABI1,0.6625348027670321,-4.6753755,1.0
ALKAL2,0.8431378724158543,-4.6715016,1.0
MOB4,0.9266358656273478,-4.668031,1.0
ACSL4,0.529406767758583,-4.657536,1.0
STOM,0.20601501510837705,-4.6311803,1.0
PRR5L,0.5485738733897467,-4.5978613,1.0
YIF1A,0.5012535259065035,-4.5899177,1.0
RUNX1T1,0.5959512542704883,-4.5805855,1.0
SLC38A9,0.9571874408291615,-4.5732665,1.0
ZDHHC18,0.40589649727340527,-4.556652,1.0
PFN2,0.48949760747055615,-4.5481596,1.0
RSBN1L,0.8764345348293605,-4.5195274,1.0
KDM4C,0.7029487811192208,-4.5029283,1.0
PPDPF,0.3945120677504824,-4.496918,1.0
PDLIM4,0.7204263352731451,-4.4907646,1.0
PDCD6IP,0.512150436348916,-4.471442,1.0
LPAR6,0.8056781311620723,-4.4480433,1.0
HTRA1,0.5436060478669871,-4.4441576,1.0
STARD7,0.7568716868208227,-4.4231825,1.0
LGI4,0.8721907926741183,-4.422918,1.0
TPK1,0.7092749260542102,-4.420627,1.0
UQCRC1,0.5231696375969982,-4.4136534,1.0
PSMC6,0.7871753394972922,-4.3865767,1.0
CDC42EP3,0.8409635776954227,-4.3863287,1.0
ARHGEF12,0.2738052896265739,-4.3676257,1.0
SPTLC1,0.9158764025139365,-4.357299,1.0
AMT,0.8008403588023305,-4.3478737,1.0
GIGYF1,0.6103614459103762,-4.3471093,1.0
GDAP2,0.7685264197726683,-4.34146,1.0
SLC7A6,0.5140532144649435,-4.331907,1.0
PGAM5,0.9789324330255649,-4.3121076,1.0
LSP1,0.10436472678843267,-4.292712,1.0
IKBKE,0.07365502400785355,-4.275097,1.0
ZNF277,0.7877100198572158,-4.254864,1.0
DMPK,0.6783618184181597,-4.2510295,1.0
FBXO3,0.8225326459483973,-4.249379,1.0
TCEAL3,0.729547301139046,-4.2344565,1.0
TMEM9,0.6517321408020049,-4.2332997,1.0
PLCG2,0.6737886858946429,-4.218929,1.0
SHLD2,0.9186338500364948,-4.1969957,1.0
PDE3A,0.8627584139875548,-4.187679,1.0
ZFC3H1,0.5640799181711098,-4.1432753,1.0
PLK1,0.9861388449376076,-4.1333866,1.0
GPR137,0.9176686303633481,-4.122456,1.0
ASAP2,0.3730757478745367,-4.1165533,1.0
INTS3,0.459133500420442,-4.0977883,1.0
TMEM108,0.7199063225060466,-4.08861,1.0
MT-ND2,0.008578761768749388,-4.0629654,1.0
SYNGR2,0.015062787838228318,-4.059333,1.0
GLOD4,0.9379615443792856,-4.057266,1.0
FAM98A,0.9769925144492684,-4.0409307,1.0
MAP3K21,0.883012461466109,-4.02239,1.0
PLK2,0.6922800510889805,-4.002658,1.0
DESI2,0.682309316038161,-3.9979112,1.0
JMJD8,0.7802337096254179,-3.9880016,1.0
ALDH1B1,0.8919328602555378,-3.9593284,1.0
NOL10,0.9465333274994788,-3.9533482,1.0
NR1H3,0.5680774799064352,-3.9437003,1.0
TMED10,0.7209464773876195,-3.9430761,1.0
CIRBP,0.0014197849520357598,-3.9418097,1.0
TM2D3,0.8587998328989592,-3.9384148,1.0
TMED1,0.8091767208442808,-3.9297593,1.0
ASRGL1,0.4982730409364603,-3.9292796,1.0
FHAD1,0.8528005144336018,-3.9060903,1.0
CLINT1,0.6309639560789158,-3.8965452,1.0
RTF2,0.8259136662453781,-3.8772671,1.0
TAF11,0.9940394589303283,-3.876754,1.0
MMAB,0.44949463652151367,-3.8747797,1.0
BCDIN3D,0.9656332394316541,-3.8737035,1.0
ZNF569,0.9864160409796433,-3.8407826,1.0
OXA1L,0.6402562322467578,-3.8397598,1.0
TXNIP,0.4832962376524782,-3.8378563,1.0
EFCAB13,0.7592512127207868,-3.837656,1.0
TNF,0.6456094818994687,-3.833603,1.0
PARL,0.8533455607361184,-3.8275099,1.0
DYRK2,0.20801594661420564,-3.8166144,1.0
CHCHD10,0.7957420988219625,-3.8117702,1.0
SERBP1,0.6572501344076316,-3.8012877,1.0
TRIAP1,0.9025177350031229,-3.8006096,1.0
DENND2A,0.622343451479785,-3.793444,1.0
UHRF2,0.6696072071655181,-3.78877,1.0
NOM1,0.9495764680291402,-3.7870443,1.0
SSR3,0.61401853326708,-3.7694142,1.0
SARDH,0.5966740947223356,-3.764069,1.0
ZNF830,0.8288916391311002,-3.761358,1.0
TRIM21,0.9044441772252494,-3.758968,1.0
GABRE,0.4664379972236339,-3.7529843,1.0
NLK,0.7849040698975559,-3.748258,1.0
PSPC1,0.5217009372393986,-3.7461805,1.0
ACOT11,0.882189769753243,-3.737656,1.0
TNFSF10,0.5349951604730329,-3.735409,1.0
HSPD1,0.6114575570046364,-3.734679,1.0
PSMC3IP,0.892482266641794,-3.7317264,1.0
KANK1,0.7305921665476253,-3.7222674,1.0
STX6,0.6993430216921899,-3.7131207,1.0
POLD3,0.8540269670508177,-3.710893,1.0
IL18RAP,0.7082407019807484,-3.7091618,1.0
CORO2A,0.9396200692579669,-3.705626,1.0
FERMT3,0.5196708592310755,-3.7006261,1.0
