gene,p_val,logFC,p_val_adj
SSBP1,0.8975537493082293,-12.51477,1.0
MST1R,0.7477908582541045,-9.617068,1.0
LMNTD2,0.6935077300645074,-9.511182,1.0
TBC1D7,0.7567210390884511,-9.453433,1.0
PTK6,0.7579639460581177,-9.396608,1.0
PLEKHA4,0.9624680912982435,-8.725578,1.0
YBX3,0.007039442891010311,-8.60208,1.0
RFX1,0.22562406615068598,-7.3122997,1.0
IQSEC2,0.5146568945472935,-7.175517,1.0
CNTNAP1,0.8216061179826841,-7.0915494,1.0
NR3C2,0.7337207988074896,-7.089259,1.0
DIP2C,0.5493963445038288,-6.8802075,1.0
ZCCHC2,0.7661826901241222,-6.577369,1.0
FBXW8,0.8170337576979065,-6.5391192,1.0
TARS2,0.6690653751837194,-6.4726844,1.0
EIPR1,0.7791866686645307,-6.4478006,1.0
LOX,0.44232983413695304,-6.4201283,1.0
GP1BB,0.5807689525882659,-6.3438573,1.0
C1D,0.7322448349701247,-6.197841,1.0
EFNA5,0.6879671777437749,-6.1771426,1.0
BLOC1S6,0.8563382811735387,-6.096908,1.0
DBF4B,0.8366350399506294,-6.0863795,1.0
TMEM144,0.8106936051544603,-6.0407705,1.0
SFTA3,0.7158316218095377,-6.027064,1.0
CASD1,0.5106586160277774,-5.9741135,1.0
HYI,0.48906428468238206,-5.939394,1.0
DESI2,0.829749645533349,-5.842147,1.0
ZMYM3,0.6300354752303161,-5.8326173,1.0
TRMT1L,0.3019293181559978,-5.7987237,1.0
CAMKMT,0.49420990995267033,-5.7661457,1.0
MIGA2,0.6595732997250023,-5.6967015,1.0
POLR1D,0.7190062991326871,-5.602593,1.0
TNPO2,0.8051245105764695,-5.600531,1.0
C9orf16,0.6681137525894363,-5.508642,1.0
OMA1,0.48353958664821217,-5.46981,1.0
NCBP3,0.3203472338179092,-5.4576817,1.0
SRSF10,0.6398188677561281,-5.447168,1.0
SLC25A27,0.13966078537192134,-5.3826456,1.0
PLA2G6,0.07177071965079393,-5.3782463,1.0
TRIM32,0.2119183262238573,-5.366892,1.0
MLXIP,0.377961620679129,-5.358171,1.0
PGAP2,0.5104486309846862,-5.300392,1.0
COL4A5,0.10372681366722224,-5.2857866,1.0
H2AFJ,0.5830095362161298,-5.2266464,1.0
AHSA1,0.3683164871650282,-5.214545,1.0
NRBP2,0.38008651004986005,-5.2081704,1.0
PCSK6,0.5448286505541109,-5.184852,1.0
MAP3K9,0.8272027840693884,-5.1832705,1.0
