gene,p_val,logFC,p_val_adj
MMD,0.6596613583567845,-13.024635,1.0
CYBC1,0.015315303294891352,-12.85467,1.0
PTK2B,0.1112062376649807,-12.530577,1.0
SERINC5,0.6180668361545907,-10.654689,1.0
YJU2,0.626862024419049,-10.352869,1.0
FNBP1,0.0755467876022077,-8.444268,1.0
LYAR,0.9841825195347977,-7.9995365,1.0
AP1S3,0.8832949472664975,-7.9684796,1.0
SLC31A2,0.4239651664378291,-7.7098346,1.0
TLE4,0.8788019242124998,-7.6758842,1.0
ANO8,0.9049780734579211,-7.2707314,1.0
PRKCB,0.3974566744584266,-7.0380316,1.0
CLASRP,0.1810978557599514,-7.0096617,1.0
PPFIBP2,0.2186072727352827,-6.9612193,1.0
SLA,0.16987536465255915,-6.937729,1.0
DPM1,0.6399282635500239,-6.561565,1.0
DEF6,0.23564253629809084,-6.354172,1.0
LFNG,0.009716439504481988,-6.301699,1.0
MYO9B,0.29114817763467615,-6.1998196,1.0
CFAP410,0.7761750315861885,-6.143186,1.0
SLC37A2,0.10117264513411046,-6.1125073,1.0
ZNF175,0.7067206251527438,-6.0319796,1.0
CCNT1,0.7262552911160782,-5.9433312,1.0
AP2S1,0.8671718587943419,-5.895818,1.0
RNH1,0.3576877746274071,-5.8534303,1.0
ZNF169,0.706407086646793,-5.7920604,1.0
SPNS1,0.5620545669145189,-5.783824,1.0
MVB12B,0.5864843253113204,-5.7788477,1.0
FZR1,0.8370740304178826,-5.6854186,1.0
P4HTM,0.7881607409820417,-5.6840267,1.0
KLHL6,0.26274196231988656,-5.6796174,1.0
USF2,0.4435351709825489,-5.631588,1.0
TNFSF13B,0.1155307233909375,-5.5709376,1.0
WDFY2,0.08486368885577805,-5.5647764,1.0
ZNF282,0.8487896803804973,-5.551026,1.0
RAB35,0.40158695961372026,-5.5363145,1.0
NEK9,0.7894595586895328,-5.505518,1.0
SLC2A9,0.48682261552992945,-5.3897505,1.0
SPG11,0.5993207083267063,-5.2592025,1.0
SSH3,0.6719247120260552,-5.256752,1.0
UROD,0.7167798721760361,-5.2214336,1.0
NAE1,0.9582850632904879,-5.1790867,1.0
PRDM1,0.8093370165295779,-5.1625137,1.0
DDX21,0.9956246875334885,-5.160047,1.0
CNEP1R1,0.7805421885462305,-5.144736,1.0
TASOR,0.673463873734453,-5.1400332,1.0
REEP4,0.4785363046202318,-5.1365914,1.0
PTPN2,0.6780895477183368,-5.1121564,1.0
ZBTB7A,0.485898102120083,-5.026876,1.0
KDM1B,0.45707626036045335,-4.97881,1.0
NAAA,0.08866764524531091,-4.967058,1.0
FAM110A,0.46219736511334,-4.959098,1.0
EDEM3,0.676546297231104,-4.9386635,1.0
MMP14,0.5167661419199094,-4.917787,1.0
PRRC1,0.9049780734579211,-4.866816,1.0
PACS2,0.7901091872388105,-4.8542747,1.0
NCOA3,0.6825725970074947,-4.844587,1.0
SETD1B,0.5667581500978028,-4.815575,1.0
FAM53C,0.6459737376830834,-4.814696,1.0
CCDC88B,0.10807065327924595,-4.813101,1.0
IER5,0.3426788232993776,-4.7418776,1.0
CLCN5,0.40028610257613706,-4.7262836,1.0
C1orf216,0.7901091872388105,-4.7126284,1.0
DOK1,0.4159422644265799,-4.712445,1.0
DTX2,0.7579758168936599,-4.71071,1.0
GGA2,0.1458834672041596,-4.6943073,1.0
TGOLN2,0.49172507967326506,-4.6911373,1.0
PDE6B,0.8280231565635221,-4.6316977,1.0
PDLIM7,0.9882206814727238,-4.5960035,1.0
NISCH,0.9998317179091483,-4.5953927,1.0
NCAPH2,0.99899030771689,-4.5201178,1.0
ACADVL,0.2201905016888669,-4.4537153,1.0
AGPAT4,0.3867227358336145,-4.4517403,1.0
TRIM41,0.6559999275392497,-4.447062,1.0
N4BP2,0.7490055037680214,-4.438786,1.0
PWWP2B,0.7221440323842376,-4.4374347,1.0
ST3GAL6,0.4595048015533759,-4.412076,1.0
WASF2,0.552563296878666,-4.3895307,1.0
VPS33B,0.705310094486131,-4.3459435,1.0
SLC25A39,0.6312047103064021,-4.3313212,1.0
FRMD4A,0.4374114345043074,-4.3169904,1.0
FCGR2A,0.026718020165147797,-4.308692,1.0
RALBP1,0.9121666196722072,-4.304228,1.0
CD276,0.676546297231104,-4.2927465,1.0
HGSNAT,0.3824561758850864,-4.278957,1.0
UBXN2B,0.5719107566277254,-4.251712,1.0
ATP5F1E,0.6867565662034998,-4.231317,1.0
ABRAXAS2,0.7742363329007518,-4.213831,1.0
ATP13A1,0.6216380342396601,-4.139633,1.0
STK32C,0.5674724571893048,-4.130521,1.0
AGO3,0.6948415839768348,-4.128459,1.0
MYNN,0.8736480860361109,-4.112209,1.0
SORL1,0.6411354641918638,-4.111028,1.0
ZNF621,0.7933595097514103,-4.052762,1.0
TMEM67,0.9160146466493437,-4.0514803,1.0
TBC1D10A,0.7852405588486702,-4.02763,1.0
ATG101,0.9730799746429135,-4.022901,1.0
C5AR2,0.17384581775366958,-4.021522,1.0
YIF1A,0.9525724140251371,-4.012181,1.0
TTBK2,0.8219471323042596,-4.00437,1.0
RPE,0.6763920467388824,-3.9941332,1.0
PTGS1,0.4471823736794699,-3.9591546,1.0
LUC7L,0.5370141012230811,-3.9560978,1.0
MSRA,0.6139118202137522,-3.9425306,1.0
BSCL2,0.9270674325521305,-3.9389267,1.0
CLCN7,0.1608758803159871,-3.9292717,1.0
FES,0.3350102827233906,-3.9069202,1.0
SLC8B1,0.4486965357961171,-3.8831642,1.0
ZBBX,0.7959623576428356,-3.8536167,1.0
RNF220,0.6605779957275575,-3.8491838,1.0
PLEKHA2,0.5477770954022827,-3.8447807,1.0
MTO1,0.8398760008218232,-3.844085,1.0
MPV17,0.22912701530441093,-3.8348975,1.0
ARL8A,0.7208806359641298,-3.811925,1.0
TXNL4B,0.9063149058996717,-3.798762,1.0
RGS14,0.4652853331877641,-3.7797031,1.0
SRGN,0.9069834219120054,-3.7673285,1.0
TACC3,0.6518906785552103,-3.7525997,1.0
ITGB3,0.8568948177067455,-3.7501266,1.0
TRIM38,0.07523507449195865,-3.7488554,1.0
MAN2B1,0.33184794305686405,-3.7465405,1.0
HIVEP3,0.7912463879920182,-3.7392232,1.0
MYD88,0.11049807475943549,-3.7261176,1.0
TNNI2,0.7706857142624441,-3.693639,1.0
IL27RA,0.8816304189537065,-3.6736455,1.0
FASN,0.5830057406675035,-3.6235745,1.0
CLCN6,0.5302207136484136,-3.6203496,1.0
CDK5RAP3,0.25747574526884043,-3.6196482,1.0
ZNF557,0.8127713799906069,-3.6061027,1.0
UBXN10,0.7855648751380608,-3.6055543,1.0
ANGEL1,0.7842678338514966,-3.6037683,1.0
CYB5R4,0.28874492346767766,-3.603132,1.0
FNDC3B,0.8746451917738431,-3.6026156,1.0
LAMP1,0.5744953829705404,-3.591485,1.0
PCIF1,0.8206347870147688,-3.581458,1.0
PLA2G7,0.441655374712593,-3.568643,1.0
TIMM8B,0.9215391453542142,-3.5633845,1.0
BTN2A2,0.2784232584756797,-3.5301018,1.0
ODF3B,0.02131842277611534,-3.5228493,1.0
