gene,p_val,logFC,p_val_adj
PSMD8,0.6955467769522449,-13.816851,1.0
RBMS2,0.3876135265521832,-10.8628645,1.0
GABARAP,0.3460958293275822,-9.602977,1.0
ERO1B,0.7301384497687265,-9.563999,1.0
PPP1R15A,0.5367555523344434,-8.958011,1.0
ARHGAP10,0.7696871170465882,-8.859819,1.0
ISG20L2,0.8459961781513619,-7.92345,1.0
CAMK2N1,0.34740776914888294,-7.9213586,1.0
INAFM2,0.8769225160506031,-7.8011594,1.0
AIF1L,0.5853611855466072,-7.7160845,1.0
ADORA2A,0.7177851418740693,-7.5922647,1.0
PSMB1,0.27080069380304184,-7.5801225,1.0
SWAP70,0.32790265506460226,-7.493056,1.0
POFUT1,0.8728878817321677,-7.461213,1.0
CFL1,0.021238615473083564,-7.078848,1.0
SEPSECS,0.9336960858607264,-7.0632744,1.0
TUSC3,0.36137367324505354,-6.951222,1.0
TMEM150A,0.9161581444318581,-6.9259424,1.0
TM9SF3,0.18193922690799014,-6.9006815,1.0
TAP1,0.27817798825973217,-6.871814,1.0
COBLL1,0.27952740759598105,-6.764681,1.0
FHL1,0.7569995587722389,-6.4041796,1.0
SLC3A2,0.027521464344140358,-6.3544517,1.0
KLF2,0.0012383112411241248,-6.3427567,1.0
DRC3,0.7846493334732166,-6.315213,1.0
IER2,0.022144718774705415,-6.255539,1.0
EVA1C,0.7590691160701926,-6.1712036,1.0
CCHCR1,0.9179356414880377,-6.1496983,1.0
ARL6IP1,0.6484076891650925,-6.122132,1.0
SH2D3C,0.05150419235257997,-6.105429,1.0
TUBB,0.10412160850950916,-6.101607,1.0
LHFPL6,0.11593313886909457,-6.098914,1.0
KCTD10,0.7682199448505499,-6.088145,1.0
FAM50A,0.7824366342329562,-6.0203485,1.0
NOP9,0.9599332987581448,-6.018686,1.0
DNALI1,0.6785975781764295,-5.9625053,1.0
ITPRIP,0.35492947983720724,-5.95059,1.0
BCL6,0.9969362963000201,-5.93828,1.0
RAB21,0.5318094659500532,-5.609314,1.0
SF3A3,0.7031294814160919,-5.5665526,1.0
STYXL1,0.9780461737210382,-5.5482316,1.0
PRX,0.3017985134291836,-5.5421233,1.0
ACTG1,0.0005163415110161772,-5.518191,1.0
PSMA2,0.6715825148629925,-5.50967,1.0
IL6ST,0.00810037871488393,-5.3648114,1.0
TUBG1,0.5205321713479452,-5.364096,1.0
COX6C,0.6685514716940033,-5.2513795,1.0
GLRX2,0.8810865834649572,-5.232113,1.0
PRICKLE1,0.5829434534294181,-5.2252765,1.0
CMC2,0.8477503285669389,-5.221552,1.0
AKIRIN2,0.8842433764685023,-5.1521635,1.0
CCDC107,0.9303891135984057,-5.1504645,1.0
CD247,0.8865174089058777,-5.128927,1.0
TRIM22,0.8222687842417096,-5.122376,1.0
POLRMT,0.9039813460820019,-5.096948,1.0
C1QA,0.774828683718149,-5.071488,1.0
EZR,0.7217351512523416,-5.062943,1.0
ARPP19,0.525737782872229,-5.016578,1.0
ACKR1,0.2712883017952057,-5.0156374,1.0
ATP5ME,0.7064562774555172,-4.987161,1.0
SF3B5,0.5030338608246616,-4.9647694,1.0
NRSN2,0.83348922392781,-4.934379,1.0
ARF3,0.8956227015762113,-4.9036074,1.0
PCDHGC3,0.670999205090081,-4.8966775,1.0
RNF130,0.7848952967855076,-4.8901825,1.0
SLC27A1,0.8953695853354041,-4.7581325,1.0
CHCHD3,0.683994756814928,-4.7368608,1.0
CERK,0.901953994740128,-4.7277784,1.0
GIMAP4,0.053788511896455254,-4.69922,1.0
SPHK1,0.6064327122809674,-4.642947,1.0
XRCC1,0.931152156472443,-4.636681,1.0
HERC2,0.9094329189306732,-4.623298,1.0
ZMYM1,0.8744004880117271,-4.6014633,1.0
HEYL,0.8133184145201611,-4.5698395,1.0
CPE,0.6298812694178584,-4.560837,1.0
VPS25,0.8832330002736305,-4.551987,1.0
ICA1L,0.81406336545078,-4.549619,1.0
RASSF9,0.890815339049975,-4.5189614,1.0
IQSEC2,0.9510114398880821,-4.487701,1.0
PI3,0.8885395564126771,-4.4488244,1.0
HAX1,0.7489814327042721,-4.4413505,1.0
LGALS1,0.026416046667040324,-4.4174633,1.0
RERG,0.9308978017815647,-4.3781404,1.0
POLE3,0.8100922533274405,-4.3450503,1.0
TMEM47,0.46918797414011937,-4.3262305,1.0
TMBIM4,0.4820544858436643,-4.325571,1.0
CDK2AP1,0.3407985826872033,-4.2974586,1.0
DEPP1,0.006374807574307976,-4.2961426,1.0
LCA5,0.9795774889426937,-4.294686,1.0
MAP1LC3A,0.8623129488824872,-4.2932315,1.0
PRKACA,0.1002937428649182,-4.281413,1.0
C1orf198,0.5438461254609723,-4.274616,1.0
HMBOX1,0.9184435735307414,-4.2519383,1.0
NUCB1,0.18330481925645215,-4.240121,1.0
RRAS,0.233600332149403,-4.2218075,1.0
HEY1,0.39699832643377775,-4.19909,1.0
ZYX,0.21851234630821492,-4.187419,1.0
NPDC1,0.022070269601476976,-4.1508446,1.0
GALNT18,0.25139069428522076,-4.1247234,1.0
CMTM3,0.3965525899805712,-4.1014547,1.0
PHF2,0.6970845814561804,-4.098674,1.0
MKS1,0.8272513043727774,-4.0757117,1.0
TPM1,0.17634749587314524,-4.0488276,1.0
TTL,0.5728837544107802,-4.0424557,1.0
TAF13,0.6750865180514143,-4.0380964,1.0
CSTA,0.8061260238702719,-4.0354443,1.0
HSPA12B,0.3214578686259524,-3.9864194,1.0
ASB1,0.8744004880117271,-3.9797215,1.0
ATF1,0.9342049538437227,-3.9688048,1.0
JAK1,0.26437945441255084,-3.8810577,1.0
C7orf26,0.9434963079353627,-3.8800082,1.0
HECW2,0.025005423221777897,-3.869945,1.0
SSH1,0.895243031207675,-3.8677692,1.0
SIGLEC1,0.8749047923993177,-3.8655207,1.0
PREX1,0.21571119262767813,-3.8450127,1.0
JUNB,0.010110673721264642,-3.843693,1.0
MFAP4,0.17370131691727153,-3.8083274,1.0
PGAM1,0.6088943310387,-3.760641,1.0
VAMP3,0.08195985015774614,-3.7579002,1.0
CCRL2,0.6818808755977197,-3.7520008,1.0
IL18BP,0.5022181367551066,-3.7473195,1.0
CCDC125,0.6590275560711434,-3.7470138,1.0
NFE2L1,0.30828606966821703,-3.7410662,1.0
TUBB4B,0.42216165601806377,-3.7321281,1.0
TSC1,0.7769126185870822,-3.6920884,1.0
TNFSF10,0.0077030443063404435,-3.6581163,1.0
S100A12,0.4687951165134776,-3.6404378,1.0
ATG5,0.9436236430614652,-3.6281881,1.0
ARAP3,0.5842616390339321,-3.6279533,1.0
APC,0.8115808534527799,-3.6256878,1.0
EFNB1,0.16297825615333694,-3.6184797,1.0
TMEM106B,0.8186609216719655,-3.6149719,1.0
RHOC,0.004178986213657623,-3.6146994,1.0
LIPA,0.5321244822338074,-3.6045828,1.0
TUFT1,0.8660869806320484,-3.6016378,1.0
CALD1,0.04424826535982584,-3.5931253,1.0
RARRES2,0.740990352592171,-3.5890648,1.0
RBBP5,0.9474443521767701,-3.5626898,1.0
RWDD3,0.9222541105989559,-3.5549715,1.0
VIPR1,0.005305920067144977,-3.55042,1.0
RNF6,0.7183831464692507,-3.5467389,1.0
MARCH1,0.98697980519055,-3.5465147,1.0
GATA2,0.05767797493871649,-3.539914,1.0
LDLRAD1,0.7846493334732166,-3.539092,1.0
RSAD2,0.6312458279207591,-3.515043,1.0
NES,0.009594802841408673,-3.5122683,1.0
CLCF1,0.9709011968428785,-3.4986117,1.0
CTSO,0.756269541737941,-3.4593065,1.0
TGFBR2,0.011003656953325612,-3.455914,1.0
SDCBP,0.47708324705874516,-3.427115,1.0
CCL2,0.7718894205780786,-3.4248269,1.0
DDX21,0.5854711930401464,-3.4214206,1.0
SLAIN2,0.7229335959441385,-3.4142976,1.0
COX7A1,0.12218271280211732,-3.4126296,1.0
PRPS1,0.8900566439398426,-3.4002118,1.0
NDRG3,0.8986609179992551,-3.3976479,1.0
EMC6,0.8905624295367998,-3.3916469,1.0
TSR2,0.7809624775601092,-3.3879354,1.0
CEP290,0.9398042305461483,-3.368754,1.0
TOMM5,0.48365121107849396,-3.351706,1.0
TMTC1,0.1697380978972609,-3.3510945,1.0
PEX1,0.6549791335224258,-3.3467648,1.0
XPNPEP3,0.9436236430614652,-3.345035,1.0
MYH9,0.009801902001596089,-3.333761,1.0
FBH1,0.7661428726943496,-3.3010652,1.0
KLF9,0.2802394128052147,-3.300287,1.0
HNRNPAB,0.6242092355023522,-3.2990596,1.0
NDUFA1,0.597408087575866,-3.2919424,1.0
SPSB3,0.6257951806312319,-3.2863488,1.0
GSTM3,0.624662185466213,-3.2824771,1.0
STON1,0.78194516156516,-3.2812414,1.0
PDCD7,0.981619358669069,-3.2737117,1.0
LDB2,0.044705857820298255,-3.2719207,1.0
PLLP,0.46146283451696823,-3.2597277,1.0
PRICKLE2,0.5181465400026823,-3.2517943,1.0
SERF2,0.5852511876548259,-3.2506418,1.0
TMEM140,0.13567832997034635,-3.2459295,1.0
CHL1,0.40923794494516197,-3.2423046,1.0
MYLK,0.06337666696636916,-3.230248,1.0
ECD,0.8722577659110422,-3.2273328,1.0
LAP3,0.15642345329310675,-3.2252722,1.0
BCL7A,0.8613070672939391,-3.2247384,1.0
SELENON,0.17763034307982983,-3.2217462,1.0
CTNNA1,0.13169827701140757,-3.186594,1.0
ACADSB,0.8781840004451025,-3.1822004,1.0
ADAMTS9,0.7823137579153986,-3.1787806,1.0
ATG3,0.5232357710927289,-3.169675,1.0
PDE1C,0.6305633911748043,-3.1657586,1.0
CSRNP1,0.14435572879957254,-3.1559834,1.0
CRADD,0.8184122441132288,-3.1379707,1.0
PARVA,0.26178617553045025,-3.1317363,1.0
TMX4,0.6780119142546108,-3.1264625,1.0
DNAJB11,0.7229335959441385,-3.12538,1.0
PTPRG,0.19439391368060066,-3.1247685,1.0
NUCKS1,0.4943016369827016,-3.1236792,1.0
TFIP11,0.8426153358084254,-3.105293,1.0
LZTS3,0.8309927748144179,-3.0977683,1.0
ITM2A,0.24354288587026618,-3.0969462,1.0
NHP2,0.2632853968438663,-3.0962331,1.0
HDAC8,0.9839166053904806,-3.0931482,1.0
TCEAL1,0.8507591942460526,-3.0886397,1.0
DDIT3,0.9515211056633058,-3.086081,1.0
SRP54,0.8935980713141556,-3.0856638,1.0
MARCKSL1,0.22267187499063978,-3.064833,1.0
EDNRB,0.13957910856270023,-3.060883,1.0
MRFAP1,0.6828200713462859,-3.0403094,1.0
LATS2,0.7214955441489962,-3.0395598,1.0
TSC22D1,0.3156361709210399,-3.0346935,1.0
TMBIM6,0.7074078249190254,-3.0342176,1.0
