gene,p_val,logFC,p_val_adj
CFAP221,0.7277583788965324,-7.3748956,1.0
CENPT,0.7280472618037565,-7.268389,1.0
RAB3D,0.8986876076092554,-7.1689334,1.0
PCDHGA12,0.5862482492497474,-6.7883,1.0
SLCO2A1,0.025759368589327782,-6.2556148,1.0
DCUN1D1,0.9255300767637245,-6.188688,1.0
ARRB1,0.3255250971459639,-5.992338,1.0
CDK5RAP3,0.8429706300563666,-5.739511,1.0
SURF1,0.8780231918108979,-5.7099233,1.0
CSF1,0.18221408130839623,-5.577314,1.0
PABPC4,0.8713547049692981,-5.576628,1.0
CBWD2,0.8468848216569095,-5.5639553,1.0
GID8,0.9923274458780049,-5.453682,1.0
C8orf58,0.821963179564841,-5.4452853,1.0
ZNF267,0.9990792795196538,-5.4393935,1.0
EGFL8,0.3531239457529146,-5.417205,1.0
IGBP1,0.9677835349488098,-5.3412566,1.0
LAP3,0.5851900764704483,-5.310236,1.0
MAPKAPK5,0.6814961535577526,-5.1648726,1.0
RELB,0.6996413123728968,-5.100968,1.0
SPTBN1,0.22727093558622102,-5.0569577,1.0
COX6B1,0.7726787854937078,-4.955197,1.0
NFRKB,0.9420456508630238,-4.9540687,1.0
TRNT1,0.6727721046350561,-4.9534354,1.0
MCTP1,0.7797528748413234,-4.907784,1.0
GATAD1,0.6173135694231657,-4.8603654,1.0
NDUFC1,0.9249189605010986,-4.818047,1.0
EIF3J,0.8683265655070161,-4.639679,1.0
MINK1,0.498415268283658,-4.639382,1.0
DDX3Y,0.8103131487003425,-4.639366,1.0
CCDC91,0.8520090706809217,-4.6281543,1.0
ABL2,0.9066076821717088,-4.5641956,1.0
GNG12,0.7791626613175002,-4.5286493,1.0
AP5S1,0.8562337463732326,-4.50046,1.0
MAGED2,0.5910209718720184,-4.4997196,1.0
LYL1,0.4967084478294628,-4.4856286,1.0
LAMA3,0.7921761947722321,-4.4526258,1.0
FAAP20,0.9637974172398965,-4.425366,1.0
AGRN,0.6599078049003941,-4.424094,1.0
SPG11,0.8889537408599871,-4.405993,1.0
ZNF3,0.8907776112635764,-4.3796277,1.0
VASH1,0.4639396961773097,-4.3512845,1.0
SOCS6,0.8040572415094198,-4.3282866,1.0
RASSF1,0.6325641698086848,-4.32738,1.0
ZNF672,0.928586310078481,-4.3083215,1.0
CCDC102B,0.7862535336556142,-4.2985606,1.0
SUPV3L1,0.9481692415354966,-4.2948127,1.0
NAV1,0.21664514235454235,-4.25346,1.0
SFT2D1,0.9261412369712899,-4.2491837,1.0
