gene,p_val,logFC,p_val_adj
KAT8,0.8556746253987879,-10.42399,1.0
PGM2L1,0.9739143368722095,-9.021277,1.0
HSPH1,0.6569995002058813,-8.839109,1.0
SEMA6A,0.8999874165060393,-8.365458,1.0
UBN1,0.8711351796172242,-8.362964,1.0
TMEM88,0.8509283695763527,-8.266289,1.0
GRHL1,0.7810102737448239,-7.937559,1.0
GUK1,0.041450337033857844,-7.350831,1.0
ARHGEF28,0.9167739171717586,-6.852541,1.0
HINT2,0.9193599434067998,-6.6483197,1.0
ENPP4,0.7925573096757476,-6.5599666,1.0
KLF3,0.3854011476991842,-6.522003,1.0
TSGA10,0.8473722086387503,-6.4600115,1.0
STK38L,0.40375200353014473,-6.2536316,1.0
GSK3B,0.7096987946067264,-5.90887,1.0
GAK,0.3580573785567105,-5.8344135,1.0
MGAT5,0.8105491091374071,-5.7370396,1.0
C19orf53,0.7252651723086871,-5.65449,1.0
RASGRP3,0.7881657152136945,-5.6501303,1.0
PIP5K1C,0.24939970925814414,-5.640271,1.0
LRMDA,0.19950777603583747,-5.5983243,1.0
S100A16,0.31079099054650416,-5.596923,1.0
PGAP1,0.8650911297627901,-5.573792,1.0
VANGL2,0.5445630793116194,-5.5493603,1.0
ZNF517,0.9274004184584846,-5.4684544,1.0
GATA3,0.7862856537005241,-5.3739653,1.0
NDFIP1,0.7893301823186093,-5.3560357,1.0
NSL1,0.9992572154273134,-5.313053,1.0
NCBP2,0.6976074746635539,-5.3002806,1.0
MMAB,0.7738733268081509,-5.249747,1.0
OAF,0.7670220134063318,-5.182268,1.0
HIPK1,0.6849082380745326,-5.161559,1.0
SELENON,0.6951122933750968,-5.0928793,1.0
OGFOD1,0.9263833799256986,-5.0921803,1.0
ABHD4,0.9209304487584353,-5.0878944,1.0
FASLG,0.852205683993754,-5.0551724,1.0
ITGAV,0.6538896519689941,-5.017794,1.0
MMP15,0.7972249823753196,-5.001749,1.0
OSTF1,0.8159666961112481,-4.9898033,1.0
GTF3C6,0.8994347345053637,-4.9708414,1.0
C5,0.8606089592093158,-4.9696226,1.0
DZIP1,0.8688448615255802,-4.8661604,1.0
GPR89A,0.9864448317100185,-4.862919,1.0
UPF3A,0.98718751496136,-4.8606076,1.0
SLC5A4,0.30697353885525247,-4.8115478,1.0
MINK1,0.27330349784492713,-4.8089433,1.0
GNS,0.4381276918725482,-4.7631435,1.0
