gene,p_val,logFC,p_val_adj
PLEKHA6,0.2953403781215125,-10.84039,1.0
HPS3,0.8445215119439885,-10.238937,1.0
ANGPTL4,0.10167977899086283,-9.255999,1.0
TEN1,0.5431467422699756,-8.956384,1.0
NTM,0.6714605013417427,-8.793915,1.0
FRZB,0.7823696374533587,-8.141262,1.0
ELL,0.4536033415290496,-7.9401383,1.0
TUBD1,0.8866633027578845,-7.8229623,1.0
CLIP3,0.763799541611103,-7.546814,1.0
PIP4K2B,0.7538744559488983,-6.980797,1.0
CLOCK,0.9551978999091577,-6.9249463,1.0
RNF215,0.5011536661839907,-6.8909235,1.0
CDKL1,0.8168493332067934,-6.7630987,1.0
PRIM2,0.946673406307391,-6.710273,1.0
EPS8,0.7787846272529881,-6.6420255,1.0
AHI1,0.4390025544794264,-6.607466,1.0
ADAMTS14,0.6582655830635915,-6.588338,1.0
COX14,0.6702781817559214,-6.583371,1.0
MMD,0.6522218134357178,-6.5829053,1.0
IRF3,0.15241603571610232,-6.5734115,1.0
SMTNL2,0.4101459600254358,-6.4984183,1.0
CYP2E1,0.7579680529376209,-6.311924,1.0
LYPLA2,0.9695714748638016,-6.2966585,1.0
PI4KB,0.428108513272777,-6.1750913,1.0
PAQR3,0.6984409478742792,-6.1111894,1.0
MYEF2,0.5579161888815318,-6.1062965,1.0
AZI2,0.1099631458742942,-6.0694437,1.0
SLC7A1,0.7552053554005758,-5.9949512,1.0
CNTNAP1,0.5351735671078137,-5.980957,1.0
OTUD3,0.5712015941817205,-5.945407,1.0
PCIF1,0.46696315389042464,-5.9068484,1.0
HHIPL1,0.6622131311121062,-5.887251,1.0
PARD3,0.2400754336631008,-5.852344,1.0
GRK5,0.18539274074766765,-5.846106,1.0
WDR3,0.887021984951478,-5.829535,1.0
IFFO1,0.27935503039049114,-5.82047,1.0
TCEA3,0.27722688825924446,-5.81154,1.0
ZNF527,0.7183737932091665,-5.767171,1.0
APOL1,0.6269431025645769,-5.766644,1.0
GPSM2,0.2000809671935484,-5.7545075,1.0
IRS2,0.7764966605127552,-5.7413497,1.0
FREM1,0.10287867940251608,-5.7310753,1.0
CCDC154,0.6863788748748993,-5.6865287,1.0
RDH10,0.4638700218151083,-5.674584,1.0
CLTC,0.7821703481245252,-5.6673512,1.0
SRSF10,0.4759092775919619,-5.6223116,1.0
GNGT2,0.7961043573158888,-5.5565133,1.0
