gene,p_val,logFC,p_val_adj
GBP2,0.7588555894876285,-7.1571345,1.0
SLC9A3R1,0.7838097961264193,-7.0835032,1.0
TPGS1,0.9279186045029189,-7.065392,1.0
HECTD1,0.5540363036168771,-6.5701466,1.0
PODXL,0.7633749246709964,-6.559201,1.0
H1F0,0.43100060101893056,-6.319992,1.0
FOXO3,0.6130617509251869,-6.287117,1.0
FNBP1,0.5323984119156411,-6.1853166,1.0
PCGF2,0.8809346867711253,-5.951992,1.0
IFNGR1,0.5985616506714602,-5.902071,1.0
MED23,0.8575885166783824,-5.769968,1.0
WDR6,0.5730635449300316,-5.762307,1.0
TLE5,0.5590133709230598,-5.6170483,1.0
NAA60,0.973972585912123,-5.566393,1.0
C1orf162,0.7330333624058073,-5.2320714,1.0
ITPRID2,0.8856170381774326,-5.1775103,1.0
SYVN1,0.7611142382798277,-5.157622,1.0
CHD9,0.8832753527215915,-5.0674396,1.0
PARP4,0.892648009792993,-5.027878,1.0
GSR,0.4539041020970962,-5.0141683,1.0
SGK3,0.8762564939137404,-4.954971,1.0
NFKBIZ,0.6965123321750267,-4.7841606,1.0
RMDN3,0.9232061275971317,-4.767895,1.0
KIF1C,0.8832753527215915,-4.7258677,1.0
NDUFB9,0.8949935713572476,-4.7205033,1.0
MDM2,0.5985616506714602,-4.691487,1.0
NFATC2IP,0.745347491480399,-4.647164,1.0
NUDT22,0.786089856401599,-4.551345,1.0
NDUFV1,0.8066907794921065,-4.4271474,1.0
CFAP45,0.05904244660757163,-4.3384104,1.0
UBLCP1,0.8135884383164926,-4.307816,1.0
TAGLN2,0.6899441700250316,-4.3063073,1.0
REL,0.8669132265110785,-4.2786603,1.0
CEACAM6,0.3269516662855675,-4.2675467,1.0
WDR45B,0.5323984119156411,-4.2025685,1.0
TELO2,0.8506079287726523,-4.1500444,1.0
TCTN1,0.0835092779204169,-4.135964,1.0
CIB1,0.05222606381976224,-4.123122,1.0
SELENOT,0.899687429460014,-4.1227283,1.0
PGRMC1,0.4146958607684593,-4.099279,1.0
PRPF8,0.8832753527215915,-4.0735908,1.0
AGR3,0.1037654268474906,-4.0282726,1.0
MYH10,0.843639029692848,-4.0118957,1.0
