gene,p_val,logFC,p_val_adj
BBC3,0.49006108506071755,-12.597623,1.0
HGH1,0.5373238226504378,-12.183722,1.0
DTWD1,0.9716618580294983,-9.975619,1.0
GTF2IRD2,0.5070333387889391,-9.7148285,1.0
SLC2A4RG,0.3294412027276953,-8.957446,1.0
PKP3,0.13211790917899047,-8.003052,1.0
HINT1,0.8245381240683438,-7.911466,1.0
FUT4,0.8843637232927732,-7.9087224,1.0
ZNF226,0.8751331402351461,-7.814646,1.0
COMMD2,0.2612692252396548,-7.5598965,1.0
NOP16,0.9836616006265868,-7.397922,1.0
SLCO3A1,0.6406229438325233,-7.3280935,1.0
AHI1,0.6140978313844155,-6.983235,1.0
ACADM,0.732451077995727,-6.960584,1.0
CLIP1,0.3886979902013078,-6.9205527,1.0
SLX4IP,0.8751331402351461,-6.883653,1.0
HACL1,0.8567240766647625,-6.8733034,1.0
IMP4,0.7502924091768783,-6.713198,1.0
RHPN2,0.5211830682789013,-6.4988346,1.0
PAM16,0.29273569159466706,-6.2697544,1.0
CARMIL2,0.8642761036159656,-6.26249,1.0
ZNF521,0.8817247553140428,-6.172897,1.0
RAC3,0.8511505224294733,-6.1485047,1.0
DUSP3,0.1909738982790693,-6.1368027,1.0
GLA,0.8109000872544689,-6.097993,1.0
OSBPL7,0.030621818098343995,-6.042822,1.0
MAOA,0.7155331247106047,-6.0421147,1.0
KIAA1958,0.7701847934983734,-6.0238123,1.0
ANAPC5,0.7701847934983734,-6.021272,1.0
DSTYK,0.7200626095636167,-5.987808,1.0
CSPP1,0.7124151552164386,-5.8777394,1.0
CHRNA10,0.7359136404693121,-5.845967,1.0
TP53,0.9377063949231315,-5.8344154,1.0
ATP9A,0.141147268167514,-5.801038,1.0
ZMYND19,0.7099242331397497,-5.70421,1.0
RNPEP,0.5103839172054858,-5.689742,1.0
CLIP4,0.012446617221083528,-5.6806364,1.0
CPT1B,0.7206881421857841,-5.6464295,1.0
PTGES2,0.5436833342786547,-5.6416016,1.0
PPIL4,0.8817247553140428,-5.6261754,1.0
SLC24A3,0.4158110839048811,-5.607626,1.0
C11orf80,0.3009598761179484,-5.512522,1.0
TMF1,0.5398078697497576,-5.511827,1.0
HSBP1L1,0.13025015302505277,-5.5092773,1.0
PLEKHH2,0.24470430961767364,-5.4645267,1.0
COG7,0.4746896536803179,-5.453012,1.0
WDYHV1,0.795706427295623,-5.358129,1.0
TNFRSF4,0.8820545551298367,-5.3572464,1.0
GPAT4,0.6632117060784419,-5.246695,1.0
MCM3AP,0.8480391061528648,-5.207108,1.0
TBP,0.6466152467614208,-5.2036037,1.0
RFX1,0.5396697164728517,-5.1795545,1.0
B4GAT1,0.8734865708511719,-5.1703176,1.0
CIAPIN1,0.6938097647532089,-5.164468,1.0
PEBP4,0.21792736956152714,-5.1398253,1.0
SPSB3,0.07785877678684354,-5.1381454,1.0
ARHGEF17,0.21996355330280426,-5.1371846,1.0
CSNK1A1,0.7520365079853614,-5.121269,1.0
TNKS2,0.517795742223154,-5.119909,1.0
EGFL6,0.8909666955728056,-5.1117687,1.0
ITPKC,0.10480613635961737,-5.107163,1.0
RNF130,0.5315501382312182,-5.1043224,1.0
RBM33,0.3181696826436565,-5.0960307,1.0
TMEM184B,0.4210992800536455,-5.062993,1.0
INTS11,0.22304336677834002,-5.058647,1.0
TDRP,0.3943574815121289,-5.021733,1.0
MITD1,0.6968982374547013,-5.017401,1.0
MPP5,0.45150928946849245,-5.0124774,1.0
GPR39,0.23214081599535508,-5.004551,1.0
ZKSCAN3,0.5797448374589064,-4.994306,1.0
ZNF784,0.7660342147816044,-4.9648256,1.0
MEN1,0.6099927759649977,-4.950516,1.0
CAPN1,0.24158256745773443,-4.939687,1.0
DNALI1,0.5478509227760888,-4.876316,1.0
KCNS3,0.6207206075378261,-4.865767,1.0
CLUH,0.4909812881416622,-4.826506,1.0
SCAI,0.039022634670539194,-4.813955,1.0
RAB18,0.390079395737599,-4.7912483,1.0
KIAA2026,0.5004998812685206,-4.788836,1.0
PALM3,0.0485376881989949,-4.7821727,1.0
ATXN10,0.5275819820531412,-4.773228,1.0
CACNB1,0.248539040707061,-4.729651,1.0
INPP5E,0.24326649727590133,-4.680343,1.0
SOWAHC,0.5740369369478542,-4.6781893,1.0
PIGN,0.8672346625716045,-4.672303,1.0
CFL2,0.1266280904123722,-4.668658,1.0
HDAC6,0.23567093707354314,-4.650471,1.0
DDI2,0.5618559015460483,-4.648662,1.0
SETD6,0.3075499333682705,-4.6396904,1.0
VPS37B,0.04561268317284334,-4.63153,1.0
GSN,0.4365825690062576,-4.625083,1.0
TCF20,0.7907123849429524,-4.618693,1.0
ZNF644,0.4354746439546521,-4.611181,1.0
RRAGC,0.6659435757498409,-4.551595,1.0
IPCEF1,0.8909666955728056,-4.5387135,1.0
PACRG,0.944357353898443,-4.5078998,1.0
PARD6B,0.0013758341738319827,-4.4997873,1.0
IFRD2,0.6475160846898571,-4.491294,1.0
TMC4,0.3992479365369168,-4.4518704,1.0
EML4,0.5544117329727987,-4.4234247,1.0
STX2,0.036818573489816486,-4.4198546,1.0
PDHA1,0.38915812741658085,-4.4137826,1.0
ZNF706,0.7110136320304143,-4.3838606,1.0
MAP4,0.062414213854503166,-4.377382,1.0
ELOVL1,0.41772951169888095,-4.35572,1.0
VPS13A,0.35156068413833497,-4.351375,1.0
CCDC120,0.5660908861060904,-4.346979,1.0
UBASH3A,0.9091625368203796,-4.329426,1.0
CHCHD6,0.11686386663222231,-4.296301,1.0
LPIN1,0.6996821663487525,-4.291768,1.0
ILK,0.31093040594846655,-4.2719927,1.0
CCL19,0.8462388383911073,-4.2650824,1.0
CAVIN2,0.9171180742014124,-4.2491355,1.0
NOA1,0.6812006004943119,-4.247709,1.0
SUN2,0.7020051963575518,-4.221558,1.0
WNK1,0.05126840561014231,-4.2090373,1.0
PRKAR1B,0.5541317684035924,-4.204417,1.0
GNAQ,0.03235384383389969,-4.178994,1.0
SFTPA2,0.21949245741032197,-4.1742144,1.0
SEPTIN2,0.31514000470787595,-4.156288,1.0
KRBOX4,0.6328678866522846,-4.12095,1.0
EGLN2,0.154176597014339,-4.11838,1.0
MAGI1,0.03725450946710518,-4.112188,1.0
ITFG1,0.3654506720134466,-4.0924435,1.0
CYTH2,0.09388066580206363,-4.0732665,1.0
RBCK1,0.3116294173338908,-4.0381517,1.0
WBP11,0.9543409249111086,-4.0277867,1.0
ZNF597,0.5373238226504378,-4.005851,1.0
TMCC1,0.44338841235380577,-4.0029926,1.0
CEP192,0.33412594307653887,-3.9994538,1.0
TANGO2,0.3850288299973772,-3.9896529,1.0
ZNF514,0.5851918751700431,-3.984135,1.0
