gene,p_val,logFC,p_val_adj
STEAP4,0.2719512050869136,-10.955136,1.0
ZDHHC16,0.19707989370426893,-9.986304,1.0
PFKM,0.8646962351770484,-9.023811,1.0
OGT,0.4188728672860428,-8.198589,1.0
RPRD1A,0.4733295359453614,-7.8580494,1.0
ZNF586,0.6355161825200082,-7.6212983,1.0
SIRT6,0.7610063118751705,-7.4437256,1.0
PHYHD1,0.15004330020720236,-7.303172,1.0
PPT1,0.6631315068660322,-7.294389,1.0
FBXL6,0.8056800043775266,-7.2573256,1.0
PDXK,0.16052102433542637,-7.168913,1.0
ESRP1,0.3096304803000717,-6.974085,1.0
SRSF1,0.4690344101104379,-6.757107,1.0
CXXC1,0.42121953254718947,-6.5874343,1.0
EML2,0.7049847925952395,-6.554452,1.0
GEMIN7,0.7948942516512524,-6.533441,1.0
PLPP3,0.48125982366380426,-6.5311584,1.0
SNRPN,0.8318948484073839,-6.419658,1.0
AGO3,0.7877253314385114,-6.3655972,1.0
CCDC84,0.35512631348817036,-6.3063836,1.0
TRA2B,0.4856157320451149,-6.222986,1.0
MAPKBP1,0.39292657156355315,-6.186345,1.0
ZNF608,0.3174490197704535,-6.1857176,1.0
ACTR2,0.836434484151169,-6.1596317,1.0
ANKRD13C,0.8555587912951852,-6.15769,1.0
SPCS1,0.8894544682858259,-6.0643015,1.0
PAF1,0.8482626934232487,-6.043603,1.0
USF1,0.8646962351770484,-6.0432487,1.0
ALDH3A2,0.011835131867057418,-5.971087,1.0
SEC31B,0.8564716857326968,-5.92581,1.0
OTUD7B,0.590611874150863,-5.7898917,1.0
LINS1,0.8473515812553546,-5.654269,1.0
DYRK1B,0.6639757700871083,-5.6266575,1.0
HSPA1B,0.578623438676488,-5.5001235,1.0
LRRFIP2,0.6703212815614386,-5.4985113,1.0
ALDH16A1,0.7716617238106973,-5.449192,1.0
CEP57,0.8146965538510029,-5.378336,1.0
FOPNL,0.8592115166750852,-5.3553176,1.0
WIF1,0.3274026393566063,-5.355116,1.0
PHF12,0.6737152329304171,-5.346022,1.0
C2CD5,0.8260017169033305,-5.3404913,1.0
SLC35E1,0.8237377161935303,-5.302058,1.0
PUS7,0.7583494385301364,-5.1846404,1.0
CANT1,0.8844015605826909,-5.140181,1.0
TRADD,0.8592115166750852,-5.0354996,1.0
TEPSIN,0.7574644461144202,-5.033505,1.0
NUMBL,0.9097090143020106,-5.0279865,1.0
COX8A,0.8986529472134814,-4.9902196,1.0
PIK3CB,0.9087869770986148,-4.9850717,1.0
RRP1,0.6894978688105161,-4.932451,1.0
USP40,0.5118191856432337,-4.9304223,1.0
GPAT4,0.7953428916549792,-4.9263406,1.0
SPINT2,0.3664337201537352,-4.9199996,1.0
