gene,p_val,logFC,p_val_adj
TMCO4,0.7116681130173637,-10.911168,1.0
C19orf53,0.897293143571286,-10.836241,1.0
DCTN1,0.718459473945199,-10.12253,1.0
ZNF707,0.5843562651873844,-9.845111,1.0
MAML2,0.8936946465432417,-8.923673,1.0
VPS51,0.8262641236358778,-8.824333,1.0
TEAD1,0.7652936782102286,-8.349334,1.0
PLEKHG3,0.7657276505724391,-8.234257,1.0
FADS2,0.7527410408061087,-7.6790423,1.0
DAZAP1,0.7596587874525853,-7.4359965,1.0
CBX3,0.7626913954707155,-7.367529,1.0
HGS,0.49788573536657177,-6.932702,1.0
VPS52,0.7805256246992319,-6.9324627,1.0
PCNT,0.7809620943059297,-6.9234886,1.0
CSTF3,0.26431838704131805,-6.8657475,1.0
EFNA1,0.21238655242552362,-6.629851,1.0
NUDCD3,0.5634401284287506,-6.5678496,1.0
SNUPN,0.9117075347602621,-6.378457,1.0
CWC25,0.8663333069793369,-6.323594,1.0
TMEM91,0.6345133475249118,-6.301789,1.0
PPFIBP2,0.42564496026674115,-6.268529,1.0
CEP85L,0.9591839248392336,-6.157894,1.0
CUEDC2,0.8205110012712878,-6.0100584,1.0
ZNF33A,0.5459122506562455,-5.988817,1.0
KRTCAP3,0.38709199982716325,-5.9873123,1.0
CLSTN1,0.5657462212901627,-5.9738283,1.0
L3MBTL1,0.5843562651873844,-5.858307,1.0
NRAS,0.9202801566934864,-5.823952,1.0
PLAC8,0.9732361353981435,-5.6854677,1.0
PA2G4,0.6964716467106682,-5.640141,1.0
ARRDC3,0.7497207222014961,-5.599076,1.0
LARS,0.6389775194303018,-5.586479,1.0
ZNF121,0.7613912571916642,-5.545498,1.0
TMED4,0.4750953712984254,-5.5451202,1.0
SHLD2,0.8258212402603475,-5.3911357,1.0
TTC7B,0.8954936262695747,-5.3906565,1.0
EAF1,0.9714223875649063,-5.3561783,1.0
ANKIB1,0.9374522310841419,-5.3427763,1.0
UBAC1,0.7644259546084515,-5.339355,1.0
CSNK1D,0.5804557635161982,-5.274588,1.0
PTPN14,0.46183931362314135,-5.261271,1.0
MGME1,0.9139625331154911,-5.2598076,1.0
CNKSR1,0.3507476970148996,-5.2309637,1.0
SURF6,0.7095504657417881,-5.2146826,1.0
DPH2,0.7406829343625012,-5.1916456,1.0
FAM189A2,0.07145228775875133,-5.18752,1.0
MCU,0.6512188107475335,-5.1759377,1.0
PHF21A,0.8342453452216226,-5.1594815,1.0
CYP2R1,0.8382424234763306,-5.15832,1.0
ZNF672,0.7462736252115667,-5.1137843,1.0
CARD8,0.9677953446292792,-5.0752244,1.0
NCKAP5L,0.5029475686518236,-5.0621862,1.0
URB1,0.37259172085537606,-5.026503,1.0
CD99L2,0.48891461253395685,-4.9656515,1.0
SLC15A2,0.47967782136015313,-4.9606123,1.0
SPIN3,0.8386868030277803,-4.9569535,1.0
ESCO1,0.8382424234763306,-4.953937,1.0
CAPZA2,0.7639922036243637,-4.870321,1.0
KAT5,0.8649915155782071,-4.8588715,1.0
CAPN13,0.07707677603653895,-4.8504567,1.0
ABI3,0.7709410181814814,-4.8330116,1.0
PTEN,0.7618245619752443,-4.7622733,1.0
PPM1D,0.8605217092140282,-4.673759,1.0
GTF3C2,0.8055107111100961,-4.632075,1.0
CAPN1,0.3874042095899837,-4.626241,1.0
MT-ND5,0.9062984731019136,-4.6019645,1.0
LRIG3,0.3507476970148996,-4.5876355,1.0
PATZ1,0.8231651085482514,-4.5279813,1.0
PDSS2,0.8289225800277659,-4.492109,1.0
SEC11C,0.8493670281192441,-4.468358,1.0
SPOUT1,0.6751514817525932,-4.4462495,1.0
PHF20L1,0.5440234627727516,-4.436826,1.0
CCDC159,0.5937668794576415,-4.4338274,1.0
GNAI1,0.8788747656889996,-4.412447,1.0
CLN6,0.8582884712132919,-4.398194,1.0
CHD3,0.46809260852505163,-4.3835726,1.0
TBRG1,0.7159100725418623,-4.373031,1.0
DMKN,0.30470443576474815,-4.3633833,1.0
BBS4,0.8717042879371405,-4.313567,1.0
GABARAP,0.8130022807828291,-4.284655,1.0
FAM83E,0.361416702186121,-4.2485013,1.0
PIP5K1C,0.9392616514675839,-4.245545,1.0
MAP3K10,0.8779778999899913,-4.230679,1.0
STXBP1,0.9591839248392336,-4.183254,1.0
BCL2L1,0.7696366956384122,-4.1748257,1.0
EXOC4,0.7831454750299955,-4.167782,1.0
DNAJB12,0.6232101229046285,-4.147719,1.0
SHANK2,0.5301482443427099,-4.147146,1.0
P4HA2,0.8748401106063135,-4.12277,1.0
ZNF652,0.8699132909217528,-4.119172,1.0
CPNE8,0.8578419590674868,-4.118732,1.0
ATP8B1,0.6004744027909106,-4.105578,1.0
MAGI3,0.6847354593882551,-4.1049685,1.0
BRAT1,0.7853305649463018,-4.09903,1.0
MED11,0.9139625331154911,-4.0914574,1.0
TMPO,0.9162182242783851,-4.0822887,1.0
PFKP,0.6422324377291664,-4.042615,1.0
RAB17,0.38491083126609515,-4.0354877,1.0
USP54,0.5703719586981486,-4.013739,1.0
THBS1,0.7570623449942875,-4.0106735,1.0
ARPC1B,0.7278339272992327,-4.009506,1.0
PLAU,0.9171206906921359,-3.9962962,1.0
SHB,0.24235285982803634,-3.992967,1.0
PDE7A,0.5153529157996111,-3.9813924,1.0
ABCB6,0.551218093440237,-3.9614732,1.0
ATXN7L3,0.8440233308765767,-3.9514186,1.0
ENTPD6,0.5087656518217392,-3.9473665,1.0
ACP6,0.5918006234441833,-3.9441118,1.0
DVL2,0.7308253470033486,-3.9026444,1.0
LRSAM1,0.9013439755915229,-3.897078,1.0
AP5S1,0.8244929231856928,-3.8965232,1.0
PTOV1,0.4158023021731202,-3.883622,1.0
CFAP410,0.5264292830068763,-3.8647003,1.0
FGFR1OP,0.8258212402603475,-3.8644335,1.0
PTAR1,0.4440388276383844,-3.8521848,1.0
DPH6,0.7227154363387656,-3.8361332,1.0
SBF2,0.9582777191172209,-3.8330297,1.0
GFOD1,0.8400202497977939,-3.8141105,1.0
RHBDF1,0.8663333069793369,-3.780776,1.0
C15orf39,0.8663333069793369,-3.777396,1.0
PCBD1,0.8757364232934921,-3.7661386,1.0
EZH1,0.8565026960548827,-3.75019,1.0
PACSIN3,0.3605199233888292,-3.745116,1.0
LANCL1,0.9058479105706092,-3.713842,1.0
YAF2,0.8209532106528058,-3.7034366,1.0
PPL,0.45015578680086954,-3.7009873,1.0
STARD4,0.9229892742594009,-3.6864507,1.0
TFDP2,0.6614923997441626,-3.68284,1.0
INO80B,0.4736902355726822,-3.6782854,1.0
AGRN,0.055832611962951494,-3.6703444,1.0
LTB4R,0.7129397710955087,-3.6695664,1.0
UROS,0.9022445132760615,-3.627349,1.0
INAVA,0.23153238987749247,-3.610841,1.0
CERT1,0.273178858928923,-3.5997958,1.0
ALG12,0.8663333069793369,-3.5827398,1.0
HSPA1B,0.5945542180584225,-3.5816362,1.0
IGFBP7,0.48855758810025995,-3.5792274,1.0
PIK3CA,0.8587350286969966,-3.5781684,1.0
GRAP2,0.8400202497977939,-3.567559,1.0
OTUD1,0.8878517855173719,-3.5647717,1.0
LSM4,0.9655287762904569,-3.5592585,1.0
ZFP30,0.8329139316075433,-3.5562205,1.0
ZSWIM4,0.6308706960220862,-3.5490603,1.0
ZNF444,0.5376259925232016,-3.5455918,1.0
NRBF2,0.9315738932768232,-3.533492,1.0
SNRNP70,0.0455099164068339,-3.5215938,1.0
AKT2,0.6028499157001254,-3.5022602,1.0
PPT1,0.6822303163729693,-3.492722,1.0
PLPP5,0.5773441707565186,-3.4923146,1.0
NOXA1,0.5249454386468659,-3.4710355,1.0
LIMCH1,0.845803778499258,-3.4695811,1.0
LUC7L3,0.2041646125691854,-3.464711,1.0
ARHGAP44,0.679728670304212,-3.4594972,1.0
ERGIC3,0.6855712799601448,-3.4430332,1.0
RASSF9,0.42103489662590377,-3.4130561,1.0
ACTR2,0.8466942982704558,-3.4034207,1.0
EPC1,0.794964850811761,-3.3897185,1.0
TNRC18,0.6747359656848692,-3.3880892,1.0
L3HYPDH,0.7726811222707579,-3.3814428,1.0
YEATS2,0.8995432822202576,-3.3784866,1.0
SPRED2,0.7510146776466082,-3.354936,1.0
ABHD17C,0.8847081312798308,-3.3544853,1.0
MARCH2,0.9868430085052842,-3.308006,1.0
SPCS1,0.9013439755915229,-3.3040252,1.0
FDX2,0.6947905129210057,-3.2969575,1.0
DAPK1,0.5131522517859983,-3.2964597,1.0
PDK2,0.8959434555546769,-3.286925,1.0
P2RY2,0.32356377380397805,-3.279556,1.0
SART3,0.6947905129210057,-3.2710114,1.0
TMEM65,0.8703609779941248,-3.26805,1.0
LRRC75B,0.6111973161872455,-3.2651553,1.0
GALNS,0.7497207222014961,-3.2457895,1.0
PTPRF,0.2980551280092204,-3.2446709,1.0
P2RX1,0.801991389142752,-3.2417514,1.0
FOXN2,0.8077122945869912,-3.2408535,1.0
CDRT4,0.6631421705783365,-3.240347,1.0
SPAG7,0.9528416578948045,-3.2387772,1.0
REST,0.9144136165000907,-3.234537,1.0
CCDC24,0.6598442711413521,-3.2308702,1.0
INTS14,0.8130022807828291,-3.2157333,1.0
TRPV4,0.2925451706646697,-3.2063646,1.0
CKAP5,0.8222801797355781,-3.1991599,1.0
PRDX1,0.7809620943059297,-3.1980095,1.0
PRXL2A,0.7648597795129747,-3.1941648,1.0
TMEM238,0.8236076573742452,-3.1839914,1.0
COX8A,0.9108057334392455,-3.1688895,1.0
GRHL1,0.3463618237957474,-3.1680422,1.0
THAP6,0.7108207860878359,-3.146291,1.0
CLK4,0.370461267168817,-3.1165068,1.0
PRELP,0.7167595227742138,-3.1095054,1.0
POLE4,0.8524874005038361,-3.0981371,1.0
ABCD3,0.7587930039984937,-3.0727518,1.0
PPM1G,0.9067490657921791,-3.0663764,1.0
DHRSX,0.8404648343002931,-3.062786,1.0
POLR2A,0.8515956276930402,-3.0616481,1.0
COL4A5,0.16546751493100842,-3.0482976,1.0
ERBB2,0.25876238165250154,-3.0440524,1.0
RSF1,0.7661616964717626,-3.0333207,1.0
C2CD2,0.7505832811534692,-3.0259206,1.0
GOPC,0.8191847159640121,-3.0250206,1.0
BCL11A,0.4342842409444536,-3.0096989,1.0
SLC2A4RG,0.8391312340236949,-2.9925873,1.0
SSH1,0.8672280488884794,-2.9855204,1.0
ATP6V0B,0.8449134556653832,-2.9689057,1.0
FEZ2,0.8280362085898056,-2.965579,1.0
CLCC1,0.7154854791813968,-2.9644518,1.0
SEPTIN6,0.8475850138704771,-2.9410367,1.0
PTPRE,0.7531728252646901,-2.9405851,1.0
RNF130,0.7883925311538235,-2.9386535,1.0
NFKBIZ,0.3454888583736493,-2.9252656,1.0
POLR1A,0.8515956276930402,-2.9250283,1.0
KCNIP2,0.8099154020301131,-2.9178925,1.0
MARCKSL1,0.8382424234763306,-2.8990974,1.0
LUC7L2,0.5827946013321619,-2.89575,1.0
NAA30,0.8298091693164958,-2.8940997,1.0
AKAP8L,0.26970927862325034,-2.8835971,1.0
DDX3X,0.8262641236358778,-2.8833039,1.0
MYO19,0.4193955736809051,-2.8743367,1.0
LYSMD3,0.9044964053669384,-2.8528986,1.0
ANKS6,0.4917758617928838,-2.8473206,1.0
SLC52A2,0.9551064313387011,-2.8361292,1.0
FOXA1,0.46045605381179244,-2.8211153,1.0
DAAM1,0.9532945827054052,-2.8197432,1.0
ZNF345,0.8748401106063135,-2.8166356,1.0
MIB1,0.876184639489511,-2.8148482,1.0
GOLM1,0.5361262152774537,-2.8097095,1.0
RHOT2,0.4726378851379315,-2.8091035,1.0
ADH1B,0.7256997318005654,-2.8073897,1.0
PTGR1,0.8293658475091065,-2.7827349,1.0
TP53I11,0.5804557635161982,-2.7738545,1.0
IQCN,0.7587930039984937,-2.7734275,1.0
PPIH,0.8600749717772248,-2.7703493,1.0
DTNB,0.5665159249680867,-2.7687275,1.0
IKZF2,0.3297335148187295,-2.7610219,1.0
QARS,0.7099738163599383,-2.7569222,1.0
NAPB,0.8311394593276094,-2.753117,1.0
CBR4,0.7308253470033486,-2.7530196,1.0
PRKRA,0.7574948959406735,-2.7524958,1.0
EYA2,0.17233523846276844,-2.7520154,1.0
TRIO,0.845803778499258,-2.7497685,1.0
MAPKAPK2,0.5800663851038181,-2.7363393,1.0
TBC1D24,0.8130022807828291,-2.7334218,1.0
TMEM68,0.4757987960832394,-2.7313738,1.0
ATG4B,0.6467191836298658,-2.7289171,1.0
NSUN2,0.848475924190072,-2.724623,1.0
EXOSC1,0.9374522310841419,-2.7085643,1.0
ZBTB16,0.6088071194885813,-2.7075984,1.0
CAPRIN2,0.8654387363295513,-2.6994267,1.0
LIMA1,0.7133638346969642,-2.6809454,1.0
LNX2,0.6068184733673032,-2.6809008,1.0
GNL3,0.43128231635855374,-2.6638277,1.0
PM20D2,0.679728670304212,-2.6562696,1.0
LHPP,0.7441217601772538,-2.6530998,1.0
SRC,0.6000788957394974,-2.6504905,1.0
ABCC3,0.4200508520079119,-2.6463034,1.0
HSF4,0.5489410585611508,-2.6421363,1.0
GEN1,0.618392719099257,-2.6380908,1.0
CIAO3,0.6926912054469019,-2.630013,1.0
TMC4,0.6111973161872455,-2.6281133,1.0
DLL1,0.7665958157802866,-2.6255715,1.0
P3H2,0.863650113303567,-2.6194308,1.0
TOM1,0.9455970315396115,-2.608955,1.0
TMEM184A,0.41028496372387935,-2.6018157,1.0
NFIA,0.708280952285444,-2.5969055,1.0
PTDSS2,0.8936946465432417,-2.5806403,1.0
CDK13,0.6216025157290666,-2.5686865,1.0
TBC1D13,0.9193773214963025,-2.5656283,1.0
CEBPA,0.9067490657921791,-2.5654817,1.0
RBM41,0.7687675089791355,-2.56257,1.0
TUFT1,0.654499277874274,-2.5470867,1.0
MRI1,0.629658463373259,-2.5460885,1.0
ANAPC5,0.7142122275515688,-2.5453923,1.0
CCDC102B,0.754468641433019,-2.530995,1.0
MIB2,0.6280437041940952,-2.5283914,1.0
FMC1,0.7800892242425216,-2.5252607,1.0
FAM89B,0.8954936262695747,-2.5237453,1.0
SREBF1,0.5436460955490621,-2.510785,1.0
C1RL,0.5279152669181525,-2.506212,1.0
ORC4,0.747996543942025,-2.5033858,1.0
MBTD1,0.6475363436151664,-2.5025501,1.0
COX6B1,0.9031451767639946,-2.4996119,1.0
COA8,0.9058479105706092,-2.4972513,1.0
BCL7A,0.620799388179371,-2.4948368,1.0
ABL2,0.9904723180215147,-2.4827294,1.0
DLG5,0.5672861305631656,-2.481777,1.0
MCM9,0.7381072065533278,-2.4797332,1.0
GIMAP1,0.7709410181814814,-2.471738,1.0
GHITM,0.9306698567019198,-2.4707983,1.0
PDE5A,0.8833614033389591,-2.4682975,1.0
IL18,0.7274069186946919,-2.4664006,1.0
DDR1,0.1255424185346146,-2.4557307,1.0
PSMA7,0.8582884712132919,-2.4554348,1.0
TMEM248,0.9546534470636956,-2.449621,1.0
YIPF6,0.8614153178629139,-2.4439359,1.0
AP1G2,0.1863274285858777,-2.4386687,1.0
TDRD7,0.863650113303567,-2.4242072,1.0
PLCG2,0.8262641236358778,-2.418774,1.0
TMEM120B,0.5391278740162107,-2.4133298,1.0
IGF2BP2,0.8275931049063436,-2.4085522,1.0
MT-ND4,0.21196985753627862,-2.4051137,1.0
SYNE4,0.6491719377297136,-2.3964255,1.0
MT-CYB,0.2616509877617773,-2.3937185,1.0
SAFB,0.6048327348452847,-2.3926146,1.0
ANKRD6,0.6693433191385714,-2.3850043,1.0
FRAT2,0.8587350286969966,-2.3798585,1.0
SAFB2,0.5665159249680867,-2.3760352,1.0
HECTD1,0.8699132909217528,-2.3734572,1.0
SH3BP4,0.718459473945199,-2.371671,1.0
PRPF40B,0.6260277569286694,-2.369822,1.0
TNFRSF10A,0.8280362085898056,-2.3664777,1.0
HDAC6,0.734677475573748,-2.361194,1.0
GMFG,0.7800892242425216,-2.3578737,1.0
OCLN,0.6590208248287637,-2.3572419,1.0
RAB27B,0.7201608196852335,-2.3547058,1.0
PTPN13,0.3701575353813046,-2.3502316,1.0
CATSPERG,0.8134435019253705,-2.3371038,1.0
GPRC5A,0.36652482935300057,-2.3342185,1.0
C11orf80,0.6577864302601312,-2.3315322,1.0
BIN3,0.8766328953986283,-2.325794,1.0
VILL,0.6647935767364245,-2.3245418,1.0
SMAP2,0.7587930039984937,-2.3063037,1.0
PPP2R3B,0.41874089683382376,-2.3024254,1.0
MAMDC2,0.7618245619752443,-2.3019147,1.0
CDYL,0.8382424234763306,-2.2982306,1.0
WDFY1,0.9266028157600228,-2.296658,1.0
MLLT3,0.6977334767766117,-2.29633,1.0
SELENOK,0.845803778499258,-2.2961276,1.0
RANBP9,0.6236123058069583,-2.2961154,1.0
PLSCR1,0.8099154020301131,-2.29008,1.0
XPC,0.49141771486020047,-2.2863731,1.0
DNAH1,0.8449134556653832,-2.2859848,1.0
RABL6,0.7342491294234867,-2.2821615,1.0
CCNO,0.5205067885827442,-2.2736557,1.0
SFT2D1,0.8766328953986283,-2.2733011,1.0
NENF,0.9990925803462855,-2.2698505,1.0
BEND7,0.6847354593882551,-2.2672458,1.0
ZNF598,0.8280362085898056,-2.2669737,1.0
SNCA,0.7757290515215914,-2.2617068,1.0
RBM28,0.8178589477583821,-2.2616134,1.0
ANKRD18A,0.5376259925232016,-2.2615843,1.0
CHKA,0.42136321191700987,-2.2536697,1.0
NOL12,0.6328932914791443,-2.2489834,1.0
ADK,0.22603462520697992,-2.2459404,1.0
TRAF3IP1,0.8364654224688349,-2.2426279,1.0
SRGAP3,0.5413846311486931,-2.2399619,1.0
PEBP4,0.8551638461122231,-2.2371974,1.0
PICALM,0.47650279155468456,-2.2306163,1.0
ZDHHC16,0.34490766127282646,-2.2272792,1.0
CPSF6,0.4386415952629824,-2.2213006,1.0
MCTP1,0.9505772652253053,-2.2179122,1.0
ITGB4,0.3216165533657245,-2.2142823,1.0
MMUT,0.932930113312165,-2.2128108,1.0
F11R,0.4968045949648343,-2.2085826,1.0
C15orf40,0.8059509050845824,-2.1981277,1.0
MAP3K5,0.6143906960126828,-2.1967986,1.0
ZNF254,0.602453703228208,-2.188584,1.0
COX7C,0.8041904994892051,-2.184166,1.0
ENKD1,0.6689292011293245,-2.1787195,1.0
NECTIN4,0.5699857930613501,-2.171904,1.0
NAV2,0.3422999971353108,-2.1701484,1.0
PSPC1,0.8147675200860911,-2.161846,1.0
PRKACA,0.5353771172484836,-2.161197,1.0
TMEM45A,0.701523972287482,-2.1586895,1.0
CIPC,0.8927953611286317,-2.1581428,1.0
HAT1,0.9845748235448204,-2.1556067,1.0
SLC18B1,0.7692020660528326,-2.1555462,1.0
TMEM41B,0.7557651491448885,-2.153206,1.0
RING1,0.5859198733686181,-2.1473284,1.0
GRB7,0.6772305453806247,-2.1424718,1.0
ILKAP,0.718459473945199,-2.1414118,1.0
TMEM176A,0.734677475573748,-2.13438,1.0
CIRBP,0.2925451706646697,-2.133433,1.0
