gene,p_val,logFC,p_val_adj
ZEB2,0.10578315480912309,-10.69961,1.0
GOLGA7,0.9287435074532671,-10.062031,1.0
RENBP,0.06337410648814512,-8.171473,1.0
SERPINA1,0.2170296553941412,-7.0412126,1.0
CAMK2N1,0.9086842382740115,-6.771737,1.0
ZBTB46,0.8064959405073401,-6.7629094,1.0
ZNF655,0.9194789742494683,-6.716078,1.0
MALL,0.8019833603716776,-6.519196,1.0
ASH1L,0.7278529005698663,-6.4783373,1.0
RIN3,0.2661421998750705,-6.452249,1.0
FADS2,0.5571365996412174,-6.3623166,1.0
STK35,0.9194789742494683,-6.285243,1.0
AVPI1,0.8580542023619442,-6.006982,1.0
ZNF618,0.5036552342003642,-5.834681,1.0
PRRT2,0.8064959405073401,-5.8070927,1.0
SRRM2,0.9302885701156912,-5.68291,1.0
DCTN6,0.9891425015111697,-5.6514583,1.0
CLCN3,0.5377225945932134,-5.593015,1.0
MAP3K10,0.907143461495594,-5.5456295,1.0
FXYD1,0.8886830279211217,-5.4943666,1.0
PIK3CD,0.7191109042245274,-5.481228,1.0
MIER1,0.6519771820481731,-5.4525366,1.0
IFRD2,0.8200718082617269,-5.449405,1.0
TSEN54,0.1681032794976708,-5.2987266,1.0
INPP5F,0.8170501316965547,-5.2973166,1.0
DOCK8,0.9318338955661367,-5.2440114,1.0
ZNF783,0.7661321051695726,-5.1743155,1.0
ALAD,0.9550413637406262,-5.0481744,1.0
GRAMD1A,0.9829389903867456,-5.0113807,1.0
CCNG2,0.7278529005698663,-5.0091467,1.0
GRB10,0.9287435074532671,-5.0088854,1.0
MCM3AP,0.9643361448903203,-4.978631,1.0
VAV3,0.5715872047413204,-4.9744787,1.0
TPSD1,0.013811613619426778,-4.9665465,1.0
SEC31A,0.8367376503255307,-4.9341903,1.0
TRIM24,0.5689466084885864,-4.8403964,1.0
CLN8,0.812522724123149,-4.833777,1.0
PRPF40A,0.8580542023619442,-4.8159957,1.0
SRSF8,0.9457526927267955,-4.75905,1.0
COQ9,0.9751860959322219,-4.740196,1.0
TMEM263,0.9992244405794246,-4.713533,1.0
ABCA1,0.38008818402165645,-4.7032094,1.0
KIAA1324L,0.8810083777010118,-4.700898,1.0
C15orf39,0.6352534556685381,-4.6918836,1.0
RXRB,0.7300439960909928,-4.674985,1.0
ADK,0.7922289198461372,-4.6583886,1.0
INPPL1,0.7743069484656165,-4.6300626,1.0
CEPT1,0.9056030340599464,-4.574168,1.0
SNX9,0.9210223386278877,-4.562803,1.0
ST14,0.5782140740445345,-4.5575886,1.0
HPGDS,0.003176917510447781,-4.5533137,1.0
HCFC1R1,0.9922445266989067,-4.536122,1.0
PEF1,0.9194789742494683,-4.5360155,1.0
GRASP,0.6816648669161451,-4.511357,1.0
IFRD1,0.7922289198461372,-4.4964476,1.0
FAM219A,0.9496221489619513,-4.461905,1.0
CTXN1,0.8064959405073401,-4.450725,1.0
NDUFB6,0.8994449325081929,-4.4464555,1.0
DUSP10,0.41532848548328716,-4.417966,1.0
ST7,0.6632250524380991,-4.3744464,1.0
WDR70,0.8871472392191175,-4.3516245,1.0
RAB32,0.5364405084344395,-4.3379345,1.0
CHKA,0.6037199186547618,-4.3196716,1.0
MINDY3,0.9736357748676487,-4.304975,1.0
MCTP1,0.5888915774713086,-4.2953467,1.0
RAPGEF2,0.26530723546478097,-4.267646,1.0
HYI,0.5888915774713086,-4.2591834,1.0
VEGFC,0.8948303053542515,-4.251594,1.0
SLC45A3,0.00848265525256243,-4.199884,1.0
LINS1,0.8687524414034531,-4.1338906,1.0
MGAT4B,0.8352194225960288,-4.1261477,1.0
LAIR1,0.4197953277144405,-4.10496,1.0
PRAG1,0.5036552342003642,-4.1002727,1.0
FHL1,0.8641644203956714,-4.0823007,1.0
GNG2,0.7249348995517285,-4.0643,1.0
RNF130,0.36703863788228575,-4.023678,1.0
HOXB2,0.5098769004068435,-4.0169797,1.0
TNIK,0.017519673107039224,-4.0019875,1.0
SEMA3F,0.8779416023738542,-3.995301,1.0
TBX4,0.8367376503255307,-3.991682,1.0
SLC18A2,0.026412449560807728,-3.9906878,1.0
C20orf96,0.8779416023738542,-3.9724536,1.0
FAAP100,0.8672226020496523,-3.9648786,1.0
PPHLN1,0.7847474855422032,-3.9619596,1.0
ARHGAP12,0.8473819693008895,-3.9443307,1.0
LITAF,0.7162049868141045,-3.919591,1.0
RGS13,0.023584328186760022,-3.9187944,1.0
ANXA2R,0.8687524414034531,-3.9123814,1.0
COX7C,0.8466207125723073,-3.9031146,1.0
CLMN,0.8170501316965547,-3.886323,1.0
PHC1,0.9194789742494683,-3.883312,1.0
ACER3,0.49378454972827746,-3.8823817,1.0
DNALI1,0.8948303053542515,-3.8784835,1.0
NEMF,0.8291527047199172,-3.8693645,1.0
CPPED1,0.6146084048831182,-3.8537135,1.0
TPSG1,0.039706067796789986,-3.8413992,1.0
COA8,0.8979063378230141,-3.841387,1.0
GATD3A,0.8162951353494603,-3.8241768,1.0
TXNDC5,0.6214573020101489,-3.8039186,1.0
SAMD4A,0.9333794780080866,-3.796184,1.0
GAA,0.7300439960909928,-3.7609668,1.0
DIPK2A,0.8230961582364527,-3.7558203,1.0
DAAM2,0.7750513736700824,-3.7069623,1.0
BTG2,0.7104055034250227,-3.6947613,1.0
MAP4,0.6214573020101489,-3.678969,1.0
EPB41L4A,0.981388259130198,-3.6757755,1.0
TRAF3IP3,0.4362225614584784,-3.6657887,1.0
PDE3B,0.8185606330954328,-3.6488805,1.0
MBOAT7,0.18521662639533354,-3.6169484,1.0
MS4A2,0.010935672747125537,-3.6069472,1.0
PDE4DIP,0.7840004223339796,-3.5998197,1.0
GJA1,0.8185606330954328,-3.5772789,1.0
ZFP90,0.9194789742494683,-3.5693347,1.0
CKAP5,0.7205653901817596,-3.5435982,1.0
RUFY3,0.9728606513202164,-3.53648,1.0
TOGARAM1,0.925654193663627,-3.5331361,1.0
TBX2,0.5480343572570576,-3.5310361,1.0
WDFY3,0.8979063378230141,-3.5288777,1.0
IL18R1,0.009161049464380245,-3.5186536,1.0
NEK6,0.3966600988224649,-3.4693813,1.0
RBM15,0.9056030340599464,-3.4569323,1.0
CST7,0.7046227410960153,-3.4383945,1.0
FCHSD1,0.9148507238551035,-3.4188325,1.0
TBL3,0.8641644203956714,-3.403075,1.0
DTNBP1,0.6505766818925156,-3.382429,1.0
ADAMTS7,0.30835648405422067,-3.3820868,1.0
PPARD,0.6463825944154187,-3.3645391,1.0
UBN2,0.9426580445184184,-3.3332593,1.0
UQCR11,0.9705354373954745,-3.3294437,1.0
IGFBP7,0.6463825944154187,-3.3197925,1.0
TRABD,0.6338680221454263,-3.3033037,1.0
TTC13,0.9163931610939011,-3.2982013,1.0
MICAL2,0.7877377155162028,-3.297387,1.0
ACVR1B,0.6394174089290316,-3.290393,1.0
ATAD2B,0.6959806060112212,-3.2777276,1.0
ZFYVE28,0.5643396374282554,-3.2660716,1.0
CXXC5,0.7557654112780591,-3.2472677,1.0
BMP6,0.8963681268663072,-3.2363987,1.0
ADRB2,0.07559257992964609,-3.2212536,1.0
LMO3,0.417558386815565,-3.216275,1.0
LY6E,0.6283391505283269,-3.1936371,1.0
ERN1,0.8672226020496523,-3.1908677,1.0
RBM26,0.7616839859134105,-3.1822267,1.0
ATOX1,0.8979063378230141,-3.1689918,1.0
SLC39A7,0.9117668168747806,-3.1621847,1.0
GNA14,0.9025232501776794,-3.1537142,1.0
C11orf96,0.7329688852929084,-3.1420612,1.0
INSIG2,0.9117668168747806,-3.1409998,1.0
LENG8,0.3822022642147832,-3.1390088,1.0
PTGIR,0.8948303053542515,-3.1227005,1.0
YPEL2,0.9922445266989067,-3.093516,1.0
CD2AP,0.9875915475335306,-3.0876749,1.0
CCDC107,0.9395642616602286,-3.0862763,1.0
RGS5,0.9086842382740115,-3.0757325,1.0
ZBTB32,0.4254184006735219,-3.0548909,1.0
B4GALT5,0.3281475985959449,-3.051603,1.0
VPS28,0.5383642141995677,-3.04824,1.0
RALA,0.8473819693008895,-3.0440283,1.0
KRT18,0.8019833603716776,-3.0193026,1.0
ANKFY1,0.907913806575935,-3.0123525,1.0
ATG16L2,0.5715872047413204,-3.0026002,1.0
EVPL,0.37014478117098215,-3.0007195,1.0
CXCL16,0.7982279088232612,-2.9993439,1.0
NDST2,0.02352458755246009,-2.9981601,1.0
KIT,0.12316515861063224,-2.9925084,1.0
PNKD,0.8473819693008895,-2.9888978,1.0
ANP32E,0.8565279607725962,-2.9878972,1.0
TSPAN32,0.4659926066665473,-2.9842079,1.0
PEBP4,0.8019833603716776,-2.9824824,1.0
PLCXD1,0.8764088983979282,-2.966547,1.0
MRTFB,0.8185606330954328,-2.9622436,1.0
ITM2A,0.7147535649072815,-2.9571724,1.0
SH3BP2,0.887915080969651,-2.9554212,1.0
BTN3A2,0.6745493558695856,-2.9347367,1.0
VPS8,0.968985432690573,-2.9343877,1.0
ENAH,0.6773921132601206,-2.9068646,1.0
MGME1,0.6561860365431058,-2.9065895,1.0
KLHL6,0.24226677546628606,-2.9060228,1.0
FHL3,0.7609433932080902,-2.901439,1.0
ARL17B,0.9133086071953125,-2.8994968,1.0
SLC22A15,0.8064959405073401,-2.8866522,1.0
C5AR1,0.8170501316965547,-2.8864188,1.0
ENPP3,0.4356500076413685,-2.8819356,1.0
ATG3,0.9411110420124986,-2.8728004,1.0
FBN1,0.7528114656081217,-2.8680217,1.0
IL1RL1,0.010169258792628212,-2.8555477,1.0
CUEDC1,0.8626360893226064,-2.84386,1.0
MTMR6,0.9025232501776794,-2.8294833,1.0
STX3,0.01856103213631878,-2.8183858,1.0
MPST,0.9968977696453408,-2.8097486,1.0
SPAG9,0.6902409543366146,-2.8038208,1.0
ACSL4,0.13066347770498404,-2.7797031,1.0
ZNF91,0.9720855534047506,-2.7665367,1.0
P2RX1,0.019656157250169833,-2.7405162,1.0
BACE2,0.20358573589209406,-2.73852,1.0
FBRS,0.5735714691843874,-2.7283468,1.0
ARHGAP24,0.8718135890549142,-2.702361,1.0
ATP5PD,0.8779416023738542,-2.695581,1.0
HS3ST1,0.44834598804855375,-2.672258,1.0
MAP3K13,0.9086842382740115,-2.6617484,1.0
MMP19,0.8019833603716776,-2.6272287,1.0
MAP3K4,0.9457526927267955,-2.6197753,1.0
ARHGAP18,0.19811027492505162,-2.6163278,1.0
HEXIM1,0.7780311361571205,-2.6101556,1.0
LAX1,0.42203929648044947,-2.608472,1.0
RAB11FIP2,0.9411110420124986,-2.6070437,1.0
WDR41,0.800480625495632,-2.5988595,1.0
LIF,0.10329077539960002,-2.592181,1.0
DBNDD2,0.8963681268663072,-2.590564,1.0
DCUN1D4,0.9891425015111697,-2.5780938,1.0
HTRA2,0.9364713906659636,-2.5734322,1.0
RYBP,0.8435771237543084,-2.569172,1.0
RANBP10,0.9133086071953125,-2.5677934,1.0
PRCP,0.9403376237037867,-2.5637863,1.0
TCAIM,0.9767365107453937,-2.541619,1.0
STX12,0.7720749201874073,-2.538723,1.0
CCDC88B,0.5402913746074198,-2.5314326,1.0
METTL17,0.821583651782271,-2.528579,1.0
