gene,p_val,logFC,p_val_adj
SCAND1,0.6106176433657498,-12.400801,1.0
GSTT2B,0.8100121912663828,-10.664659,1.0
ITGAM,0.010694361718236062,-10.65541,1.0
PJA2,0.17053460197790427,-10.6513605,1.0
PARP16,0.9046755013277955,-10.482219,1.0
GCA,0.011499390709522014,-10.371391,1.0
PATL1,0.5818367044360743,-9.817418,1.0
HIPK1,0.47279070585727534,-9.721272,1.0
CDIP1,0.9988085739239829,-9.51861,1.0
NDUFB6,0.6725983856043789,-9.270075,1.0
USB1,0.28797079241993473,-8.914322,1.0
KRAS,0.17090755884512554,-8.669031,1.0
NIN,0.2848658020610991,-8.637108,1.0
SOX12,0.8192851900918048,-8.490761,1.0
FUCA2,0.2402839291399641,-8.451048,1.0
ERO1A,0.04936893524733739,-8.339662,1.0
NINJ1,0.0415238109631292,-8.188288,1.0
PRPS2,0.7924677808380041,-8.12365,1.0
PHF6,0.7754853627070035,-8.048456,1.0
EDEM3,0.4900862232361356,-7.9285483,1.0
TSPAN14,0.15918471829274694,-7.926343,1.0
PLOD3,0.3736444786462637,-7.7388825,1.0
ZNF772,0.9146191804735962,-7.6620245,1.0
PPP2CA,0.7391413266727787,-7.54384,1.0
MEFV,0.11865897869818072,-7.5369887,1.0
AUH,0.7674898418089623,-7.526656,1.0
GNB1L,0.9897540135530083,-7.4358068,1.0
RAB8B,0.08534130958598514,-7.317522,1.0
TRAPPC6A,0.9892774840957971,-7.2167883,1.0
TMEM19,0.7122557615350487,-7.1652517,1.0
DNAJC25,0.9037292384502296,-7.104004,1.0
ADAT2,0.9131977995425776,-6.937339,1.0
KHSRP,0.7283466503732933,-6.8085694,1.0
PHC2,0.264788104857854,-6.785477,1.0
AMPD3,0.078725221681967,-6.7656884,1.0
POLR2L,0.14459610976910875,-6.69032,1.0
SESN1,0.9868948975859034,-6.651858,1.0
ARID1B,0.9835594775773485,-6.573873,1.0
KMT2B,0.5457362443854831,-6.569108,1.0
SLC39A8,0.005911987648988274,-6.541548,0.9397324074630214
TM2D2,0.5117430511414269,-6.3598595,1.0
AIMP2,0.5018029616411195,-6.326838,1.0
IGHA1,0.9075150969276721,-6.3091745,1.0
SLC12A9,0.23377021658791342,-6.2514324,1.0
LAMTOR4,0.0026068593010132447,-6.162586,0.6164638621679679
POT1,0.9807007726459185,-6.1583133,1.0
AP1B1,0.13956752365272063,-6.157034,1.0
CD93,0.06670024263715664,-6.1483974,1.0
ADAP2,0.01488511334926989,-6.1336684,1.0
OTUD5,0.9411968630777306,-6.091581,1.0
PALM2-AKAP2,0.7936189000083604,-6.023931,1.0
NPL,0.02733517865919944,-5.988636,1.0
PGAP1,0.8472511847277381,-5.9510527,1.0
CCR5,0.3314497407275099,-5.9159594,1.0
SF3B4,0.48148918273466745,-5.886738,1.0
PIGC,0.8206783563785732,-5.8539634,1.0
GSK3A,0.4569200150585774,-5.7555556,1.0
ZFP36L1,0.02186482445178156,-5.7443786,1.0
NOP56,0.9868948975859034,-5.725699,1.0
TRAPPC11,0.6503002303897396,-5.6776457,1.0
NCKAP1L,0.019289209902644735,-5.6143527,1.0
WASF2,0.49121363248408767,-5.5955386,1.0
DUSP3,0.6177525900240524,-5.5844674,1.0
LRRC8D,0.44437082983134346,-5.5457783,1.0
TMOD2,0.624078249611977,-5.5267076,1.0
ERP44,0.04200375659134926,-5.437669,1.0
RABGGTA,0.9314583518591227,-5.432861,1.0
ARL5A,0.8397732154727183,-5.398716,1.0
ENO2,0.7326132409445658,-5.377415,1.0
G0S2,0.6026868585415736,-5.354815,1.0
LZIC,0.42574740843764947,-5.31855,1.0
CFP,0.0027059610555940743,-5.303107,0.6304889259534193
PRAM1,0.08031298044805321,-5.2491674,1.0
CD63,0.002336076749390168,-5.157632,0.579474196681466
PEX2,0.408772452673004,-5.1299887,1.0
GPN1,0.7663496199514033,-5.1227703,1.0
NDUFAF8,0.5485192334133353,-5.119997,1.0
RILPL2,0.2792544433010816,-5.0993094,1.0
MUSTN1,0.9236274151213306,-5.0692153,1.0
APOBEC3A,0.27951993448844115,-5.030769,1.0
TMEM18,0.9895157483568863,-4.9987493,1.0
MCM5,0.7202857195210777,-4.9972277,1.0
ALYREF,0.6338315229563027,-4.9466076,1.0
MAN2A1,0.6087351176801874,-4.931364,1.0
MCUB,0.1929849704545381,-4.921119,1.0
ODC1,0.9530848617552076,-4.905655,1.0
FYTTD1,0.4919660118275334,-4.9023237,1.0
PSMB7,0.6923216332960791,-4.8677363,1.0
TMEM59,0.39353033216411115,-4.8645906,1.0
MICOS10,0.10897110803605013,-4.83022,1.0
CD300A,0.0004567557529423991,-4.8244405,0.195590220259983
DOK2,0.008195297992706975,-4.79622,1.0
NRN1,0.8848344561681678,-4.7888947,1.0
C15orf48,0.16501319647737223,-4.7759104,1.0
LPAR6,0.13600284306629976,-4.744936,1.0
SHOC2,0.40995930221034516,-4.743835,1.0
DDX18,0.38661315590186773,-4.7292304,1.0
RGS19,0.01981989188958706,-4.7195363,1.0
PDIA4,0.6415092571439112,-4.7158785,1.0
GPR141,0.4561975969525136,-4.714062,1.0
DAB2,0.10066070743243154,-4.71075,1.0
MARCKS,0.0496458960664816,-4.7006006,1.0
SERF2,0.08965750388507407,-4.6942887,1.0
SUPT4H1,0.459091121254511,-4.6756873,1.0
CPPED1,0.08648649488522116,-4.674909,1.0
PET100,0.5360512740055037,-4.6394763,1.0
DNMBP,0.9250506938334699,-4.619837,1.0
UBE2J1,0.2280733750677949,-4.6122875,1.0
KLHL17,0.8947467474908156,-4.6108303,1.0
CHMP1B,0.6238669436841318,-4.5975833,1.0
FAM49B,0.01777096492141919,-4.5704927,1.0
DCAF12,0.3096318397525152,-4.5593796,1.0
GOLPH3,0.329224259737224,-4.504172,1.0
DAPK1,0.33668026039553867,-4.488425,1.0
NCF4,0.1257299071598014,-4.475491,1.0
SRI,0.6608706125721908,-4.4678354,1.0
ZFP91,0.4229764368446304,-4.467682,1.0
TMEM176A,0.0006225586089547762,-4.462504,0.24768100305768134
LYST,0.0368125801994285,-4.432508,1.0
PDRG1,0.9042023528830494,-4.432073,1.0
SIGLEC9,0.009568201885319276,-4.4304867,1.0
ZDHHC20,0.03048793913015888,-4.420509,1.0
PID1,0.34135709344146903,-4.4065633,1.0
ARPC1B,9.395424453056548e-05,-4.374729,0.08305123090627262
SURF1,0.4632685197810906,-4.3491464,1.0
SORL1,0.07711312974135785,-4.3490467,1.0
PLXNC1,0.003733341758043449,-4.3469853,0.7393883351805051
BST1,0.22066994156568742,-4.3467803,1.0
TPP1,3.8609782677619515e-05,-4.341682,0.04142063932878626
DDB2,0.7780032088272334,-4.3406677,1.0
DENND10,0.19887037763259896,-4.329763,1.0
HIVEP3,0.3163636509617207,-4.3152556,1.0
TFCP2L1,0.8100121912663828,-4.3082466,1.0
PYGL,0.2404035324278715,-4.3054028,1.0
SLC30A1,0.1369464786825435,-4.2694006,1.0
RHOT1,0.2188742880481379,-4.258107,1.0
PLCL2,0.5505113641407486,-4.240792,1.0
ZYG11B,0.7533874079971747,-4.2243924,1.0
CCT8,0.33969283363863023,-4.2155485,1.0
JOSD1,0.945475172612544,-4.2089386,1.0
RFXANK,0.6089441595684508,-4.200098,1.0
CMTM3,0.02606688359433713,-4.145875,1.0
WHAMM,0.8577902397817844,-4.134485,1.0
CCDC167,0.7193919576198317,-4.0793653,1.0
SEMA4D,0.3253897523429006,-4.069383,1.0
