gene,p_val,logFC,p_val_adj
EDC4,0.7714785668806354,-12.804149,1.0
TRPV2,0.3544323630334578,-10.375649,1.0
GADD45B,0.7163230036232298,-9.46289,1.0
NFATC4,0.005623526024275033,-9.012676,1.0
ZCCHC24,0.4941174938194496,-8.735533,1.0
MRI1,0.8747769129339031,-8.019047,1.0
CSPP1,0.6372987964527477,-7.878952,1.0
PEX13,0.9035914018831375,-7.001515,1.0
OXSR1,0.959489125176005,-6.9992266,1.0
PDGFA,0.8758033803322189,-6.9891944,1.0
VCL,0.9574135701656176,-6.9669294,1.0
CNNM3,0.5727873030263423,-6.866358,1.0
SFT2D2,0.7526192652176639,-6.844779,1.0
MED24,0.7814598278098419,-6.4097953,1.0
CHTOP,0.6188171578606394,-6.381048,1.0
C20orf194,0.6998531958077396,-6.308082,1.0
PCMTD2,0.32097804713117795,-5.9858274,1.0
ANKS1A,0.8984355131844849,-5.931109,1.0
TMEM173,0.6883113258681478,-5.4494014,1.0
FGD5,0.9273575521774896,-5.172624,1.0
NCOR2,0.5473594243497046,-5.079995,1.0
RHOJ,0.8065675938366335,-5.0548434,1.0
NOL4L,0.8573605805875252,-5.030369,1.0
RILPL2,0.7784615848523245,-5.0099983,1.0
ATXN7L3B,0.8481676491524042,-4.9971685,1.0
FHOD1,0.36882568075874955,-4.9440455,1.0
EFCC1,0.36605642110370784,-4.876539,1.0
RAB7A,0.830860428313048,-4.8608956,1.0
DST,0.8675976347486718,-4.8137407,1.0
SH3KBP1,0.7192434513293158,-4.6939926,1.0
MYH11,0.9397844242640079,-4.691909,1.0
IRF3,0.8075762516879706,-4.667204,1.0
STARD10,0.7655078003453425,-4.5334687,1.0
UNC93B1,0.7655078003453425,-4.489516,1.0
REXO1,0.6188171578606394,-4.4585924,1.0
AKAP10,0.9366762120510455,-4.4495597,1.0
ACAP3,0.27109188845934373,-4.310632,1.0
LYST,0.93046272890755,-4.260406,1.0
PHF2,0.8217303275586991,-4.256374,1.0
TTC17,0.4681745894175434,-4.1065736,1.0
ANTXR2,0.9015285461178232,-4.0888124,1.0
CCDC82,0.7192434513293158,-4.0834246,1.0
AMOTL1,0.8809388178268954,-4.0651884,1.0
PTBP1,0.9387482492459639,-4.04094,1.0
SCARF2,0.3286578324784537,-4.039377,1.0
FAM126A,0.56483615362796,-3.9531827,1.0
ACBD6,0.9015285461178232,-3.9234257,1.0
TEAD2,0.450004121985236,-3.9081478,1.0
BCR,0.8197046448281663,-3.906071,1.0
SFSWAP,0.8085852295479093,-3.882995,1.0
FAM177A1,0.8328924900646603,-3.8673477,1.0
RMND5B,0.8379775030826973,-3.848726,1.0
MAPK8IP3,0.6410228427861147,-3.8253982,1.0
EFHD2,0.5208102483186069,-3.8131196,1.0
NFKB1,0.9097838197526722,-3.811178,1.0
KLHDC2,0.6569501177497374,-3.7879891,1.0
UBE2H,0.9015285461178232,-3.78645,1.0
PPP3CC,0.9605270065494426,-3.753817,1.0
SEC31A,0.6883113258681478,-3.7486935,1.0
RAB10,0.8512297299463077,-3.7390187,1.0
IQCN,0.9035914018831375,-3.686309,1.0
OSGEP,0.9283924905256861,-3.669131,1.0
DNAJC3,0.8901950908318365,-3.6675048,1.0
RNF141,0.7914772173309776,-3.6605954,1.0
ARHGAP29,0.23286000800401763,-3.650421,1.0
LPL,0.06648778613756076,-3.6222243,1.0
APOL1,0.8085852295479093,-3.5466535,1.0
GPBP1L1,0.830860428313048,-3.5465317,1.0
PDE5A,0.44223031806176605,-3.4116778,1.0
PGD,0.7250966221883854,-3.399743,1.0
FAM122B,0.9948041013496054,-3.3833385,1.0
ALDH1A1,0.6892704257478905,-3.3617089,1.0
ARFIP1,0.7104945774652393,-3.3502781,1.0
RYR2,0.24533067280478615,-3.3443387,1.0
PSME4,0.9190826153300814,-3.3362424,1.0
UBXN4,0.8227436157177426,-3.3351705,1.0
ITGAL,0.7655078003453425,-3.3168588,1.0
NUDT21,0.968832318498062,-3.2988117,1.0
GGT7,0.5816837304531424,-3.288264,1.0
KAT2A,0.7774629004303782,-3.2687817,1.0
FOXJ3,0.835942673212559,-3.2662308,1.0
PLEKHA5,0.5692469040502467,-3.230052,1.0
HIGD2A,0.8522509246043029,-3.2224853,1.0
LIME1,0.8410317764898454,-3.2162874,1.0
MAP4K4,0.7555875750957542,-3.2065506,1.0
NELFA,0.8298448204809379,-3.1826086,1.0
TIAL1,0.6979246419644525,-3.1710222,1.0
PFDN2,0.8573605805875252,-3.1617959,1.0
UPP1,0.8594061302899156,-3.1524324,1.0
NDUFB9,0.83492566895824,-3.137026,1.0
ARRDC1,0.8604292599933241,-3.1237228,1.0
GSTK1,0.49083312623320685,-3.115145,1.0
RELL1,0.8410317764898454,-3.1086931,1.0
CCM2,0.8461275312957643,-3.1045496,1.0
CD24,0.7694867874270365,-3.084723,1.0
KCNK3,0.07064232666448181,-3.0784109,1.0
DOCK5,0.29025087972592667,-3.0713675,1.0
CTDSP2,0.6626094113122885,-3.064379,1.0
ALOX5AP,0.7017836873158787,-3.056975,1.0
INTS4,0.9812963459426536,-3.0502357,1.0
ZNF697,0.10490559076465446,-3.0380602,1.0
INMT,0.4531351964236482,-3.0339925,1.0
DVL3,0.43300398531239637,-3.0305448,1.0
SEPTIN4,0.33449520843093516,-3.011768,1.0
PLOD3,0.8737506562010054,-3.0001726,1.0
MYO10,0.5745614130143581,-2.9681447,1.0
CTDP1,0.853272367007091,-2.966971,1.0
SLC7A7,0.7506424190601385,-2.9565804,1.0
DMTF1,0.41191429241058386,-2.9408975,1.0
KIAA0895L,0.3871419320826417,-2.9265237,1.0
KCNK17,0.1074413449424722,-2.896874,1.0
CALM3,0.8675976347486718,-2.8951175,1.0
FAM193A,0.8035435564158655,-2.894873,1.0
DUSP22,0.853272367007091,-2.8889258,1.0
SIK3,0.8953440224145103,-2.8665414,1.0
SERINC3,0.835942673212559,-2.8524256,1.0
NDRG1,0.24322032202169241,-2.8403497,1.0
ICA1,0.7143783380772248,-2.835374,1.0
ARPC5L,0.7804600501041614,-2.8316658,1.0
DCAF5,0.7221680038315887,-2.8262947,1.0
PARP4,0.7774629004303782,-2.8001907,1.0
TMEM33,0.9128821091560104,-2.7997465,1.0
SPRY4,0.13351162570107292,-2.793717,1.0
LILRB2,0.7037161053236671,-2.7926598,1.0
SPTLC2,0.8176801644109525,-2.7922072,1.0
EYA3,0.9615649548269597,-2.7849078,1.0
NBEAL1,0.6921507175122665,-2.7714057,1.0
LAMA2,0.6578919792029909,-2.7275856,1.0
TRAM1,0.6863946303707249,-2.718859,1.0
PLEKHA2,0.22880480660738978,-2.704467,1.0
MAPKAPK3,0.7674965278038093,-2.6906548,1.0
RHOB,0.7348875442794551,-2.6855972,1.0
MOB3B,0.5107141702148805,-2.6844041,1.0
RBM47,0.7124355255564957,-2.6678998,1.0
ABCG1,0.8217303275586991,-2.6502757,1.0
MPEG1,0.7124355255564957,-2.6455026,1.0
LRP1,0.8819665135162379,-2.63457,1.0
PPP1R12A,0.5701310236150197,-2.6345217,1.0
GLI3,0.4745887196818366,-2.6087997,1.0
UFM1,0.8635000483308961,-2.605086,1.0
PHLDB1,0.11474028259757574,-2.6043608,1.0
DPP9,0.8237571995636703,-2.5951536,1.0
MAP3K12,0.6494349410425229,-2.5864487,1.0
PTMS,0.4238900217310363,-2.577191,1.0
MAN2A2,0.9128821091560104,-2.5581892,1.0
UBE2G2,0.8136348625515024,-2.5079029,1.0
TRIOBP,0.9252880458725555,-2.5052164,1.0
WDR73,0.7368509691171675,-2.4983702,1.0
DAP,0.8217303275586991,-2.4977696,1.0
MEGF6,0.6541278064529217,-2.492335,1.0
MANBA,0.83492566895824,-2.4879913,1.0
ADAMTSL4,0.7894709244623004,-2.4698305,1.0
UCKL1,0.5843651993204633,-2.4690242,1.0
LEF1,0.4089520172072886,-2.4675703,1.0
AFAP1L2,0.3184443843573904,-2.4586134,1.0
ATOH8,0.8727246118307893,-2.4556587,1.0
GLI4,0.8146457265859082,-2.4503152,1.0
FILIP1L,0.6298781899920747,-2.4408853,1.0
SCAP,0.8176801644109525,-2.4332964,1.0
PNRC1,0.6797021335468304,-2.4172862,1.0
JAK3,0.8881368017847985,-2.4160514,1.0
METTL9,0.9149483742632745,-2.4116917,1.0
MSRB3,0.721192699309154,-2.4090185,1.0
TMEM131,0.8758033803322189,-2.4048786,1.0
FAM193B,0.5807911874227856,-2.394268,1.0
BAG6,0.902559891767882,-2.3876073,1.0
LY6G5B,0.56483615362796,-2.3805268,1.0
GSDMB,0.992725791246696,-2.371418,1.0
SOGA1,0.24427389723284676,-2.3705215,1.0
KIFC3,0.9397844242640079,-2.3679917,1.0
SENP5,0.8055592576028641,-2.354709,1.0
TRIM56,0.8963743451204061,-2.3409278,1.0
NOTCH2NLB,0.450004121985236,-2.339111,1.0
ATP1A1,0.7270512739230773,-2.3307095,1.0
ITFG2,0.9149483742632745,-2.3271837,1.0
EVL,0.6560088009534837,-2.3266423,1.0
ZNF282,0.7914772173309776,-2.3244767,1.0
INVS,0.8116140670657754,-2.304469,1.0
RHBDF1,0.5825769141509212,-2.3020303,1.0
PPP1R14A,0.7954939370472499,-2.2901778,1.0
SCMH1,0.8106041388497532,-2.2893927,1.0
PPIE,0.93046272890755,-2.2817345,1.0
PEX1,0.8085852295479093,-2.254327,1.0
WDR60,0.8675976347486718,-2.2491128,1.0
FAM162B,0.4238900217310363,-2.246288,1.0
TRAPPC5,0.8045512445940247,-2.2374156,1.0
LUC7L2,0.8379775030826973,-2.2215512,1.0
CTDSPL,0.5421690626131588,-2.2164187,1.0
TRIM2,0.684479949634412,-2.212699,1.0
PDE2A,0.4001415867186523,-2.209277,1.0
SLC25A25,0.8901950908318365,-2.2042696,1.0
ARHGAP24,0.6280288214755685,-2.1989176,1.0
CIRBP,0.1972578195974628,-2.1821547,1.0
SPON2,0.277379534958083,-2.1816144,1.0
ARMH3,0.9211505635423218,-2.176458,1.0
MAP4K2,0.9740249129994034,-2.1749,1.0
MAN1A1,0.6749371461048319,-2.1680944,1.0
ADPGK,0.7397993264330889,-2.158402,1.0
GTF2I,0.9968824467075488,-2.154695,1.0
COPS7A,0.8400134170807427,-2.1510384,1.0
KDM4C,0.897404842616629,-2.1507714,1.0
ALG13,0.6160652074933827,-2.1506958,1.0
FAM219B,0.7854625359646533,-2.147632,1.0
KLHDC10,0.7260737250741665,-2.146645,1.0
FBXL12,0.8410317764898454,-2.1430771,1.0
CAV2,0.6400909790020661,-2.1361425,1.0
SRM,0.8922541202124076,-2.1325552,1.0
ZFYVE27,0.8747769129339031,-2.1235056,1.0
MBOAT7,0.9190826153300814,-2.1213386,1.0
MID1IP1,0.7914772173309776,-2.1180365,1.0
TMEM63B,0.959489125176005,-2.1108673,1.0
SZRD1,1.0,-2.110703,1.0
SCARF1,0.7270512739230773,-2.1094596,1.0
SNED1,0.8737506562010054,-2.096215,1.0
SIDT2,0.9097838197526722,-2.092311,1.0
ARHGAP1,0.850208784704866,-2.0820794,1.0
TIPRL,0.9283924905256861,-2.0549743,1.0
ATP10A,0.7486672086643935,-2.0506856,1.0
PAXBP1,0.7734718538001661,-2.047625,1.0
CDC42BPA,0.7625276088734705,-2.0445268,1.0
ULK1,0.5082062294095767,-2.0425012,1.0
CROCC,0.8207173367186371,-2.0421145,1.0
TJP1,0.26490260188105097,-2.0410156,1.0
CDK14,0.9170152142772854,-2.040129,1.0
CSF1R,0.6998531958077396,-2.0355515,1.0
CLEC11A,0.5569384769908224,-2.0310516,1.0
NF1,0.9046230747397696,-2.0294056,1.0
LIMD2,0.5098774718184391,-2.0267572,1.0
RBM14,0.7804600501041614,-2.0234177,1.0
GNB4,0.9242534813963367,-2.0172296,1.0
TMEM189,0.9532633402404844,-2.0168042,1.0
PACS1,0.9056549086131341,-2.002848,1.0
UROD,0.9211505635423218,-2.0006244,1.0
ITPR1,0.8809388178268954,-1.9993916,1.0
SKIL,0.8655483897373402,-1.9982333,1.0
LRRC14,0.9221847384928971,-1.9958158,1.0
HK1,0.8891658529103474,-1.9728366,1.0
ABCC1,0.7665019717842617,-1.9718013,1.0
PON2,0.6400909790020661,-1.9690864,1.0
SYNPO,0.7674965278038093,-1.9681548,1.0
TMEM259,0.6950354686526956,-1.9625082,1.0
TRPT1,0.8881368017847985,-1.9576106,1.0
PCDH18,0.49329530125786203,-1.9357923,1.0
COMMD4,0.9159817232734142,-1.925158,1.0
DPYD,0.6959980369137309,-1.9229739,1.0
ESAM,0.6142335644597536,-1.9211664,1.0
RBM3,0.702749656206601,-1.9194115,1.0
ADAMTS2,0.7066183200065697,-1.8906761,1.0
RBM19,0.8871079391665677,-1.8856434,1.0
SMARCC2,0.8207173367186371,-1.8796456,1.0
TBC1D10A,0.8706731669620894,-1.8793075,1.0
DNM1L,0.9294275500163108,-1.8626399,1.0
TNS1,0.176400873306354,-1.8613741,1.0
CDC42EP2,0.3957794936351131,-1.8592983,1.0
NFIL3,0.8984355131844849,-1.8504726,1.0
COX4I2,0.3483739023039517,-1.8457576,1.0
LTV1,0.9066869017777714,-1.8361349,1.0
AGO1,0.9201165219091667,-1.8358172,1.0
TRIM25,0.7526192652176639,-1.8340499,1.0
ADIRF,0.7704824879471153,-1.8254753,1.0
SORBS3,0.7309658998085939,-1.8254466,1.0
NECAB3,0.8901950908318365,-1.8085712,1.0
TBP,0.8430692918406525,-1.8077714,1.0
PKD1,0.8126243088386487,-1.8055358,1.0
TAF7,0.7844613224628977,-1.7931125,1.0
SH3D19,0.9397844242640079,-1.7861962,1.0
PDE8A,0.6114906089436535,-1.782995,1.0
LDB1,0.5182766258234037,-1.7775013,1.0
PLPP1,0.853272367007091,-1.76144,1.0
LHFPL6,0.450004121985236,-1.7592413,1.0
PPP5C,0.8512297299463077,-1.7420138,1.0
RNF145,0.8522509246043029,-1.7410839,1.0
C7orf50,0.9729862989674868,-1.7408942,1.0
EDIL3,0.6673402662307876,-1.7351176,1.0
CBFA2T3,0.4368346845652058,-1.7336049,1.0
AKIRIN2,0.8025361946725179,-1.72474,1.0
PLK3,0.9087513590749999,-1.7195681,1.0
TACC1,0.12242382207756675,-1.7189237,1.0
EEF1B2,0.7270512739230773,-1.7155689,1.0
RBFOX2,0.8881368017847985,-1.7112902,1.0
PKD2,0.6114906089436535,-1.6999936,1.0
SH3YL1,0.8328924900646603,-1.6967125,1.0
PLEKHA1,0.8778569403307432,-1.6913793,1.0
FAM160B2,0.6730347806269075,-1.6808684,1.0
KIRREL1,0.43606698698448987,-1.6782023,1.0
DHX38,0.8912245138369426,-1.6757041,1.0
DGKA,0.992725791246696,-1.6756171,1.0
CDH19,0.7368509691171675,-1.6690505,1.0
JMJD6,0.9149483742632745,-1.6651146,1.0
LRCH2,0.6531881313025953,-1.6646575,1.0
RASSF5,0.7526192652176639,-1.6619997,1.0
TBX3,0.5182766258234037,-1.6597694,1.0
APH1A,0.9823352630517792,-1.6576604,1.0
VSTM4,0.6797021335468304,-1.6515979,1.0
SLC6A6,0.7437364180502644,-1.6507704,1.0
GGA1,0.8778569403307432,-1.6424241,1.0
ZNF83,0.9056549086131341,-1.6389364,1.0
NCOA6,0.9066869017777714,-1.6352419,1.0
EZR,0.7250966221883854,-1.6301857,1.0
FGD4,0.8747769129339031,-1.6166431,1.0
ARFGEF2,0.959489125176005,-1.6130601,1.0
RUNX1,0.7724750226811045,-1.604806,1.0
MYADM,0.8328924900646603,-1.60153,1.0
IL16,0.6998531958077396,-1.6005269,1.0
TBX4,0.408213434271265,-1.5907745,1.0
TRIP4,0.9221847384928971,-1.5801008,1.0
NDUFAF7,0.9149483742632745,-1.5754848,1.0
PRPF31,0.8583832365945457,-1.5723367,1.0
NID1,0.329949285272222,-1.5721376,1.0
LYN,0.6873527269545698,-1.5719104,1.0
