gene,p_val,logFC,p_val_adj
NFIA,0.8610436379636395,-9.403639,1.0
YARS,0.7806589534303056,-9.184978,1.0
ARHGAP12,0.940253010670225,-7.965962,1.0
CREB3L2,0.28731427205503624,-7.702487,1.0
THEMIS2,0.16788876298441158,-7.639383,1.0
MICOS10,0.8220916159113671,-7.1387,1.0
ATP2B4,0.4951397807547636,-7.0593085,1.0
SULT1A1,0.8302201252195576,-7.0401893,1.0
POU2AF1,0.0003820982467553431,-6.8788443,0.5029906921536819
TP53INP1,0.00542236209391354,-6.8733406,1.0
CCDC40,0.7861259109823091,-6.5492554,1.0
PYCARD,0.8528508829656821,-6.4157577,1.0
CHST15,0.39002361047032796,-6.0910015,1.0
PDE5A,0.7715715312753775,-5.860363,1.0
PIM2,2.0536765870436932e-05,-5.753136,0.046483502635886104
TIMM10,0.8898305424634092,-5.726924,1.0
WDFY3,0.7639621864071705,-5.695455,1.0
PABPC4,0.7259139683142942,-5.6509767,1.0
IRAK1,0.6742665320583046,-5.6115613,1.0
ZDHHC21,0.8767252199974476,-5.560047,1.0
PTEN,0.8554559911128893,-5.5218735,1.0
EIF4H,0.8443026842285247,-5.4826617,1.0
C2,0.6064304061338799,-5.4394374,1.0
TNC,0.7985563956691704,-5.417338,1.0
FILIP1,0.7545726578230976,-5.2509007,1.0
NANS,0.8044239621354692,-5.0723724,1.0
NDUFV2,0.67947180056174,-4.9629354,1.0
S100A12,0.766133995743337,-4.9302206,1.0
SPARC,0.20125763214211445,-4.837053,1.0
CYTIP,0.08874197425832471,-4.834655,1.0
HPGD,0.6267981756987591,-4.8021755,1.0
GALNT11,0.8047910548439787,-4.798652,1.0
EAF2,0.11021361886473298,-4.7927294,1.0
CCN2,0.652234655496627,-4.7596393,1.0
PGGT1B,0.9761580749062619,-4.6806893,1.0
SLC35D2,0.8610436379636395,-4.6681724,1.0
TLN1,0.7057236070903969,-4.6602945,1.0
ARHGAP30,0.7156168365781257,-4.6114964,1.0
SNRPN,0.9296903183483873,-4.5623503,1.0
RIC8B,0.9825904004619949,-4.561897,1.0
MZB1,3.460161762339749e-05,-4.548553,0.06283217865586449
NOTCH1,0.3921197475245245,-4.548249,1.0
SEC31A,0.7437835677432505,-4.5336356,1.0
ERLEC1,0.3524836452768897,-4.518402,1.0
CTSO,0.8405917257484116,-4.477343,1.0
PTDSS2,0.8543393215577408,-4.4575443,1.0
CERS6,0.7784751861971773,-4.394437,1.0
MRRF,0.9187634527277834,-4.3759375,1.0
SDC4,0.3689331050066723,-4.319885,1.0
ZNF562,0.8472739452821627,-4.2910233,1.0
TMEM273,0.8069945122548556,-4.2252903,1.0
MGAT5,0.7646859174854919,-4.205058,1.0
PEX19,0.8699982439532514,-4.1746173,1.0
PIK3R2,0.9330842090183129,-4.120572,1.0
KCTD3,0.6024587144855695,-4.1204066,1.0
WDR45B,0.9897807904367167,-4.1199617,1.0
FPR3,0.8044239621354692,-4.0600367,1.0
PDK1,0.0007478426136443097,-4.042723,0.7405511481612777
GMFG,0.913870053817853,-4.039817,1.0
ENOPH1,0.8973330736144071,-4.0042543,1.0
SLAMF7,0.17959019909621954,-3.9920945,1.0
H2AFY,0.8398499561835857,-3.981123,1.0
INPP5F,0.8924553414455982,-3.980236,1.0
TPST2,0.7156168365781257,-3.9699883,1.0
NNMT,0.6625258081687417,-3.9148707,1.0
SAT1,0.019898748305070477,-3.9111054,1.0
GLCCI1,0.2474620927748864,-3.8813136,1.0
NDUFB8,0.7883156668015996,-3.878972,1.0
