gene,p_val,logFC,p_val_adj
CIC,0.7736024749396794,-10.150501,1.0
LCORL,0.8820841216277037,-9.879222,1.0
PCDHGB7,0.8828724199716442,-9.530963,1.0
PIM2,1.4711249087905142e-05,-9.0546,0.038847505091461516
HSH2D,0.0146197288185279,-8.634322,1.0
PLA2G12A,0.8565323781676939,-8.280776,1.0
USP48,0.32469468048801897,-7.3871055,1.0
PDLIM1,0.6280754738177354,-6.867592,1.0
WDR27,0.6887626213950766,-6.802963,1.0
CCDC69,0.6931810664797318,-6.665496,1.0
RTEL1,0.9093426211542954,-6.6605473,1.0
SRPRA,0.409631412983953,-6.4991245,1.0
YAP1,0.4995386351514717,-6.4722323,1.0
TENT5C,0.007309930640400564,-6.2790737,1.0
RGS2,0.8939204275037809,-6.27459,1.0
TBRG4,0.8522223174819397,-6.1188827,1.0
OTUD4,0.8805078760554226,-6.0035105,1.0
MCCC2,0.9291639569872088,-5.7936215,1.0
SNX3,0.8354173624476722,-5.7083654,1.0
ATAD1,0.9784847142183714,-5.6796565,1.0
FLT3LG,0.7659670063338705,-5.674351,1.0
FLNA,0.3649634296481239,-5.6724615,1.0
HPS3,0.8545727211805934,-5.609472,1.0
TP53INP1,0.010346688619878776,-5.6074677,1.0
UAP1L1,0.7629191268770602,-5.50317,1.0
MZB1,7.995128761751416e-06,-5.4493623,0.027422439276352656
G6PC3,0.8998476202526197,-5.36864,1.0
CNOT6L,0.9343252153687911,-5.340989,1.0
FKBP11,0.045859825356988085,-5.2639947,1.0
VEGFC,0.7330253899360321,-5.1507072,1.0
ITGB1,0.6957633317710352,-5.1451607,1.0
ZMIZ1,0.8311301420544936,-5.0227046,1.0
PCDH17,0.7572142822978822,-4.8944473,1.0
SLCO2A1,0.5691262322743709,-4.8686657,1.0
CBL,0.8569244161300322,-4.8332186,1.0
CREB3L2,0.3348554251793001,-4.8320866,1.0
BRD4,0.8120952259939083,-4.776987,1.0
FBLN5,0.5807027358295306,-4.754107,1.0
CPEB4,0.2565084710173752,-4.708481,1.0
RASAL3,0.8428340223461125,-4.695856,1.0
MTIF3,0.9101344751634314,-4.6956763,1.0
PTGIS,0.7629191268770602,-4.649503,1.0
DUS3L,0.9085508572020835,-4.6317415,1.0
ATP6V1E1,0.9557914178509666,-4.624289,1.0
TGFB1I1,0.7443326071335146,-4.478506,1.0
MIIP,0.8549645812196367,-4.4708967,1.0
TAOK3,0.9057804038205823,-4.427804,1.0
PDK1,0.0010614992929568095,-4.3939443,1.0
EAF2,0.14000131488629683,-4.379177,1.0
EIF4G3,0.8338578002229939,-4.3724947,1.0
TBC1D10A,0.9228157498877039,-4.3213005,1.0
RIPOR2,0.7594946527798127,-4.2963114,1.0
EEF2K,0.9438607885794029,-4.1926036,1.0
CLSTN3,0.8440063671125495,-4.1804647,1.0
MAGED1,0.7962524456047925,-4.1541786,1.0
MAN1A1,0.2669082499938298,-4.145232,1.0
AGER,0.28472840356490736,-4.1355953,1.0
ADGRG1,0.7889386208360291,-4.129242,1.0
GTF2E2,0.9968121723538531,-4.1286664,1.0
CRK,0.7042726457550932,-4.120329,1.0
CHST15,0.44242303844389397,-4.0473385,1.0
GBP4,0.7500071266980814,-3.9975286,1.0
SCRN2,0.9665375361049485,-3.986532,1.0
UBE2Q2,0.8990569977129051,-3.9737294,1.0
FAM89B,0.8616315980742397,-3.9401798,1.0
USP53,0.7386719338451435,-3.93848,1.0
PEBP4,0.7435770444855734,-3.9282699,1.0
ELK3,0.8868156364877264,-3.8955078,1.0
NRDC,0.8074500331466522,-3.8880637,1.0
FAXDC2,0.7758974316348165,-3.855749,1.0
TIPARP,0.9244023567634019,-3.8500671,1.0
GYS1,0.9669356692851974,-3.7929966,1.0
THEMIS2,0.2359685475367369,-3.786805,1.0
RRAS,0.7694002036699522,-3.7807705,1.0
ZNF141,0.815195710207304,-3.7776437,1.0
SELENOW,0.5084634820705803,-3.7639668,1.0
MGAT2,0.6487703904625903,-3.7604046,1.0
GSK3B,0.635892043627112,-3.7479453,1.0
TMEM109,0.916076172035637,-3.7425678,1.0
MCAM,0.5506363020941529,-3.7387648,1.0
GSTO1,0.8365874593033317,-3.695128,1.0
KLF11,0.7797267022543273,-3.6350954,1.0
CYTIP,0.13123560376945229,-3.5948403,1.0
TSPOAP1,0.7758974316348165,-3.581965,1.0
WIPI1,0.8467431781525958,-3.5704777,1.0
PRKCB,0.851439140051151,-3.547266,1.0
S100A6,0.04399264297993906,-3.5386608,1.0
YES1,0.8486991776094223,-3.5162306,1.0
NKD1,0.7458444702331724,-3.5145748,1.0
CELF2,0.4522753317363847,-3.5026655,1.0
PIGO,0.9136989117426536,-3.4952326,1.0
CD276,0.7587342958251215,-3.4873967,1.0
ATF5,0.6027878405215612,-3.4798892,1.0
HYAL2,0.564391681023755,-3.4692495,1.0
BORCS8,0.8962906127529437,-3.4569936,1.0
PPFIBP1,0.35943840771127655,-3.417437,1.0
FHL1,0.7530391002830794,-3.3857787,1.0
IFT81,0.7993373537538212,-3.382201,1.0
DCTN4,0.7311463970973406,-3.3416338,1.0
ZHX1,0.8573164893933493,-3.328688,1.0
CYB5A,0.2592397689095136,-3.3184228,1.0
PNKD,0.8455700307478574,-3.305288,1.0
EHF,0.7530391002830794,-3.2940702,1.0
PRCP,0.953802219098363,-3.2887964,1.0
C16orf89,0.7587342958251215,-3.2700348,1.0
UGCG,0.653086867955944,-3.2337592,1.0
SSR2,0.4708095437743245,-3.2207527,1.0
ZNF217,0.898266475343089,-3.210015,1.0
CD27,0.2874353412845453,-3.2052624,1.0
GMIP,0.9287670577107144,-3.1932583,1.0
INF2,0.38896298624088144,-3.1859896,1.0
BTG2,0.02429800026557016,-3.126836,1.0
ERLEC1,0.42715013074490005,-3.126673,1.0
RTN4,0.6224167169932859,-3.1161938,1.0
HSD17B11,0.6939184945395338,-3.0803142,1.0
NDUFB11,0.787016988980836,-3.0622761,1.0
LYZ,0.4592147731316635,-3.0555763,1.0
GPC1,0.7629191268770602,-3.0379372,1.0
CDKAL1,0.888393713618462,-3.0345101,1.0
SIAH2,0.8229594911013465,-3.0336225,1.0
TMEM106A,0.9625566794285427,-3.0266805,1.0
PABPC4,0.7709275259904506,-3.016137,1.0
SKIL,0.9093426211542954,-2.9910667,1.0
NCK1,0.9581788187677137,-2.9776895,1.0
ZFAND5,0.9506201047432337,-2.9772549,1.0
RNF214,0.8295723908707126,-2.9713452,1.0
LY96,0.815583475366369,-2.9577625,1.0
MAP3K20,0.7854806161217683,-2.9477875,1.0
DERL3,0.02429800026557016,-2.9429631,1.0
CD55,0.48599624559084365,-2.9426587,1.0
RPTOR,0.8824782562499683,-2.94238,1.0
RALA,0.8706673073242008,-2.9415953,1.0
KIF2A,0.9089467278723429,-2.9409547,1.0
SEC24B,0.840099909719866,-2.9367483,1.0
CBFA2T3,0.8284045166427746,-2.9230933,1.0
WASL,0.8698809053337802,-2.906189,1.0
ST6GAL1,0.20819709907483863,-2.9005384,1.0
MON2,0.8990569977129051,-2.900018,1.0
CYTH4,0.5091041552188005,-2.8893318,1.0
TXNDC5,5.09349131750503e-05,-2.887235,0.08966808492727743
SYNE2,0.5129570569172158,-2.8819933,1.0
RGS5,0.787016988980836,-2.8556697,1.0
STT3A,0.6122170489796291,-2.8549979,1.0
COX4I1,0.9418735015518922,-2.8491547,1.0
CTTN,0.6020919882344773,-2.84807,1.0
BROX,0.8994522965100303,-2.846151,1.0
ARID3A,0.6621167804149681,-2.8208876,1.0
STARD3NL,0.829183057482292,-2.7969527,1.0
ITGA5,0.5503028771510659,-2.793232,1.0
