gene,p_val,logFC,p_val_adj
LAMTOR2,0.7806978733108365,-9.298657,1.0
LAPTM4B,0.44455630417375946,-8.308153,1.0
FMR1,0.861426588744685,-7.9933596,1.0
ARL14EP,0.9500807642436173,-7.763423,1.0
LRP11,0.6201151803395837,-7.585434,1.0
LY96,0.8487119027159888,-7.2267632,1.0
DDOST,0.8487119027159888,-6.833107,1.0
FAM89B,0.6859502546898063,-6.7012963,1.0
DYRK2,0.9003567368939317,-6.6076403,1.0
GFM2,0.8148159860740263,-6.518696,1.0
BAZ2A,0.6973577112409541,-6.4142265,1.0
TOMM70,0.813672646331113,-6.390795,1.0
SAP18,0.20785973229301558,-6.178076,1.0
EFCAB14,0.36108390675798097,-6.1734858,1.0
ARL1,0.7931626571654924,-6.155467,1.0
CCDC47,0.4011056065638865,-6.1225805,1.0
OSTM1,0.8974420148221323,-6.101217,1.0
CDH1,0.30873050220718123,-5.9333386,1.0
IGBP1,0.7637914422194747,-5.8377447,1.0
CAMK1D,0.7806978733108365,-5.701982,1.0
TRAF4,0.49568574414680533,-5.6826935,1.0
SLC6A6,0.7570597784984471,-5.6517215,1.0
DHRS3,0.17628713768684579,-5.5274878,1.0
S100A10,0.2881987092986047,-5.499539,1.0
OSBPL7,0.8631632721937158,-5.4625335,1.0
PTDSS1,0.7497878987881433,-5.3820066,1.0
CLDN1,0.15796912653109285,-5.3744955,1.0
POLDIP3,0.972972406604419,-5.317139,1.0
CPEB2,0.8366117170611039,-5.307721,1.0
FDPS,0.9289860933392287,-5.306152,1.0
C4orf3,0.23424227660442565,-5.293222,1.0
DUSP23,0.2789396532616121,-5.235163,1.0
RAD9A,0.8377624990009913,-5.1721435,1.0
CTNNB1,0.663350956772693,-5.034777,1.0
KIF5B,0.7214794329454847,-5.0045176,1.0
KPNB1,0.7637914422194747,-4.923155,1.0
TNC,0.5626462514498769,-4.9202957,1.0
HIST2H2BE,0.7028141653555667,-4.855649,1.0
CAPN2,0.07699118720292732,-4.7811403,1.0
ZYG11B,0.9712104792033001,-4.763822,1.0
PCTP,0.9377703331390421,-4.733776,1.0
KIF16B,0.9835464402206926,-4.6966157,1.0
DSP,0.12808967744571276,-4.660964,1.0
TRIM29,0.10125757287441631,-4.604586,1.0
TSPAN31,0.7790024098211721,-4.600024,1.0
C12orf57,0.21676841431099603,-4.599511,1.0
MYL9,0.8285661643242404,-4.5569153,1.0
PERP,0.00542895797775235,-4.551387,1.0
IL3RA,0.776743427973901,-4.536149,1.0
ROS1,0.6660258413148916,-4.497287,1.0
