gene,p_val,logFC,p_val_adj
HSPA8,0.06321486145520963,-10.90428,1.0
GRHPR,0.7983723900713589,-9.439534,1.0
TAMM41,0.8500253170801407,-9.018404,1.0
SELPLG,0.401474130376011,-8.939072,1.0
P4HTM,0.7762147404308828,-8.5435505,1.0
SGPP1,0.35606424567379347,-8.402285,1.0
PLOD1,0.630619715112542,-8.15921,1.0
RAB31,0.23321453435760442,-7.815229,1.0
ABHD16A,0.7025140845970326,-7.31202,1.0
STEAP4,0.7935409973426384,-7.265373,1.0
CD44,0.1067733913792475,-7.178838,1.0
CD164,0.36527502439009707,-6.856165,1.0
UBL3,0.7599525187179941,-6.8358164,1.0
MED17,0.9311455908959163,-6.5750136,1.0
PTGER4,0.6467263572697205,-6.4877586,1.0
TALDO1,0.22235335960212688,-6.4793186,1.0
NCK1,0.8884630129642785,-6.4436707,1.0
TM6SF1,0.6932479604347476,-6.4076633,1.0
CANX,0.40288101114770436,-6.3613,1.0
EPB41,0.8255660519587433,-6.3583164,1.0
VAT1,0.08476398976635448,-6.1239934,1.0
GLB1,0.2721162110490015,-6.088858,1.0
NET1,0.7155610069218306,-6.0493608,1.0
PDLIM3,0.6932479604347476,-6.0315423,1.0
PILRA,0.1128940796333298,-5.9896374,1.0
ADIPOR1,0.21300726073964238,-5.980872,1.0
TUBB,0.21694410437872558,-5.9379997,1.0
EPS15,0.7447430875347665,-5.8064394,1.0
TMEM176B,0.018688824941595968,-5.67109,1.0
PLXND1,0.5117170551179453,-5.6471033,1.0
FYN,0.4862800146236135,-5.64277,1.0
RIT1,0.7935409973426384,-5.637157,1.0
FABP4,0.11839974082544544,-5.5488153,1.0
SNAPC4,0.7916106452883866,-5.4757147,1.0
RMND5A,0.974027162420689,-5.4582877,1.0
UQCR11,0.49336435817024993,-5.450928,1.0
DNASE1L1,0.6776009802277729,-5.380815,1.0
CDK2AP1,0.6270638197571541,-5.331217,1.0
PEBP4,0.7381197368534582,-5.3252163,1.0
GNAI3,0.7188359384110303,-5.298986,1.0
OLR1,0.07682792685983444,-5.2244344,1.0
HIPK2,0.5993685407159215,-5.216388,1.0
COX16,0.6812704364748483,-5.1620855,1.0
NRP1,0.27266326644753613,-5.1297336,1.0
WHAMM,0.8304451800885575,-5.116969,1.0
ATAD1,0.688631942957467,-5.0614448,1.0
PYURF,0.6041641771287718,-5.0449533,1.0
SCD,0.04843769685344837,-4.941997,1.0
CMTM6,0.3021497898411636,-4.9248185,1.0
CMTM3,0.2631981987139289,-4.9086037,1.0
TMEM50A,0.4032331924475754,-4.8673077,1.0
EIF4A3,0.580789646398558,-4.8604703,1.0
UFC1,0.5684139322248034,-4.8584023,1.0
ACO2,0.6950975719977504,-4.8376174,1.0
AXL,0.25868366517589036,-4.753508,1.0
PLBD1,0.12018144784584697,-4.7045255,1.0
HYAL2,0.6634546199593225,-4.7017493,1.0
PRDX1,0.34380041517321014,-4.666632,1.0
DNM2,0.6789761358819897,-4.5909,1.0
HEXA,0.0987263321361827,-4.583927,1.0
ATG13,0.8736431108234894,-4.5561547,1.0
GNB1,0.30657150654892273,-4.542414,1.0
BNIP3L,0.6997295265190566,-4.532642,1.0
ATOX1,0.4138841661598267,-4.530854,1.0
PLA2G15,0.19025390029946465,-4.510289,1.0
TLR4,0.22022530484413771,-4.4201975,1.0
NENF,0.5688385741290505,-4.4137864,1.0
KLC1,0.44346075699994525,-4.405048,1.0
ADA2,0.013322697746317474,-4.3862634,1.0
INO80,0.9570580851807554,-4.3394156,1.0
LHFPL6,0.7456908363578998,-4.3253956,1.0
GCC2,0.8706842718970875,-4.3185663,1.0
WSB2,0.6094153380144556,-4.3164654,1.0
ATP6V0B,0.08635925622004866,-4.258683,1.0
ABCA1,0.17109838638964958,-4.219112,1.0
ATP5PD,0.5093031835750031,-4.214129,1.0
CDK13,0.6693727283416506,-4.2074594,1.0
PVR,0.8934119209175466,-4.184884,1.0
ZDHHC7,0.7974054871661496,-4.176872,1.0
MFGE8,0.925175130150726,-4.16874,1.0
SLC38A7,0.5688385741290505,-4.152818,1.0
FAM53C,0.9281598549705274,-4.1462154,1.0
PYCARD,0.32009268714891004,-4.1112146,1.0
JOSD1,0.7362308913003005,-4.0974298,1.0
MSN,0.283762505518395,-4.0811996,1.0
IMMT,0.5133296137589923,-4.0168276,1.0
PDZD8,0.8934119209175466,-3.9775593,1.0
PWWP2B,0.9172211246283967,-3.974224,1.0
