gene,p_val,logFC,p_val_adj
ATOX1,0.3588346124615954,-10.295455,1.0
SNX3,0.3839016482244981,-8.752673,1.0
SLC4A7,0.9716105455133636,-8.168251,1.0
ATP6AP1,0.010959780756028884,-8.152973,1.0
GNG10,0.03322336856510466,-8.073205,1.0
MPV17,0.5373232004399325,-7.9421964,1.0
PRDX1,0.2910643225128149,-7.756217,1.0
GOLGA7,0.6041760151887678,-7.3713017,1.0
ABCA2,0.7695135235045789,-7.295652,1.0
PLAUR,0.008524004486844147,-7.0609474,1.0
RHBDF2,0.5763404564165056,-7.0045657,1.0
EDEM2,0.45056440569268497,-6.7401423,1.0
TGFB1,0.5256501363904527,-6.7366204,1.0
DNAJB9,0.8522518196900695,-6.7285748,1.0
GSTA4,0.7514432482335931,-6.694692,1.0
FABP4,0.09003846141805777,-6.478854,1.0
ABCA1,0.12046107737995214,-6.440612,1.0
ATG9A,0.8531821625339632,-6.427418,1.0
AQR,0.9867494003902797,-6.310046,1.0
BSG,0.22879001280631284,-6.265262,1.0
PANK3,0.8680945656664965,-6.2542825,1.0
FAM174B,0.8755687498773681,-6.251913,1.0
TNFSF13B,0.7767774524145824,-6.1977515,1.0
MICOS10,0.5578603435771126,-6.1864076,1.0
OLR1,0.054484982991509036,-6.15632,1.0
LST1,0.15083574691346424,-6.116608,1.0
RFX2,0.7840609524325016,-6.053682,1.0
RUFY3,0.6495802163054185,-5.9149103,1.0
SLC3A2,0.14387893395376514,-5.880344,1.0
ATP6V0B,0.053084807989189714,-5.8139057,1.0
PLA2G15,0.1488224270774541,-5.727779,1.0
ELOB,0.48844271514089477,-5.7255225,1.0
PTTG1IP,0.43925321094375647,-5.6338663,1.0
DNM1L,0.8281387252760721,-5.604737,1.0
PLBD1,0.08914221510886343,-5.596725,1.0
AEBP1,0.575935661872923,-5.4517303,1.0
TLR4,0.17663985782201208,-5.4287934,1.0
MGST3,0.15682651401923156,-5.3992863,1.0
STX11,0.48918759277407053,-5.38135,1.0
SNRNP35,0.8839904606260068,-5.366772,1.0
TNFRSF21,0.4076570202565527,-5.3464403,1.0
ARHGEF3,0.8765038179281787,-5.3462734,1.0
MTLN,0.7740511532521563,-5.307914,1.0
UTP6,0.9687729840912346,-5.296697,1.0
FGD2,0.16192554595678432,-5.2907524,1.0
PYCARD,0.2688938685474427,-5.2618313,1.0
ADAP2,0.28194674249677665,-5.181363,1.0
DYRK1A,0.8699620337511915,-5.1675143,1.0
ADA2,0.005995656717679396,-5.139877,1.0
PDE3B,0.8133784897752648,-5.056908,1.0
PXN,0.428106852917435,-5.052781,1.0
CACFD1,0.8457452452276759,-5.011185,1.0
HIP1R,0.7033545930710414,-4.9539323,1.0
ATP6V0C,0.22536745430773553,-4.9452777,1.0
RNASEK,0.11989516824133181,-4.918376,1.0
DHX9,0.8868006617190606,-4.9098125,1.0
TMEM147,0.45127679049231784,-4.8552666,1.0
ARPC4,0.42054016331114064,-4.849523,1.0
TNS3,0.15734828559444058,-4.769819,1.0
GLIPR2,0.12462666582309229,-4.7573686,1.0
TPM1,0.3459367765523731,-4.7367167,1.0
SDE2,0.9489231301652535,-4.720755,1.0
OSBPL11,0.48844271514089477,-4.7138247,1.0
PIEZO1,0.684521393660245,-4.6886563,1.0
RTRAF,0.6419157282207487,-4.63453,1.0
BMPR2,0.6444663737927465,-4.6095147,1.0
FAM20C,0.4936696781488975,-4.594084,1.0
SAMHD1,0.23109217970494222,-4.588089,1.0
FBXO28,0.9432570207232711,-4.5375366,1.0
GAS7,0.7024744734616211,-4.499824,1.0
SQSTM1,0.6137257551989952,-4.4888825,1.0
PRRX1,0.7686069384164296,-4.4529476,1.0
PGD,0.06807660125132103,-4.4473825,1.0
