gene,p_val,logFC,p_val_adj
CKB,0.23481354080327999,-10.791046,1.0
TIPARP,0.9110846414056911,-9.557349,1.0
PRDX6,0.9872719402748585,-9.440799,1.0
SLC25A4,0.3346904059815483,-7.6318693,1.0
TPPP,0.9054649216639306,-7.5824833,1.0
RFXANK,0.9957571534624081,-7.2895117,1.0
RRAD,0.6519077355635081,-7.106994,1.0
CHMP5,0.9646543473337496,-7.0363064,1.0
SPATA6,0.8886352538451352,-6.968564,1.0
SEC23A,0.7163267300870457,-6.961784,1.0
BMP6,0.7903299107035175,-6.9080896,1.0
NR1D1,0.9068694190390896,-6.9001813,1.0
KLHL5,0.7540543493156946,-6.616714,1.0
SORBS3,0.4328332549807009,-6.5451655,1.0
LAMA4,0.25108212317007406,-6.5393806,1.0
TMEM259,0.6685998728393979,-6.4637866,1.0
FILIP1L,0.23220524391288455,-6.374979,1.0
MOB3B,0.8746484487161064,-6.349781,1.0
TMEM250,0.9455921134480522,-6.290491,1.0
RPP21,0.8253398521852638,-6.088576,1.0
PHACTR1,0.8322478468802832,-6.0262218,1.0
BTBD2,0.8984469561450568,-5.9240594,1.0
PRRC2A,0.8711576828445465,-5.918515,1.0
PLXDC2,0.7469953359765233,-5.776088,1.0
DDX1,0.8802387239036146,-5.750675,1.0
EVI2A,0.8246497865821723,-5.716175,1.0
PSME2,0.949825859902916,-5.642511,1.0
REPIN1,0.9427704618545253,-5.592047,1.0
MTHFD2,0.8122522734112362,-5.5278254,1.0
CRISPLD2,0.1986034441569583,-5.4344406,1.0
ABCA1,0.8770934413020786,-5.39754,1.0
DNAJB9,0.9406546924228115,-5.3144,1.0
PFN2,0.4446221098076093,-5.2997346,1.0
POLR2L,0.9568851937624415,-5.2609067,1.0
NPEPL1,0.9314913880161851,-5.254037,1.0
EDEM2,0.8760454423374862,-5.137034,1.0
MED8,0.9992928556702959,-5.026673,1.0
PISD,0.8284468103220097,-5.0123773,1.0
