,SPP1+ macrophages,AT2,MUC5B+ club,Monocyte-derived macrophage,CD4+ T Cells,EC Arterial,CD8+ T Cells,Dendritic cells,Alveolar macrophages,Smooth muscle cells,Mast cells,KRT5-/KRT17+ cells,Fibrotic fibroblast,EC Venous,SCGB3A2+/SCGB1A1+ club,Plasma cells,Goblet,Ciliated,Pericyte,EC General capillary
MAP2K3,0.0,0.0002752631844487041,0.0002749999985098839,0.000273333367658779,0.00026705884374678135,0.00031999999191612005,0.0002699999895412475,0.0002800000074785203,0.00026500000967644155,0.0002699999895412475,0.0002800000074785203,0.0002699999895412475,0.0002725000085774809,0.0002800000074785203,0.0,0.0002800000074785203,0.0002800000074785203,0.0002699999895412475,0.0002800000074785203,0.0002749999985098839
SMURF2,0.0002800000074785203,0.00028083333745598793,0.0002800000074785203,0.00027857141685672104,0.0002625000197440386,0.0002800000074785203,0.0002899999963119626,0.00027333333855494857,0.0002680000034160912,0.00028500001644715667,0.0002899999963119626,0.0002770000137388706,0.00027636365848593414,0.0002852380566764623,0.0,0.0,0.00028500001644715667,0.0002733333094511181,0.0002800000074785203,0.0002880000101868063
MXD4,0.0002899999963119626,0.00028750000637955964,0.0002749999985098839,0.00029250001534819603,0.0002690909313969314,0.0002933333453256637,0.0,0.000295000005280599,0.00027000001864507794,0.0,0.0002799999783746898,0.0002716666494961828,0.000281578948488459,0.0002899999963119626,0.0,0.0,0.0,0.0002833333273883909,0.0002899999963119626,0.0002899999963119626
RAB5B,0.0003100000030826777,0.00028333329828456044,0.0002699999895412475,0.0002699999895412475,0.0002779999631457031,0.0003400000277906656,0.00028500001644715667,0.00028500001644715667,0.00026666666963137686,0.0002800000074785203,0.0,0.0002840000088326633,0.00027933335513807833,0.00028500001644715667,0.0,0.0003000000142492354,0.0002899999963119626,0.0002899999963119626,0.0002800000074785203,0.0002899999963119626
NEK6,0.0,0.00029111109324730933,0.00027833334752358496,0.00030499999411404133,0.00027666662936098874,0.0002933333453256637,0.0,0.0002899999963119626,0.00027769230655394495,0.0,0.00029999998514540493,0.00028375000692903996,0.00028500001644715667,0.0003000000142492354,0.0003000000142492354,0.0,0.0,0.00028249999741092324,0.0,0.000295000005280599
TYK2,0.0,0.0003000000142492354,0.0003000000142492354,0.0002966666652355343,0.0002911111223511398,0.0,0.0,0.000303333334159106,0.0002883333363570273,0.0,0.00029999998514540493,0.00029500003438442945,0.0002959999837912619,0.0003066666831728071,0.0,0.00031999999191612005,0.0,0.0,0.0,0.0003000000142492354
NAP1L4,0.0,0.00030222220811992884,0.00030499999411404133,0.0,0.00030100002186372876,0.00031999999191612005,0.0003150000120513141,0.00030750001315027475,0.0003000000142492354,0.00031999999191612005,0.0,0.00030250000418163836,0.0003035714034922421,0.0003100000030826777,0.0,0.0,0.0,0.00031333332299254835,0.0,0.00031999999191612005
RAC1,0.0003160000196658075,0.0003083333431277424,0.0,0.0003050000232178718,0.00030499999411404133,0.0003100000030826777,0.0,0.00030499999411404133,0.00030250000418163836,0.00031999999191612005,0.0002899999963119626,0.0003028571081813425,0.0003000000142492354,0.00031999999191612005,0.0003299999807495624,0.00032500000088475645,0.0003100000030826777,0.0,0.0003000000142492354,0.0003150000120513141
MMP14,0.00033249997068196535,0.00031666667200624943,0.0003150000120513141,0.00032333334092982113,0.00030499999411404133,0.0,0.0,0.0003324999997857958,0.00030857144156470895,0.00031999999191612005,0.0,0.0003210000286344439,0.00032363642822019756,0.00033000000985339284,0.0,0.0,0.0,0.00033000000985339284,0.00031999999191612005,0.00033000000985339284
SPIN1,0.00033000000985339284,0.00032699998700991273,0.00033999999868683517,0.0003499999875202775,0.0003040000156033784,0.00033000000985339284,0.0,0.0,0.0003100000030826777,0.0,0.00033000000985339284,0.0003173333534505218,0.00032705883495509624,0.00033166666980832815,0.00033000000985339284,0.00033000000985339284,0.0,0.0003100000030826777,0.0,0.00033000000985339284
TNFRSF1B,0.0003333333588670939,0.0,0.0,0.00032500000088475645,0.0003229999856557697,0.00033000000985339284,0.00033999999868683517,0.00032699998700991273,0.00031999999191612005,0.0,0.0,0.00033000000985339284,0.0003237500204704702,0.0003333333588670939,0.00033999999868683517,0.0,0.0,0.0,0.00033000000985339284,0.0
MOB3A,0.00033000000985339284,0.00033599999733269215,0.00032666666083969176,0.00034249998861923814,0.0003200000210199505,0.00033666667877696455,0.0003100000030826777,0.00033999999868683517,0.0003133333520963788,0.0,0.0003150000120513141,0.00031999999191612005,0.0003362499992363155,0.0,0.0003699999942909926,0.0003600000054575503,0.0003499999875202775,0.0,0.0003499999875202775,0.00034500000765547156
EWSR1,0.00033999999868683517,0.00033599999733269215,0.00033250002888962626,0.0003549999964889139,0.00031499998294748366,0.0003499999875202775,0.00033999999868683517,0.00033749997965060174,0.00033000000985339284,0.00033999999868683517,0.00033000000985339284,0.0003319999959785491,0.0003429999924264848,0.00033999999868683517,0.00039000000106170774,0.0,0.0003549999964889139,0.00031999999191612005,0.00033999999868683517,0.0003349999897181988
HBS1L,0.0,0.0003399999695830047,0.00033999999868683517,0.0,0.0003299999807495624,0.00037999998312443495,0.0003499999875202775,0.00033000000985339284,0.00033599999733269215,0.00031999999191612005,0.0003600000054575503,0.00032666666083969176,0.0003349999897181988,0.0003459999861661345,0.00033999999868683517,0.0003700000233948231,0.0003499999875202775,0.00033000000985339284,0.0,0.0
MMP2,0.0003699999942909926,0.0003600000054575503,0.00033999999868683517,0.0003499999875202775,0.00033666667877696455,0.0003766666632145643,0.0003700000233948231,0.0003549999964889139,0.0,0.0003466666676104069,0.0003100000030826777,0.0003349999897181988,0.0003396153333596885,0.0003499999875202775,0.0003600000054575503,0.00036333335447125137,0.0,0.0,0.00034500000765547156,0.0
TOP1,0.0,0.0003541666956152767,0.0003425000177230686,0.0003699999942909926,0.00033400001120753586,0.0,0.0,0.0,0.00033999999868683517,0.0,0.0,0.0003466666676104069,0.0003445454640313983,0.0003539999888744205,0.0,0.0,0.0,0.00034500000765547156,0.00033999999868683517,0.0003566666564438492
PEA15,0.0003499999875202775,0.0003499999875202775,0.0003499999875202775,0.0003449999785516411,0.00033000000985339284,0.0003539999888744205,0.0,0.0003566666564438492,0.00034500000765547156,0.0003649999853223562,0.0003499999875202775,0.00034333334770053625,0.0003466666676104069,0.0003499999875202775,0.0,0.00033999999868683517,0.0,0.0,0.0,0.0003549999964889139
ETS1,0.0,0.0003649999853223562,0.0,0.0,0.00033666667877696455,0.0003677777713164687,0.0003471428353805095,0.0,0.0,0.0003600000054575503,0.0003474999684840441,0.0003600000054575503,0.0003474999684840441,0.0003549999964889139,0.0003699999942909926,0.0003649999853223562,0.0003699999942909926,0.00034500000765547156,0.00033999999868683517,0.0003549999964889139
MAP2K2,0.0003600000054575503,0.0003555555595085025,0.0,0.0,0.00033857140806503594,0.0,0.0,0.0003499999875202775,0.00034500000765547156,0.0,0.0,0.0003549999964889139,0.0003511111135594547,0.0,0.0,0.0004299999854993075,0.0,0.0003499999875202775,0.0003499999875202775,0.00033999999868683517
FASTK,0.00041000000783242285,0.0003650000144261867,0.0003499999875202775,0.0,0.0003477777645457536,0.0,0.0,0.0003700000233948231,0.0,0.0,0.0003700000233948231,0.00035399995977059007,0.0003668749995995313,0.0,0.0,0.0,0.0,0.00039000000106170774,0.0003699999942909926,0.0
ITPKB,0.0,0.0003699999942909926,0.0,0.0,0.00036357142380438745,0.00041000000783242285,0.0,0.0003600000054575503,0.0003649999853223562,0.0,0.0004199999966658652,0.00037999998312443495,0.0003850000211969018,0.00038750001112930477,0.0,0.0,0.0,0.0,0.0003800000122282654,0.00039000000106170774
BEX3,0.0003699999942909926,0.0003776923113036901,0.0003649999853223562,0.0,0.0003800000122282654,0.00039499998092651367,0.0,0.0,0.0,0.0,0.0,0.0003699999942909926,0.0003744444402400404,0.0,0.0003999999607913196,0.0,0.0,0.0003699999942909926,0.0,0.0003800000122282654
STAT1,0.0,0.0003800000122282654,0.00039999998989515007,0.0003933333500754088,0.00037909092498011887,0.0,0.0,0.0003766666632145643,0.0003800000122282654,0.0,0.00033000000985339284,0.0003850000211969018,0.0003842857258860022,0.00039000000106170774,0.0,0.0,0.0,0.0,0.0,0.00039499998092651367
PML,0.0,0.00037750002229586244,0.00037399999564513564,0.0003980000037699938,0.0003559999749995768,0.00039000000106170774,0.0,0.0003900000301655382,0.0003699999942909926,0.00039000000106170774,0.0004199999966658652,0.0003699999942909926,0.00038499999209307134,0.00039000000106170774,0.0,0.0,0.0,0.0003699999942909926,0.0,0.00039000000106170774
