,SPP1+ macrophages,AT2,MUC5B+ club,Monocyte-derived macrophage,CD4+ T Cells,EC Arterial,Dendritic cells,Fibrotic fibroblast,Alveolar macrophages,Smooth muscle cells,Mast cells,KRT5-/KRT17+ cells,EC Venous,SCGB3A2+/SCGB1A1+ club,Plasma cells,Goblet,Ciliated,Pericyte,EC General capillary
OPTN,0.00022818926663603634,0.00023096552467904985,0.0002260871115140617,0.00023333600256592035,0.00021976506104692817,0.00023063285334501415,0.00023343173961620778,0.0002249910612590611,0.0,0.00023918486840557307,0.0002283994690515101,0.0002260967157781124,0.0002323434455320239,0.00023843978124205023,0.0002273208083352074,0.0002339501807000488,0.00024185070651583374,0.00022777574486099184,0.0002302138600498438
NEK6,0.0,0.00023325371148530394,0.00022477420861832798,0.00023716702708043158,0.00022010588145349175,0.00023796928871888667,0.00023123396385926753,0.00022748866467736661,0.00022456335136666894,0.00022655740031041205,0.00023588311159983277,0.00022726741735823452,0.000234677703701891,0.0002360552898608148,0.0,0.0,0.00022841471945866942,0.00022644111595582217,0.00023011144367046654
TNFRSF1B,0.00023904912814032286,0.0,0.0,0.00023836044420022517,0.00022974683088250458,0.00023778140894137323,0.00023778191825840622,0.00023475833586417139,0.00023426285770256072,0.0,0.0,0.00023793012951500714,0.00024039809068199247,0.00024613316054455936,0.0,0.0,0.0,0.00023838550259824842,0.0
RGL2,0.0,0.000242132373386994,0.00024017810937948525,0.00024932570522651076,0.00023391209833789617,0.00024767511058598757,0.00024283304810523987,0.00023981573758646846,0.00023872217570897192,0.0002428815350867808,0.00024108390789479017,0.00024018749536480755,0.00024474269594065845,0.0,0.0,0.00025279197143390775,0.0002510789199732244,0.00024122970353346318,0.00024614858557470143
SMURF2,0.0002441631513647735,0.00024513626703992486,0.00024343525001313537,0.0002423026307951659,0.00022917307796888053,0.0002442060795146972,0.00024073391978163272,0.0002409051958238706,0.00023850318393670022,0.00024652431602589786,0.00024513216339983046,0.000240471723373048,0.0002450943866278976,0.0,0.0,0.0002527751203160733,0.00024798986851237714,0.0002470189065206796,0.00024759871303103864
RAC1,0.000245706585701555,0.0002429367887089029,0.0,0.00024057419796008617,0.00024007659521885216,0.0002385385741945356,0.00023969102767296135,0.0002386596897849813,0.00024123839102685452,0.0002480635594110936,0.00022687412274535745,0.00024361256510019302,0.0002475688816048205,0.00025656726211309433,0.0002503063587937504,0.00024774353369139135,0.0,0.0002354685275349766,0.0002458820817992091
RAB5B,0.00026012302259914577,0.00024566901265643537,0.00023813430743757635,0.00026312199770472944,0.00023824325762689114,0.0002766834804788232,0.0002455629291944206,0.00024180418404284865,0.00023070600582286716,0.00024218768521677703,0.0,0.00024255654716398567,0.00025091241695918143,0.0,0.00025423572515137494,0.0002542415168136358,0.0002572109515313059,0.0002397614298388362,0.0
MXD4,0.0002498965186532587,0.0002517020620871335,0.0002421194949420169,0.00025258923415094614,0.00023863183741923422,0.0002524793380871415,0.0002524200826883316,0.0002443116682115942,0.00023639551363885403,0.0002444799756631255,0.0002431453176541254,0.000238315828028135,0.0002492276835255325,0.0,0.0,0.0,0.0002525374584365636,0.00025349122006446123,0.0002471687039360404
TYK2,0.0,0.0002530861529521644,0.0002530775673221797,0.0002508080215193331,0.000244800845393911,0.0,0.0002529683115426451,0.000250582437729463,0.0002463442215230316,0.0002616182900965214,0.0002455857757013291,0.0002530643541831523,0.0002572936355136335,0.0,0.000265911832684651,0.0,0.0,0.0,0.00025394995464012027
ETS1,0.0,0.000266420713160187,0.0,0.0,0.00024946554913185537,0.00026450975565239787,0.0,0.0002533120568841696,0.0,0.00026202041772194207,0.0002542391885071993,0.00025404238840565085,0.00025759247364476323,0.00026828498812392354,0.00026015983894467354,0.00026829217677004635,0.0002608815848361701,0.00024937381385825574,0.00026368757244199514
MMP14,0.00026451272424310446,0.0002627767971716821,0.0002571988443378359,0.00025918788742274046,0.0002470514737069607,0.0,0.00026470579905435443,0.00025975622702389956,0.00025282989372499287,0.00026358221657574177,0.0,0.0002587931230664253,0.0002616923302412033,0.0,0.0,0.0,0.00027052470250055194,0.0002568808849900961,0.00026946840807795525
MOB3A,0.0002618793223518878,0.0002645983186084777,0.0002654319105204195,0.0002685427316464484,0.0002536206447985023,0.000261632667388767,0.00026610278291627765,0.00026483385590836406,0.00025601781089790165,0.0,0.00027253839652985334,0.0,0.0,0.00028802157612517476,0.0002769604907371104,0.000277437997283414,0.0,0.00027138934819959104,0.00026698666624724865
MMP2,0.0002653449191711843,0.00027669829432852566,0.0002657785371411592,0.00026781504857353866,0.0002590743242762983,0.00028881491743959486,0.0002711422275751829,0.0002640822494868189,0.0,0.0002669584646355361,0.00026334793074056506,0.0002614424447529018,0.0002730662818066776,0.0002780745562631637,0.00027792309992946684,0.0,0.0,0.00027240620693191886,0.0
PEA15,0.00026918892399407923,0.00026956896181218326,0.0002705395454540849,0.00027157182921655476,0.0002518089604564011,0.0002695818548090756,0.00027281921938993037,0.00026592062204144895,0.00026563371648080647,0.0002780635259114206,0.0002698319440241903,0.00026703966432251036,0.00026381926727481186,0.0,0.0002628747606649995,0.0,0.0,0.00025742212892509997,0.0002756882749963552
NAP1L4,0.0,0.00027419725665822625,0.00027240574127063155,0.0,0.0002679346944205463,0.0002808131102938205,0.0002801255614031106,0.0002714020956773311,0.0002667603548616171,0.0002795896725729108,0.000280272273812443,0.0002732626162469387,0.0002808398858178407,0.0,0.0,0.0,0.0002837024221662432,0.0,0.00028341301367618144
THBS1,0.000284164008917287,0.0002816718479152769,0.0002693454152904451,0.0002792880986817181,0.00027934968238696456,0.0002770917199086398,0.00027477164985612035,0.0002753242733888328,0.00026511834585107863,0.0002779305214062333,0.0,0.0,0.0,0.0,0.0,0.00029144284781068563,0.0,0.0,0.0
SPIN1,0.00028270913753658533,0.0002833293401636183,0.00028099355404265225,0.00029468885622918606,0.0002677299198694527,0.0002817321219481528,0.0,0.00027768133440986276,0.00026682575116865337,0.0,0.0002821760135702789,0.00027469347696751356,0.0002802822564262897,0.00028442064649425447,0.0002790067228488624,0.0,0.00027380947722122073,0.0,0.0
EWSR1,0.0002809012949001044,0.00028186393319629133,0.00027877147658728063,0.00027933932142332196,0.0002622642205096781,0.00028695655055344105,0.0002774036256596446,0.00028125615790486336,0.0002787921985145658,0.00027883367147296667,0.00027239276096224785,0.00027917567058466375,0.0002829486911650747,0.00031511473935097456,0.0,0.0002959674457088113,0.0,0.0,0.0002792548621073365
PLAUR,0.0002874294004868716,0.00028530057170428336,0.0,0.00028554859454743564,0.0002672826230991632,0.00028726362506859004,0.00028485487564466894,0.000281325337709859,0.00027085328474640846,0.0,0.00028789372299797833,0.0002932491188403219,0.00028531745192594826,0.0,0.0,0.0,0.0,0.00028338059200905263,0.0002918581885751337
MAP2K2,0.0002900385588873178,0.00028939972980879247,0.0,0.0,0.00027314884937368333,0.0,0.0,0.0002850291784852743,0.0002800597285386175,0.0,0.0002919850230682641,0.0002859427477233112,0.000280981621472165,0.0,0.0003315468493383378,0.0,0.0002907765447162092,0.0,0.0002830905723385513
HBS1L,0.0,0.00028704432770609856,0.0002877938677556813,0.0,0.0002762615622486919,0.00032115873182192445,0.0002829498262144625,0.0002815414045471698,0.00028506203670985997,0.0002970920759253204,0.00029559654649347067,0.00028144457610324025,0.00028867213404737413,0.00028663669945672154,0.0003036543494090438,0.0002940354170277715,0.00028576000477187335,0.0,0.0
TNFAIP2,0.000305197638226673,0.0003020176663994789,0.0002878314408008009,0.0002829543955158442,0.0002883796114474535,0.00034453358966857195,0.00029731562244705856,0.0002911388291977346,0.0002821141970343888,0.00030366916325874627,0.00028988244594074786,0.00029145152075216174,0.0,0.00030966781196184456,0.0,0.0,0.0,0.00028294569347053766,0.0
TNFAIP3,0.00029336437000893056,0.00030139164300635457,0.0,0.0003018041024915874,0.00029164101579226553,0.00032507089781574905,0.0002920386614277959,0.00029570504557341337,0.00028516410384327173,0.0,0.0003026933700311929,0.0002908584428951144,0.0002988108608406037,0.00031362325535155833,0.0,0.0,0.0003003291494678706,0.00028956562164239585,0.0
TOP1,0.0,0.00030211106059141457,0.0002921203267760575,0.0002916846133302897,0.00029066269053146243,0.0,0.0,0.0002938717370852828,0.00029277658904902637,0.0,0.0,0.0002970900386571884,0.00029988642199896276,0.0,0.0,0.0,0.00030219677137210965,0.00029243496828712523,0.00029738395824097097
PML,0.0,0.00031034601852297783,0.0003059921436943114,0.0003096997970715165,0.00029470495064742863,0.00031633986509405077,0.00031499797478318214,0.000312220276100561,0.0003041999298147857,0.0003148599062114954,0.00033014401560649276,0.0002995476243086159,0.00031382200540974736,0.0,0.0,0.0,0.0003049909428227693,0.0,0.00031429293449036777
STAT1,0.0,0.00031259728712029755,0.00032377216848544776,0.000315394951030612,0.0003035810950677842,0.0,0.00030468785553239286,0.0003116768493782729,0.0003122978669125587,0.0,0.00031206797575578094,0.00031250264146365225,0.0003124808717984706,0.0,0.0,0.0,0.0,0.0,0.0003149325493723154
CXCL16,0.00032318849116563797,0.0003174923767801374,0.0,0.0003159403277095407,0.0003035965492017567,0.0003106770745944232,0.00031680514803156257,0.0003055759007111192,0.0003021626907866448,0.0,0.00031882719486020505,0.00030752294696867466,0.000315405719447881,0.0,0.0,0.0,0.0,0.0,0.0
ITPKB,0.0,0.00032353951246477664,0.0003160826163366437,0.0,0.0003104378702118993,0.0003321644617244601,0.0,0.000320648483466357,0.0003059214213863015,0.0,0.00032291162642650306,0.0003197629121132195,0.0003201348299626261,0.0,0.0,0.0,0.0,0.00031812177621759474,0.0003247138811275363
FASTK,0.0003437691484577954,0.0003237519122194499,0.0003106141812168062,0.0,0.0003038718132302165,0.0,0.0003212362644262612,0.00031829666113480926,0.0,0.0,0.00031531151034869254,0.00031252301414497197,0.0003106658114120364,0.0,0.0,0.0,0.00033938357955776155,0.0003193271404597908,0.0
BCL6,0.0,0.000318757287459448,0.00031394741381518543,0.00031189637957140803,0.0003028645005542785,0.00033003487624228,0.0003195390454493463,0.0003135850129183382,0.0,0.0003201990621164441,0.00031841747113503516,0.00029305779025889933,0.0,0.00033151693060062826,0.00032259454019367695,0.0003204897220712155,0.0003316461225040257,0.0,0.0
MORC3,0.0,0.00032445203396491706,0.0003234960022382438,0.00032378887408412993,0.00030871364288032055,0.0,0.0003247857966925949,0.00031717499950900674,0.00031087585375644267,0.0003207041881978512,0.0003175562305841595,0.0003247181884944439,0.00031940321787260473,0.000337025907356292,0.0,0.00032939205993898213,0.00032427269616164267,0.0003134296275675297,0.00031771796057000756
RAB13,0.00032128035672940314,0.0003278401854913682,0.00031859270529821515,0.0003250770387239754,0.0003128289827145636,0.00032510634628124535,0.0003307173610664904,0.00032073029433377087,0.0003100688336417079,0.000331481802277267,0.00032440153881907463,0.0003260924422647804,0.0003329296305309981,0.000350377697031945,0.0,0.0,0.0,0.0,0.00032673729583621025
CCL2,0.0003277803771197796,0.0,0.0,0.0003297529765404761,0.0,0.0003358897811267525,0.00032339864992536604,0.0003205728717148304,0.0,0.0,0.0,0.0003100366157013923,0.00032119700335897505,0.0,0.0,0.00033118220744654536,0.0,0.0,0.0
FAS,0.00035060677328146994,0.0003297546354588121,0.0,0.0,0.00031754677183926105,0.0,0.0,0.00032661075238138437,0.0,0.0003263792605139315,0.0,0.00032883984385989606,0.00032937349169515073,0.0,0.0,0.0,0.00033345341216772795,0.00032349099637940526,0.00033429329050704837
ATM,0.0,0.00033116948907263577,0.00032541906693950295,0.0,0.000317733152769506,0.0,0.00033667823299765587,0.0003280217933934182,0.0003174546582158655,0.00032698092400096357,0.00033804113627411425,0.00032915500923991203,0.0003371778584551066,0.0,0.0003657086635939777,0.0,0.00033032780629582703,0.0,0.0003347624442540109
AAK1,0.0,0.00033905068994499743,0.0003312788321636617,0.00033223460195586085,0.0003241703670937568,0.00033084690221585333,0.00033097490086220205,0.0003236435877624899,0.0003223444218747318,0.0,0.00031128578120842576,0.00032438267953693867,0.0003309445164632052,0.0,0.0003624781093094498,0.0003486152272671461,0.00033752471790648997,0.0,0.0
BEX3,0.0003264809201937169,0.0003337839152663946,0.00033029422047547996,0.0,0.0003188874979969114,0.00034106778912246227,0.0,0.0003338342939969152,0.0,0.0,0.0003140333283226937,0.0003194147429894656,0.00032237087725661695,0.00034448973019607365,0.0,0.0,0.00033523599267937243,0.0,0.00033290169085375965
MAP3K7,0.0003502339241094887,0.00034744219738058746,0.0,0.00034099858021363616,0.0003245942643843591,0.0,0.0003472873358987272,0.0003387581091374159,0.0003353887004777789,0.00034410113585181534,0.0,0.00033954333048313856,0.0003459714353084564,0.0003716866485774517,0.0,0.0,0.000348079192917794,0.0003420475113671273,0.000345634703990072
SRSF1,0.0003486837958917022,0.0003507422225084156,0.0003482020692899823,0.0,0.00032669614301994443,0.00035305198980495334,0.00034996517933905125,0.00034307711757719517,0.000344514730386436,0.0003483793407212943,0.0003542926860973239,0.00034006021451205015,0.0003510112874209881,0.0,0.0,0.00036108342465013266,0.0003477061109151691,0.00034301207051612437,0.00035272183595225215
CDK4,0.0,0.0003446062037255615,0.0,0.0003572518180590123,0.0003363146388437599,0.0,0.00035392752033658326,0.00034144154051318765,0.0,0.0,0.0003608663391787559,0.0003389630001038313,0.00035575227229855955,0.0,0.0,0.0,0.0,0.0,0.0003541077021509409
SUPT5H,0.0,0.0003540927718859166,0.000344511354342103,0.0003486835630610585,0.0003395993262529373,0.0,0.0003495534765534103,0.0003442993329372257,0.0003341652627568692,0.0003613434382714331,0.0003489218943286687,0.00034918056917376816,0.00035663251765072346,0.00036719974013976753,0.0,0.0,0.00035638888948597014,0.000358864723239094,0.00035882051452063024
CCL5,0.0,0.0,0.0,0.0003540363977663219,0.0003477294521871954,0.0,0.0,0.00034722426789812744,0.00034897675504907966,0.0,0.000368434441043064,0.0,0.0,0.0,0.0003607120306696743,0.0,0.0,0.0,0.0
RAF1,0.0,0.0003624201053753495,0.00036088592605665326,0.00035206243046559393,0.0003389077028259635,0.00036363123217597604,0.0003564032958820462,0.00035376567393541336,0.00035068023134954274,0.0003638894995674491,0.00035208705230616033,0.00034071956179104745,0.0,0.00038642744766548276,0.0,0.0,0.0003724757407326251,0.0,0.0
PDCD10,0.0,0.0003610315907280892,0.0003484780027065426,0.0003471625968813896,0.00033848368912003934,0.00036340602673590183,0.0003559529723133892,0.00034493906423449516,0.0003508096269797534,0.00034953729482367635,0.000359900324838236,0.0003379814443178475,0.0003516906872391701,0.0,0.00035603903234004974,0.0,0.0003421640140004456,0.0003459186991676688,0.00035359730827622116
NME2,0.0003713179612532258,0.000358121091267094,0.0,0.0003505860804580152,0.0003471177478786558,0.00035023572854697704,0.0,0.0003446562623139471,0.0,0.0,0.0,0.0,0.0,0.00036543788155540824,0.0,0.00036206108052283525,0.0,0.00034540941123850644,0.0003530076355673373
CITED2,0.0,0.0003604464582167566,0.0,0.00036826691939495504,0.0003459881991147995,0.00036086179898120463,0.00035231345100328326,0.00035905075492337346,0.0003459139261394739,0.0003530056856106967,0.0,0.0,0.0,0.0,0.0003888822393491864,0.0,0.0,0.0,0.0
CREG1,0.0003625263925641775,0.000362237507943064,0.0,0.00035644261515699327,0.00034028998925350606,0.0003635666216723621,0.0,0.00034655455965548754,0.0003458190767560154,0.0003583646903280169,0.0,0.00035531012690626085,0.0,0.00037278709351085126,0.00036550889490172267,0.00037043183692730963,0.0003708487784024328,0.0,0.0
CSF1,0.0,0.00036492350045591593,0.00037284044083207846,0.00037364650052040815,0.0003527747467160225,0.00036554294638335705,0.000380133802536875,0.00035933544859290123,0.00035793115966953337,0.00036558200372383,0.00036666865344159305,0.000354877847712487,0.00036161093157716095,0.0,0.0003772244672290981,0.0,0.0,0.00035786061198450625,0.0003626327379606664
IRF7,0.0,0.00037689198506996036,0.0,0.00037739871186204255,0.0003615579626057297,0.0,0.0003619089548010379,0.00036406604340299964,0.00035710984957404435,0.0,0.000349031004589051,0.00036212062695994973,0.00036349371657706797,0.0,0.0,0.0,0.0003749519237317145,0.0003715961065609008,0.0003714541962835938
