,Plasma cells,Classical monocytes,Alveolar fibroblasts,AT1,B cells,Monocyte-derived Mph,CD8 T cells,Pericytes,CD4 T cells,EC general capillary,AT2,Alveolar macrophages,Peribronchial fibroblasts,EC aerocyte capillary,Mast cells,Myofibroblasts
CDKN1B,0.00014417986676562577,0.00014417986676562577,0.00014417986676562577,0.00014417986676562577,0.00014417986676562577,0.000144179881317541,0.00014417986676562577,0.00014417986676562577,0.00014417989586945623,0.00014417986676562577,0.000144179881317541,0.00014417986676562577,0.00014417986676562577,0.0,0.00014417986676562577,0.0
LCP1,0.00014486955478787422,0.00014486955478787422,0.00014486955478787422,0.00014486955478787422,0.00014486955478787422,0.00014486952568404377,0.00014486955478787422,0.00014486955478787422,0.00014486945292446762,0.00014486955478787422,0.00014486955478787422,0.00014486955478787422,0.0,0.00014486955478787422,0.00014486955478787422,0.0
ARPC1B,0.00014556452515535057,0.00014556452515535057,0.0001455645397072658,0.00014556452515535057,0.00014556452515535057,0.00014556446694768965,0.0001455645397072658,0.0001455645397072658,0.0001455645397072658,0.0001455645397072658,0.0001455644960515201,0.0001455645397072658,0.00014556452515535057,0.00014556452515535057,0.00014556452515535057,0.00014556452515535057
NFE2L2,0.0,0.0001468902628403157,0.00014689027739223093,0.0001468902628403157,0.0001468902628403157,0.00014689027739223093,0.0001468902628403157,0.0001468902628403157,0.00014689027739223093,0.0,0.00014689027739223093,0.0001468902628403157,0.0001468902628403157,0.0,0.0001468902628403157,0.0001468902628403157
C3,0.00014704238856211305,0.00014704238856211305,0.00014704234490636736,0.00014704238856211305,0.0,0.00014704238856211305,0.00014704238856211305,0.00014704238856211305,0.00014704238856211305,0.00014704238856211305,0.00014704234490636736,0.00014704238856211305,0.00014704238856211305,0.00014704238856211305,0.00014704238856211305,0.0
ETS2,0.00015074257680680603,0.00015074257680680603,0.00015074257680680603,0.00015074257680680603,0.0,0.00015074253315106034,0.00015074257680680603,0.00015074257680680603,0.00015074257680680603,0.00015074257680680603,0.00015074254770297557,0.00015074257680680603,0.0,0.00015074257680680603,0.0,0.00015074257680680603
FOS,0.00015255984908435494,0.00015255986363627017,0.0001525598781881854,0.00015255984908435494,0.00015255984908435494,0.00015255992184393108,0.00015255984908435494,0.00015255984908435494,0.00015255984908435494,0.00015255984908435494,0.00015255986363627017,0.00015255984908435494,0.00015255984908435494,0.00015255984908435494,0.0,0.00015255984908435494
JUN,0.0001545634731883183,0.0,0.0001545634731883183,0.0001545634731883183,0.0001545634731883183,0.0001545634731883183,0.0001545634731883183,0.0001545634731883183,0.0001545634731883183,0.0001545634731883183,0.0001545634731883183,0.0001545634731883183,0.0001545634731883183,0.0001545634731883183,0.0,0.0001545634731883183
RBL2,0.0,0.00015480293950531632,0.00015480293950531632,0.00015480293950531632,0.00015480293950531632,0.00015480293950531632,0.00015480293950531632,0.00015480293950531632,0.000154802983161062,0.00015480293950531632,0.00015480293950531632,0.00015480293950531632,0.0,0.00015480293950531632,0.0,0.0
ETS1,0.0,0.00015613361028954387,0.00015613361028954387,0.00015613361028954387,0.00015613361028954387,0.00015613361028954387,0.00015613363939337432,0.00015613361028954387,0.0001561335229780525,0.00015613363939337432,0.00015613359573762864,0.00015613361028954387,0.00015613361028954387,0.00015613361028954387,0.00015613361028954387,0.00015613361028954387
MXD4,0.0,0.0,0.00015684214304201305,0.00015684214304201305,0.00015684214304201305,0.00015684215759392828,0.00015684214304201305,0.00015684214304201305,0.00015684215759392828,0.0,0.00015684215759392828,0.00015684215759392828,0.00015684214304201305,0.00015684214304201305,0.0,0.00015684214304201305
RAC1,0.0001634022337384522,0.0001634022337384522,0.00016340224829036742,0.0001634022337384522,0.0001634022337384522,0.00016340226284228265,0.0001634022337384522,0.0001634022337384522,0.0001634022337384522,0.0001634022337384522,0.00016340220463462174,0.00016340221918653697,0.0,0.0001634022337384522,0.0,0.0001634022337384522
CITED2,0.000163803604664281,0.00016380361921619624,0.00016380359011236578,0.0,0.0,0.00016380359011236578,0.00016380359011236578,0.00016380359011236578,0.00016380359011236578,0.0,0.00016380359011236578,0.00016380359011236578,0.000163803604664281,0.000163803604664281,0.0,0.0
MMP14,0.00017403645324520767,0.00017403645324520767,0.0001740364677971229,0.00017403645324520767,0.0,0.0001740364677971229,0.00017403645324520767,0.00017403645324520767,0.00017403645324520767,0.00017403645324520767,0.0001740364677971229,0.00017403645324520767,0.0001740364677971229,0.0,0.0,0.00017403645324520767
TOP1,0.0,0.00017485811258666217,0.0001748581271385774,0.00017485811258666217,0.0,0.0001748581271385774,0.00017485811258666217,0.00017485811258666217,0.0001748581271385774,0.00017485811258666217,0.0001748581271385774,0.00017485811258666217,0.00017485811258666217,0.00017485811258666217,0.0,0.0
AKT1,0.0,0.0001755949342623353,0.0001755949342623353,0.0001755949342623353,0.0,0.00017559491971042007,0.0,0.0001755949342623353,0.0001755949342623353,0.0001755949342623353,0.00017559491971042007,0.0001755949342623353,0.0001755949342623353,0.0,0.0,0.0
IL32,0.00017584452871233225,0.0,0.00017584452871233225,0.00017584452871233225,0.0,0.00017584452871233225,0.00017584451416041702,0.00017584452871233225,0.0001758445578161627,0.00017584452871233225,0.0001758444996085018,0.00017584452871233225,0.00017584452871233225,0.00017584452871233225,0.0,0.0
RUNX1,0.0,0.000176182875293307,0.000176182875293307,0.00017618286074139178,0.00017618286074139178,0.00017618288984522223,0.00017618286074139178,0.000176182875293307,0.000176182875293307,0.0,0.00017618286074139178,0.00017618284618947655,0.00017618286074139178,0.0,0.00017618286074139178,0.00017618286074139178
IRF3,0.00017674374976195395,0.0,0.00017674373521003872,0.00017674376431386918,0.00017674374976195395,0.00017674373521003872,0.00017674376431386918,0.00017674374976195395,0.0001767437788657844,0.00017674374976195395,0.00017674373521003872,0.00017674374976195395,0.0,0.0,0.00017674374976195395,0.00017674374976195395
NME2,0.00017765363736543804,0.0,0.00017765363736543804,0.00017765363736543804,0.0,0.00017765365191735327,0.00017765363736543804,0.00017765363736543804,0.00017765363736543804,0.00017765363736543804,0.00017765368102118373,0.00017765363736543804,0.00017765363736543804,0.00017765363736543804,0.0,0.00017765363736543804
GUK1,0.00017860574007499963,0.00017860574007499963,0.00017860574007499963,0.00017860574007499963,0.0,0.0001786057691788301,0.0,0.00017860574007499963,0.00017860575462691486,0.00017860574007499963,0.00017860575462691486,0.00017860575462691486,0.00017860574007499963,0.00017860574007499963,0.00017860574007499963,0.00017860574007499963
ITPKB,0.0,0.0001796027208911255,0.0001796027208911255,0.0,0.0001796027208911255,0.00017960273544304073,0.0001796027208911255,0.0001796027208911255,0.00017960274999495596,0.00017960273544304073,0.0001796027208911255,0.0001796027208911255,0.0001796027208911255,0.0,0.0001796027208911255,0.0001796027208911255
PEA15,0.00018031219951808453,0.00018031219951808453,0.00018031219951808453,0.00018031219951808453,0.0,0.00018031219951808453,0.0,0.00018031219951808453,0.00018031219951808453,0.00018031219951808453,0.00018031219951808453,0.00018031219951808453,0.00018031219951808453,0.00018031219951808453,0.00018031219951808453,0.0
HBS1L,0.00018201906641479582,0.0,0.00018201906641479582,0.00018201906641479582,0.00018201906641479582,0.00018201906641479582,0.00018201906641479582,0.00018201906641479582,0.00018201906641479582,0.00018201906641479582,0.00018201906641479582,0.00018201906641479582,0.00018201906641479582,0.0,0.0,0.0
BHLHE40,0.00018248343258164823,0.00018248343258164823,0.00018248343258164823,0.0,0.0,0.000182483418029733,0.00018248343258164823,0.00018248343258164823,0.00018248344713356346,0.0,0.00018248344713356346,0.00018248343258164823,0.00018248343258164823,0.00018248343258164823,0.000182483418029733,0.0
STAT1,0.0,0.00018396043742541224,0.00018396043742541224,0.00018396043742541224,0.00018396043742541224,0.00018396043742541224,0.00018396043742541224,0.0,0.00018396043742541224,0.00018396043742541224,0.00018396043742541224,0.00018396043742541224,0.0,0.0,0.00018396043742541224,0.00018396043742541224
RAB5B,0.00018467406334821135,0.00018467406334821135,0.00018467406334821135,0.00018467406334821135,0.00018467406334821135,0.00018467406334821135,0.00018467406334821135,0.00018467406334821135,0.00018467406334821135,0.00018467406334821135,0.00018467406334821135,0.00018467406334821135,0.0,0.00018467406334821135,0.00018467406334821135,0.00018467406334821135
CREG1,0.0001859443582361564,0.0001859443582361564,0.0001859443582361564,0.0001859443582361564,0.0,0.00018594422726891935,0.0001859443582361564,0.0001859443582361564,0.0001859443582361564,0.0001859443582361564,0.0001859443582361564,0.0001859443582361564,0.0001859443582361564,0.0001859443582361564,0.0,0.0001859443582361564
PKM,0.0001859785697888583,0.0001859785697888583,0.00018597858434077352,0.0001859785697888583,0.00018597855523694307,0.00018597858434077352,0.0001859785697888583,0.0001859785697888583,0.00018597858434077352,0.0001859785697888583,0.00018597858434077352,0.00018597858434077352,0.0001859785697888583,0.0,0.0001859785697888583,0.0001859785697888583
CXCL16,0.0,0.0001860485936049372,0.00018604857905302197,0.00018604857905302197,0.0001860485936049372,0.00018604850629344583,0.0,0.00018604860815685242,0.0001860485936049372,0.0001860485936049372,0.00018604856450110674,0.00018604862270876765,0.0001860485936049372,0.0,0.00018604860815685242,0.0001860485936049372
NEK6,0.0001862210629042238,0.00018622104835230857,0.0001862210629042238,0.0001862210629042238,0.00018622104835230857,0.00018622103380039334,0.0001862210629042238,0.00018622104835230857,0.00018622107745613903,0.0001862210629042238,0.00018622107745613903,0.00018622107745613903,0.00018622104835230857,0.0001862210629042238,0.0001862210629042238,0.0001862210629042238
ICAM1,0.0,0.0,0.0001870926789706573,0.0001870926789706573,0.0,0.0001870926789706573,0.0,0.00018709266441874206,0.00018709266441874206,0.00018709266441874206,0.0001870926353149116,0.00018709266441874206,0.00018709266441874206,0.00018709266441874206,0.0,0.0
AAK1,0.0,0.00018903741147369146,0.0,0.00018903741147369146,0.0,0.00018903741147369146,0.00018903741147369146,0.00018903741147369146,0.00018903745512943715,0.00018903741147369146,0.00018903741147369146,0.00018903741147369146,0.00018903741147369146,0.0,0.00018903741147369146,0.00018903741147369146
MIF,0.00018943098257295787,0.00018943098257295787,0.0001894309971248731,0.00018943098257295787,0.00018943096802104264,0.0001894309971248731,0.00018943098257295787,0.00018943098257295787,0.0001894309971248731,0.0001894309971248731,0.0001894309971248731,0.0001894309971248731,0.00018943098257295787,0.0,0.00018943098257295787,0.0
SUPT5H,0.0,0.0,0.00018997360893990844,0.00018997360893990844,0.0,0.00018997360893990844,0.00018997360893990844,0.0,0.00018997360893990844,0.00018997360893990844,0.00018997360893990844,0.00018997360893990844,0.0,0.00018997360893990844,0.00018997360893990844,0.00018997360893990844
RAB13,0.0,0.00019080733181908727,0.00019080733181908727,0.00019080733181908727,0.0,0.0001908073027152568,0.0,0.00019080733181908727,0.00019080733181908727,0.00019080733181908727,0.00019080733181908727,0.0001908073463710025,0.00019080733181908727,0.00019080733181908727,0.0,0.0
MORC3,0.00019339013670105487,0.0,0.00019339013670105487,0.0,0.00019339013670105487,0.00019339013670105487,0.00019339013670105487,0.00019339013670105487,0.00019339012214913964,0.00019339013670105487,0.0001933901512529701,0.00019339013670105487,0.0,0.00019339013670105487,0.00019339013670105487,0.0
SGK1,0.0,0.00019466849335003644,0.00019466850790195167,0.00019466849335003644,0.0,0.00019466843514237553,0.00019466849335003644,0.00019466849335003644,0.00019466849335003644,0.00019466850790195167,0.00019466850790195167,0.00019466850790195167,0.00019466849335003644,0.00019466849335003644,0.00019466849335003644,0.0
OPTN,0.00019604264525696635,0.00019604264525696635,0.00019604264525696635,0.00019604264525696635,0.00019604264525696635,0.0001960426743607968,0.0,0.00019604265980888158,0.00019604268891271204,0.00019604264525696635,0.0001960426743607968,0.00019604264525696635,0.00019604264525696635,0.00019604264525696635,0.00019604264525696635,0.00019604264525696635
EWSR1,0.00019646427244879305,0.00019646427244879305,0.00019646427244879305,0.00019646427244879305,0.00019646427244879305,0.00019646427244879305,0.00019646427244879305,0.00019646427244879305,0.0001964643015526235,0.00019646427244879305,0.00019646425789687783,0.00019646427244879305,0.0,0.0,0.00019646427244879305,0.00019646427244879305
MAP2K2,0.00019646446162369102,0.00019646446162369102,0.00019646446162369102,0.0,0.00019646446162369102,0.00019646443251986057,0.00019646446162369102,0.00019646446162369102,0.00019646446162369102,0.0,0.00019646446162369102,0.00019646446162369102,0.0,0.00019646446162369102,0.0,0.00019646446162369102
MDM2,0.00019661869737319648,0.00019661869737319648,0.00019661869737319648,0.00019661869737319648,0.0,0.0001966187119251117,0.00019661868282128125,0.00019661869737319648,0.00019661868282128125,0.0,0.0001966187119251117,0.0001966187119251117,0.00019661869737319648,0.0,0.0,0.0
