gene_idx,gene_name
15738,OPTN
15733,NEK6
15829,TNFRSF1B
15776,RGL2
15794,SMURF2
15772,RAC1
15770,RAB5B
15727,MXD4
15836,TYK2
15630,ETS1
15721,MMP14
15724,MOB3A
15722,MMP2
15745,PEA15
15731,NAP1L4
15819,THBS1
15801,SPIN1
15632,EWSR1
15755,PLAUR
15703,MAP2K2
15652,HBS1L
15824,TNFAIP2
15825,TNFAIP3
15830,TOP1
15756,PML
15807,STAT1
15611,CXCL16
15695,ITPKB
15635,FASTK
15560,BCL6
15725,MORC3
15768,RAB13
15571,CCL2
15634,FAS
15558,ATM
15545,AAK1
15561,BEX3
15708,MAP3K7
15806,SRSF1
15586,CDK4
15811,SUPT5H
15577,CCL5
15773,RAF1
15741,PDCD10
15736,NME2
15596,CITED2
15600,CREG1
15602,CSF1
15690,IRF7
15781,SCAMP4
15597,CKB
15580,CCN2
15609,CXCL12
15633,F3
15815,TES
15711,MAPKAPK5
15735,NINJ1
15792,SMARCB1
15805,SREBF1
15624,EGFR
15598,CLTB
15588,CDKN1A
15729,NADK
15693,ITPK1
15716,MIF
15752,PKM
15715,MDM2
15655,HK3
15714,MCRS1
15786,SERPINE1
15618,DEK
15804,SRC
15751,PIK3R5
15706,MAP2K7
15653,HDAC1
15814,TERF2
15812,SYK
15710,MAPK14
15764,PTBP1
15769,RAB31
15709,MAPK12
15604,CSF2RB
15548,ACVR1B
15739,PAK4
15835,TUBGCP2
15707,MAP3K6
15663,ID4
15763,PSMB5
15649,GRK6
15657,HRAS
15810,STK40
15659,HTATIP2
15757,PMVK
15799,SP1
15628,ERRFI1
15616,CYP1B1
15728,MYC
15808,STAT5B
15782,SELPLG
15667,IGFBP2
15778,RRAS
15648,GMFG
15700,LIMK1
15620,DPY30
15656,HPS5
15831,TP53
15639,FGF7
15647,GLB1
15559,AXL
15798,SOX5
15818,TGFB1I1
15843,ZNF148
15546,ABI3
15702,MAP2K1
15701,MAP1LC3B
15625,EHF
15771,RABGGTA
15783,SEMA3F
15692,ITGA2
15839,VEGFC
15754,PLAU
15593,CDKN2B
15565,BMP6
15670,IGFBP5
15640,FILIP1L
15617,DDB2
15726,MVK
15760,PPM1D
15687,IQGAP2
15713,MATK
15605,CTNNB1
15795,SOD1
15747,PEX19
15644,GADD45A
15750,PIGF
15682,IL6
15587,CDK6
15601,CRYAB
15643,G6PD
15594,CDKN2D
15691,ISG15
15614,CXCL8
15622,EDN1
15612,CXCL2
15762,PRPF19
15645,GDF15
15585,CDK18
15743,PDPK1
15677,IL18
15638,FGF2
15698,KITLG
15793,SMPD1
15796,SORBS2
15790,SIRT1
15654,HGF
15555,ANGPTL4
15646,GEM
15564,BMP2
15554,ANGPT1
15592,CDKN2AIP
15576,CCL4
15566,BRAF
15689,IRF5
15549,ADCK5
15744,PDZD2
15788,SFN
15666,IGF1
15547,ACLY
15809,STK32C
15837,UBTD1
15813,TACC3
15833,TRIM28
15749,PIAS4
15661,ICAM3
15671,IGFBP6
15636,FBXO31
15765,PTGER2
15590,CDKN1C
15607,CXCL1
15552,ALOX15B
15737,NRG1
15740,PAPPA
15753,PLAT
15758,PNPT1
15827,TNFRSF11B
15823,TNF
15823,TNF
15742,PDIK1L
15841,WNT2
15759,POU5F1
15684,IL7
15668,IGFBP3
15685,ING1
14172,UBASH3A
15551,ALDH1A3
15553,ANG
15574,CCL3
15802,SPP1
15556,AREG
15732,NDN
15613,CXCL3
15787,SERPINE2
15608,CXCL10
15568,CBX8
15821,TLR3
15658,HSPA2
15676,IL15
15621,E2F1
15615,CXCR2
15705,MAP2K6
15673,IGSF3
15832,TP63
15579,CCL8
15569,CCL13
15723,MMP9
15797,SOX2
15766,PTGES
15761,PROX1
15748,PGF
15573,CCL24
15816,TFAP2A
15610,CXCL14
15563,BLK
15572,CCL20
15767,PTTG1
15834,TSPYL5
15826,TNFRSF10C
15603,CSF2
15627,EREG
15678,IL1A
15595,CHEK1
15629,ESM1
15817,TFAP4
15619,DKK1
15591,CDKN2A
15665,IFNG
15665,IFNG
15791,SLC13A3
15637,FGF1
6530,JAKMIP1
15570,CCL16
6969,L1CAM
15623,EGF
15803,SPX
15686,INHA
15730,NANOG
15775,RBP2
15719,MMP12
15694,ITPKA
15448,ZNF80
15697,KCNJ12
1743,C4orf50
15784,SERPINB2
15718,MMP10
3552,DEFB4B
15680,IL2
15680,IL2
15680,IL2
1856,CALCA
1856,CALCA
13606,TMPRSS11E
1006,ASCL1
1006,ASCL1
11978,SLC2A2
190,ACSM6
7056,LDHAL6A
7056,LDHAL6A
9025,OR2G6
3399,DACH2
8205,MYCNOS
14727,XKR4
15712,MAST1
15712,MAST1
15712,MAST1
6282,IL1RAPL1
9272,PBOV1
547,ALX4
2515,CERS1
2515,CERS1
2515,CERS1
2440,CELA1
2440,CELA1
2440,CELA1
6993,LAMB4
6993,LAMB4
5986,HOXA11
5986,HOXA11
5986,HOXA11
10304,PRSS51
5819,HEPN1
10304,PRSS51
5986,HOXA11
6993,LAMB4
2440,CELA1
2515,CERS1
547,ALX4
1478,BRSK2
11445,SCYGR8
14275,UGT2A1
