Cell Type,Gene Name,Score
AT2,CELA1,0.010767892003059387
AT2,HOXA11,0.016114048659801483
AT2,MYCNOS,0.006422765552997589
AT2,OR2G6,0.002481028437614441
AT2,PBOV1,0.005242839455604553
AT2,SLC2A2,0.009388908743858337
AT2,ITPKA,0.00041509419679641724
AT2,MAST1,0.011716991662979126
AT2,NANOG,0.0013007652014493942
AT2,RBP2,0.001758834347128868
AT2,SPX,0.0007885564118623734
CD4+ T Cells,CELA1,0.014925360679626465
CD4+ T Cells,LAMB4,0.010498017072677612
CD4+ T Cells,OR2G6,0.0025635361671447754
CD4+ T Cells,SLC2A2,0.004137806594371796
CD4+ T Cells,MAST1,0.011415660381317139
Dendritic cells,SERPINB2,0.0015584081411361694
Fibrotic fibroblast,ALX4,0.012991242110729218
Fibrotic fibroblast,BRSK2,0.009463973343372345
Fibrotic fibroblast,CERS1,0.013425782322883606
Fibrotic fibroblast,DACH2,0.021970078349113464
Fibrotic fibroblast,HOXA11,0.00773843377828598
Fibrotic fibroblast,IL1RAPL1,0.011477544903755188
Fibrotic fibroblast,LAMB4,0.01149190217256546
Fibrotic fibroblast,MYCNOS,0.009855277836322784
Fibrotic fibroblast,OR2G6,0.007123783230781555
Fibrotic fibroblast,PRSS51,0.014618873596191406
Fibrotic fibroblast,SCYGR8,0.009077869355678558
Fibrotic fibroblast,ITPKA,0.00041172467172145844
Fibrotic fibroblast,MAST1,0.006733357906341553
Fibrotic fibroblast,NANOG,0.000894429162144661
Fibrotic fibroblast,SPX,0.00047610141336917877
Smooth muscle cells,SLC2A2,0.009936191141605377
Smooth muscle cells,TMPRSS11E,0.0013552382588386536
Smooth muscle cells,ITPKA,0.0005816556513309479
Smooth muscle cells,NANOG,0.0007550343871116638
EC Venous,CELA1,0.009684517979621887
EC Venous,HEPN1,0.01521041989326477
EC Venous,MYCNOS,0.011135876178741455
EC Venous,OR2G6,0.0042458996176719666
EC Venous,PRSS51,0.01462208479642868
EC Venous,TMPRSS11E,0.00469149649143219
EC Venous,XKR4,0.013764850795269012
EC Venous,CCL16,0.0003227442502975464
EC Venous,NANOG,0.0006806068122386932
Plasma cells,IGFBP2,3.416772233322263e-05
EC General capillary,HOXA11,0.011209294199943542
EC General capillary,IL1RAPL1,0.012202523648738861
EC General capillary,MYCNOS,0.011310726404190063
EC General capillary,SLC2A2,0.009575136005878448
EC General capillary,CCL16,0.0004494655877351761
EC General capillary,ITPKA,0.0008881576359272003
EC General capillary,MAST1,0.00942588597536087
EC General capillary,NANOG,0.0009225569665431976
