Cell Type,Gene Name,Score
AT2,ABCB1,0.004521445836871862
AT2,ACKR2,0.005489514674991369
AT2,ADAMTS18,0.01313237939029932
AT2,ADCYAP1,0.012324731796979904
AT2,ADGRG3,0.003019469790160656
AT2,ADRA1A,0.003950138110667467
AT2,ADRA2A,0.0035566005390137434
AT2,ADRA2C,0.006055253092199564
AT2,AFF2,0.0034464593045413494
AT2,AGBL2,0.003309821244329214
AT2,ALAS2,0.010085918940603733
AT2,ALDH3A1,0.003423067508265376
AT2,ALOX15,0.0030018112156540155
AT2,AMPD1,0.00979069247841835
AT2,ANKK1,0.011218023486435413
AT2,ARG1,0.01467437855899334
AT2,AZGP1,0.003193656913936138
AT2,BDNF,0.008917748928070068
AT2,BEST4,0.003966158721596003
AT2,BPIFA1,0.008187610656023026
AT2,BRSK1,0.0031531325075775385
AT2,C1QTNF7,0.0031432516407221556
AT2,C2CD4C,0.006205864250659943
AT2,C3orf18,0.003038156544789672
AT2,C3orf70,0.003569553839042783
AT2,CA3,0.003094539511948824
AT2,CACNB2,0.005520006641745567
AT2,CALB2,0.01386028528213501
AT2,CAMK4,0.0037152101285755634
AT2,CATSPERZ,0.010400817729532719
AT2,CCDC89,0.003388203214854002
AT2,CCN3,0.004874175414443016
AT2,CCN4,0.005149303935468197
AT2,CCNO,0.00325589906424284
AT2,CCR4,0.003771336516365409
AT2,CCR7,0.005287968087941408
AT2,CD163L1,0.004288950003683567
AT2,CD207,0.00751062436029315
AT2,CD300LG,0.008186998777091503
AT2,CD40LG,0.003133373335003853
AT2,CDH6,0.006055387668311596
AT2,CDO1,0.0038146059960126877
AT2,CHAC1,0.006529585458338261
AT2,CLDN10,0.005286707077175379
AT2,CLEC4D,0.003255347954109311
AT2,CLEC4M,0.0034466064535081387
AT2,CLECL1,0.005372514016926289
AT2,CLNK,0.005401246249675751
AT2,COL17A1,0.007187275215983391
AT2,COL6A5,0.003934050444513559
AT2,CPSF4L,0.014054265804588795
AT2,CRLF1,0.003771512070670724
AT2,CSF3,0.004561903886497021
AT2,CTH,0.0037858218420296907
AT2,CXCL5,0.0049708932638168335
AT2,CXCL6,0.004874714650213718
AT2,CXCR1,0.003123173490166664
AT2,CYP24A1,0.010511324740946293
AT2,CYP2F1,0.005343715660274029
AT2,FABP3,0.003255711402744055
AT2,FAM124B,0.004713882692158222
AT2,FAM171B,0.00723868515342474
AT2,FAM30A,0.0058776866644620895
AT2,FCER1A,0.004147137515246868
AT2,FGA,0.00577570591121912
AT2,FIGNL2,0.003193427110090852
AT2,FLT3,0.005315018817782402
AT2,FOSL1,0.0036870765034109354
AT2,FRMD3,0.005098968744277954
AT2,FRZB,0.004363842774182558
AT2,GABRP,0.0068902987986803055
AT2,GALNT15,0.007989645004272461
AT2,GATA1,0.01558879017829895
AT2,GDA,0.018819456920027733
AT2,GPIHBP1,0.0034113340079784393
AT2,GPR20,0.005843101069331169
AT2,GREM1,0.023174423724412918
AT2,GRM2,0.015587268397212029
AT2,HAP1,0.010295038111507893
AT2,HBG2,0.003757426282390952
AT2,HEATR9,0.005581159610301256
AT2,HIST1H2BG,0.004029595293104649
AT2,HIST1H2BH,0.007034174166619778
AT2,HS3ST6,0.012028959579765797
AT2,HSD11B2,0.003183254273608327
AT2,HTR1F,0.01029450073838234
AT2,IL11,0.01690126210451126
AT2,JPH2,0.00860864669084549
AT2,JSRP1,0.005809360183775425
AT2,KCNA5,0.0059828064404428005
AT2,KCP,0.007567818742245436
AT2,KLK12,0.03977091982960701
AT2,KLRB1,0.0030473265796899796
AT2,KLRC3,0.003038075752556324
AT2,KRT17,0.0031530833803117275
AT2,KRT23,0.01367296651005745
AT2,KRT4,0.005551400128751993
AT2,LAMP5,0.009887640364468098
AT2,LCN6,0.004481411073356867
AT2,LOXL4,0.003997808322310448
AT2,LRCOL1,0.0034114185255020857
AT2,LTA,0.010400453582406044
AT2,LZTS1,0.004563220776617527
AT2,MEOX1,0.0077433413825929165
AT2,MFAP5,0.0050979722291231155
AT2,MGAM,0.003434175392612815
AT2,MMP17,0.004271104000508785
AT2,MROH9,0.0029662069864571095
AT2,MS4A1,0.00430742371827364
AT2,MSMB,0.00446162698790431
AT2,MT1M,0.003411046462133527
AT2,MUC5AC,0.00723860552534461
AT2,NALCN,0.0069856662303209305
AT2,NIBAN3,0.0055207787081599236
AT2,NR5A2,0.003244988853111863
AT2,NRCAM,0.0036342660896480083
AT2,NTRK3,0.0032987401355057955
AT2,NUGGC,0.004584017209708691
AT2,NUSAP1,0.004563396330922842
AT2,OMP,0.016910342499613762
AT2,OTUD7A,0.009079287759959698
AT2,P2RX5,0.003757600672543049
AT2,PAX5,0.013862157240509987
AT2,PCDH15,0.004402596037834883
AT2,PGR,0.003934628330171108
AT2,PLD4,0.005676828324794769
AT2,PLIN4,0.004804068244993687
AT2,POLE2,0.004252856597304344
AT2,PPP2R2B,0.005046341568231583
AT2,PRRX2,0.006659703329205513
AT2,PTCRA,0.00648702634498477
AT2,RAB26,0.0050471145659685135
AT2,RANBP3L,0.005876791663467884
AT2,RASD2,0.008464607410132885
AT2,RGL4,0.007864068262279034
AT2,RHEX,0.003934855572879314
AT2,RIMS3,0.004647937603294849
AT2,RNASE2,0.003142829518765211
AT2,RND1,0.0035949917510151863
AT2,RRM2,0.006283801980316639
AT2,S100A3,0.004270513541996479
AT2,SAA4,0.020772380754351616
AT2,SCUBE1,0.0029837843030691147
AT2,SELE,0.006982472725212574
AT2,SERPINB3,0.011476244777441025
AT2,SFRP1,0.0050721922889351845
AT2,SIGLEC6,0.004046332091093063
AT2,SLC28A3,0.008760807104408741
AT2,SLC2A4,0.019550329074263573
AT2,SLC4A3,0.004850983154028654
AT2,SLC6A1,0.00404630322009325
AT2,SOAT2,0.031105782836675644
AT2,SPTB,0.007927005179226398
AT2,SRPK3,0.009986785240471363
AT2,STAP1,0.005912267602980137
AT2,SUSD5,0.011216489598155022
AT2,SYN2,0.005947645287960768
AT2,TFPI2,0.00657149450853467
AT2,TNFAIP6,0.0034694778732955456
AT2,TNFRSF13B,0.003950458485633135
AT2,TNFRSF13C,0.0032347822561860085
AT2,TNFSF8,0.004198827780783176
AT2,TNR,0.005613598041236401
AT2,TNS4,0.003203737083822489
AT2,TOP2A,0.006660339888185263
AT2,TPSD1,0.0037574151065200567
AT2,TPSG1,0.003423089627176523
AT2,TREML1,0.006404194049537182
AT2,TRIM36,0.0030381164979189634
AT2,TRPV3,0.007035433314740658
AT2,TVP23A,0.0030198111198842525
AT2,TYMS,0.00332085695117712
AT2,UBE2QL1,0.026924077421426773
AT2,UNC45B,0.015588436275720596
AT2,VIPR2,0.009420412592589855
AT2,VWA5B1,0.015838898718357086
AT2,WNT10A,0.0032878578640520573
AT2,WNT11,0.0038740297313779593
AT2,XCL2,0.013856454752385616
AT2,ZNF215,0.004501755814999342
AT2,ZNF385D,0.003715227358043194
AT2,ZNF829,0.008464344777166843
AT2,BLK,0.004605287220329046
AT2,CCL13,0.0038437610492110252
AT2,CCL20,0.00628301315009594
AT2,CCL3,0.003798875492066145
AT2,CDKN2A,0.009420369751751423
AT2,CXCR2,0.003506567096337676
AT2,E2F1,0.002992757363244891
AT2,FGF1,0.010294302366673946
AT2,HSPA2,0.003047266975045204
AT2,SOX2,0.003133488819003105
AT2,SPP1,0.0031329747289419174
AT2,SPX,0.01917937584221363
AT2,TNF,0.004214965272694826
AT2,TNFRSF10C,0.005459784530103207
Plasma cells,ACTA1,0.025529595091938972
Plasma cells,ACTN2,0.0031832552049309015
Plasma cells,ADAMTS5,0.009789110161364079
Plasma cells,ADAMTSL1,0.004363854415714741
Plasma cells,ADCYAP1,0.012324711307883263
Plasma cells,ADGRL3,0.005808789283037186
Plasma cells,AGBL2,0.0033098170533776283
Plasma cells,AHSP,0.03108029253780842
Plasma cells,AIM2,0.0031933560967445374
Plasma cells,ALDH3A1,0.0034230800811201334
Plasma cells,ALOX15,0.0030018219258636236
Plasma cells,AMPD1,0.009790727868676186
Plasma cells,ANKRD53,0.0036746952682733536
Plasma cells,APBA2,0.0034463414922356606
Plasma cells,APOBEC3H,0.0035439832136034966
Plasma cells,APOLD1,0.007864240556955338
Plasma cells,ASTL,0.012518505565822124
Plasma cells,AZU1,0.0053150285966694355
Plasma cells,B4GALNT1,0.019180286675691605
Plasma cells,BEST4,0.003966161981225014
Plasma cells,BRSK1,0.0031531178392469883
Plasma cells,C1QTNF8,0.008839262649416924
Plasma cells,C2CD4C,0.0062058670446276665
Plasma cells,C3orf70,0.0035695508122444153
Plasma cells,C4BPB,0.0032244198955595493
Plasma cells,CABP1,0.01750217378139496
Plasma cells,CBARP,0.018130488693714142
Plasma cells,CCDC136,0.004095868673175573
Plasma cells,CCDC89,0.0033882069401443005
Plasma cells,CCL11,0.005045503843575716
Plasma cells,CCN3,0.0048741488717496395
Plasma cells,CCNB3,0.030166052281856537
Plasma cells,CCNO,0.0032558999955654144
Plasma cells,CD177,0.013859099708497524
Plasma cells,CDO1,0.0038146041333675385
Plasma cells,CFAP97D2,0.0030199612956494093
Plasma cells,CHRDL2,0.00916039478033781
Plasma cells,CLECL1,0.0053722066804766655
Plasma cells,CMTM1,0.005842810962349176
Plasma cells,CNTN4,0.007743107620626688
Plasma cells,COL17A1,0.00718730827793479
Plasma cells,COL4A6,0.0073998779989778996
Plasma cells,COLGALT2,0.004234351217746735
Plasma cells,COMP,0.003814724972471595
Plasma cells,CPNE7,0.0061293793842196465
Plasma cells,CRLF1,0.0037715155631303787
Plasma cells,CRTAM,0.00941721722483635
Plasma cells,CTH,0.0037862001918256283
Plasma cells,CXCL6,0.00487473513931036
Plasma cells,CXCR6,0.004160529468208551
Plasma cells,CYP26C1,0.0062446556985378265
Plasma cells,DCDC2C,0.028458314016461372
Plasma cells,DCST2,0.005912367254495621
Plasma cells,DEPDC1B,0.024906961247324944
Plasma cells,DHH,0.004062685649842024
Plasma cells,DNASE1L3,0.003814483294263482
Plasma cells,ECRG4,0.0030756022315472364
Plasma cells,ENPP1,0.005613068118691444
Plasma cells,EOMES,0.003996905405074358
Plasma cells,FABP6,0.00390420900657773
Plasma cells,FAM155A,0.028447097167372704
Plasma cells,FAM30A,0.005877674091607332
Plasma cells,FCRL2,0.004422018304467201
Plasma cells,FCRL3,0.003595109796151519
Plasma cells,FCRL5,0.00402999110519886
Plasma cells,FER1L6,0.033178314566612244
Plasma cells,FGF10,0.003354097483679652
Plasma cells,FGFBP2,0.0030287127010524273
Plasma cells,FOXC2,0.004344920627772808
Plasma cells,FOXD2,0.011092748492956161
Plasma cells,FOXL1,0.005204341374337673
Plasma cells,FRMD3,0.005098005291074514
Plasma cells,FRZB,0.004363839514553547
Plasma cells,GCSAML,0.01558784581720829
Plasma cells,GRID1,0.015837639570236206
Plasma cells,GRIP2,0.005742593202739954
Plasma cells,HBG2,0.003757059806957841
Plasma cells,HS3ST6,0.01202897634357214
Plasma cells,IGFN1,0.015588171780109406
Plasma cells,IL13RA2,0.006704069208353758
Plasma cells,ITGA11,0.004922477528452873
Plasma cells,JPH2,0.008608633652329445
Plasma cells,JSRP1,0.005809381138533354
Plasma cells,KCNAB1,0.007291756104677916
Plasma cells,KLHL33,0.008121049031615257
Plasma cells,KLHL4,0.010188871063292027
Plasma cells,KLRC2,0.016081780195236206
Plasma cells,KRT23,0.013672617264091969
Plasma cells,KRTAP22-1,0.09836651384830475
Plasma cells,L1CAM,0.020831787958741188
Plasma cells,LETM2,0.0038440534844994545
Plasma cells,LOXL4,0.003997809253633022
Plasma cells,LRCOL1,0.003411405486986041
Plasma cells,LRRN3,0.004363859072327614
Plasma cells,MAP1LC3C,0.007085434161126614
Plasma cells,MASP1,0.004736096598207951
Plasma cells,MIR1915HG,0.010970388539135456
Plasma cells,MKI67,0.008536466397345066
Plasma cells,MPP2,0.010189175605773926
Plasma cells,MPPED2,0.005259305238723755
Plasma cells,MRAP2,0.008536066859960556
Plasma cells,MS4A1,0.0043150894343853
Plasma cells,MSTN,0.015836603939533234
Plasma cells,MUC16,0.0035697598941624165
Plasma cells,MUSK,0.008609422482550144
Plasma cells,MYO18B,0.02924981899559498
Plasma cells,MYOCD,0.008760008960962296
Plasma cells,NIBAN3,0.005520783364772797
Plasma cells,NOVA1,0.004364072345197201
Plasma cells,NR5A2,0.00324498163536191
Plasma cells,NTRK3,0.0032987322192639112
Plasma cells,NUSAP1,0.004563154652714729
Plasma cells,OIT3,0.017812198027968407
Plasma cells,PAK3,0.013671470806002617
Plasma cells,PCDH15,0.004402598366141319
Plasma cells,PCDHB11,0.004129975568503141
Plasma cells,PCDHB14,0.003114042105153203
Plasma cells,PDCD1,0.00453709764406085
Plasma cells,PIF1,0.005231786053627729
Plasma cells,PKP1,0.0041127740405499935
Plasma cells,PLIN1,0.013308824971318245
Plasma cells,PNOC,0.009790994226932526
Plasma cells,POLE2,0.004252636805176735
Plasma cells,PPP2R2B,0.005046337842941284
Plasma cells,RAB26,0.0050470964051783085
