gene,p_val,logFC,p_val_adj,cell type
P2RY8,0.9530936309111258,0.25087485,1.0,Fibrotic fibroblast
TM4SF19,0.9843565288672314,0.25183627,1.0,Fibrotic fibroblast
KLRC1,0.9921778885516888,0.2581918,1.0,Fibrotic fibroblast
MMP9,0.9609044734847388,0.2730782,1.0,Fibrotic fibroblast
ARG1,0.9921778885516888,0.27501008,1.0,Fibrotic fibroblast
ANKRD1,0.9765366724937381,0.28586516,1.0,Fibrotic fibroblast
AGRP,0.9843565288672314,0.28725067,1.0,Fibrotic fibroblast
EOMES,0.9609044734847388,0.28832498,1.0,Fibrotic fibroblast
PIK3R6,0.9530936309111258,0.29143456,1.0,Fibrotic fibroblast
IGHD,0.9765366724937381,0.29211903,1.0,Fibrotic fibroblast
TNFRSF10C,0.9765366724937381,0.29817426,1.0,Fibrotic fibroblast
GABRP,0.9765366724937381,0.30955452,1.0,Fibrotic fibroblast
BDNF,0.9843565288672314,0.3125353,1.0,Fibrotic fibroblast
CSF2,0.9687190705449362,0.32153013,1.0,Fibrotic fibroblast
IL12RB2,0.9765366724937381,0.32727435,1.0,Fibrotic fibroblast
IL11,0.9710285375387987,0.3453925,1.0,Fibrotic fibroblast
CSF3,0.9609044734847388,0.3598568,1.0,Fibrotic fibroblast
MGAM,0.9530936309111258,0.3638952,1.0,Fibrotic fibroblast
Z82206.1,0.9530936309111258,0.3679555,1.0,Fibrotic fibroblast
ABCB1,0.9609044734847388,0.37278283,1.0,Fibrotic fibroblast
TMEM156,0.9374862019922061,0.37290493,1.0,Fibrotic fibroblast
KCNA5,0.9687190705449362,0.3757961,1.0,Fibrotic fibroblast
ADGRG3,0.9374862019922061,0.40630144,1.0,Fibrotic fibroblast
RXFP1,0.9452872913404404,0.41431436,1.0,Fibrotic fibroblast
SPOCD1,0.9452872913404404,0.42898005,1.0,Fibrotic fibroblast
CXCL5,0.9609044734847388,0.42938775,1.0,Fibrotic fibroblast
CXCR6,0.9452872913404404,0.4300136,1.0,Fibrotic fibroblast
KLRC3,0.9219027550704397,0.44034672,1.0,Fibrotic fibroblast
CCR6,0.9687190705449362,0.44283146,1.0,Fibrotic fibroblast
SLC28A3,0.9765366724937381,0.44937497,1.0,Fibrotic fibroblast
PADI4,0.9530936309111258,0.46930033,1.0,Fibrotic fibroblast
SCN3B,0.9765366724937381,0.4718694,1.0,Fibrotic fibroblast
LCN6,0.9452872913404404,0.48472464,1.0,Fibrotic fibroblast
AGBL2,0.9374862019922061,0.4852882,1.0,Fibrotic fibroblast
KRT6A,0.9921778885516888,0.49966824,1.0,Fibrotic fibroblast
PAMR1,0.9833345143419319,0.4997125,1.0,Fibrotic fibroblast
LTA,0.9765366724937381,0.51662654,1.0,Fibrotic fibroblast
ADCYAP1,0.9765366724937381,0.54705626,1.0,Fibrotic fibroblast
TOP2A,0.9609044734847388,0.56491536,1.0,Fibrotic fibroblast
CMTM1,0.9983999981008445,0.59717774,1.0,Fibrotic fibroblast
CPXM1,0.9264155959229995,0.60660356,1.0,Fibrotic fibroblast
RRM2,0.9609044734847388,0.6143819,1.0,Fibrotic fibroblast
DHH,0.9296911085745647,0.63237476,1.0,Fibrotic fibroblast
GZMK,0.9296911085745647,0.6383809,1.0,Fibrotic fibroblast
FAM222A,0.9219027550704397,0.6426752,1.0,Fibrotic fibroblast
KLHDC7B,0.9609044734847388,0.6727227,1.0,Fibrotic fibroblast
CD70,0.9765366724937381,0.70640457,1.0,Fibrotic fibroblast
KRT4,0.9530936309111258,0.72273725,1.0,Fibrotic fibroblast
APOBEC3H,0.9063492338312203,0.74436647,1.0,Fibrotic fibroblast
SEMA3A,0.9141218835245282,0.7785242,1.0,Fibrotic fibroblast
DAB1,0.9777361819008515,0.7899399,1.0,Fibrotic fibroblast
ICOS,0.8908315475632713,0.7941657,1.0,Fibrotic fibroblast
OSR2,0.7616168305538027,0.8018291,1.0,Fibrotic fibroblast
GSTA2,0.9765366724937381,0.8037778,1.0,Fibrotic fibroblast
PCDHB10,0.8678103618314693,0.8159917,1.0,Fibrotic fibroblast
CA3,0.8985855435235492,0.8382995,1.0,Fibrotic fibroblast
KLK13,0.9765366724937381,0.8608482,1.0,Fibrotic fibroblast
HIST1H2AH,0.9374862019922061,0.92818713,1.0,Fibrotic fibroblast
CCN4,0.8330589628485703,0.9293354,1.0,Fibrotic fibroblast
GPR20,0.9374862019922061,0.9685725,1.0,Fibrotic fibroblast
CXCL9,0.9452872913404404,0.9713967,1.0,Fibrotic fibroblast
XCL2,0.9687190705449362,0.9970891,1.0,Fibrotic fibroblast
RELN,0.9530936309111258,0.99896276,1.0,Fibrotic fibroblast
CXCR3,0.8830879781321764,1.015446,1.0,Fibrotic fibroblast
APBA2,0.8842752058252407,1.032153,1.0,Fibrotic fibroblast
PGF,0.8104411789457386,1.0343235,1.0,Fibrotic fibroblast
CADM3,0.9485245536203832,1.0579568,1.0,Fibrotic fibroblast
NUSAP1,0.9141218835245282,1.0613123,1.0,Fibrotic fibroblast
HOXD4,0.9452872913404404,1.0946518,1.0,Fibrotic fibroblast
HTR7,0.9765366724937381,1.1437877,1.0,Fibrotic fibroblast
NIBAN3,0.9063492338312203,1.1489722,1.0,Fibrotic fibroblast
MMP12,0.9843565288672314,1.1951412,1.0,Fibrotic fibroblast
PARD6G,0.8095344368317301,1.2671071,1.0,Fibrotic fibroblast
ADRA2A,0.6972955811977621,1.3659773,1.0,Fibrotic fibroblast
ZNF530,0.8270218825495832,1.4460096,1.0,Fibrotic fibroblast
COL6A5,0.6461596661526471,1.479843,1.0,Fibrotic fibroblast
CAMK4,0.8676350324421195,1.4913712,1.0,Fibrotic fibroblast
PROX1,0.8676350324421195,1.5281931,1.0,Fibrotic fibroblast
ACKR2,0.9141218835245282,1.542293,1.0,Fibrotic fibroblast
SFRP1,0.8267615164598734,1.6867577,1.0,Fibrotic fibroblast
PCLAF,0.9374862019922061,1.7053406,1.0,Fibrotic fibroblast
C3orf70,0.9288499826714904,1.7288301,1.0,Fibrotic fibroblast
IGFN1,0.6531348854082557,1.7593666,1.0,Fibrotic fibroblast
RASD1,0.9445335360533671,1.8158042,1.0,Fibrotic fibroblast
TYMS,0.8368861186189468,2.0771425,1.0,Fibrotic fibroblast
CCDC89,0.7888380269380304,2.180277,1.0,Fibrotic fibroblast
ZNF273,0.9452872913404404,2.2014952,1.0,Fibrotic fibroblast
RASD2,0.8476049781767567,2.2246957,1.0,Fibrotic fibroblast
CCL13,0.7509013120699238,2.2668598,1.0,Fibrotic fibroblast
ATP1A2,0.8976598270965974,2.410156,1.0,Fibrotic fibroblast
LETM2,0.8522325004650666,2.7104506,1.0,Fibrotic fibroblast
PRRX2,0.5538805267167985,2.7174726,1.0,Fibrotic fibroblast
PTGES,0.29620903724004566,3.426084,1.0,Fibrotic fibroblast
IGSF21,0.9753489245311587,0.25637087,1.0,EC Venous
ADRA2A,0.9671359666641282,0.25772935,1.0,EC Venous
SPIB,0.9917818124836573,0.2660275,1.0,EC Venous
CALB2,0.9917818124836573,0.26779076,1.0,EC Venous
KCNAB1,0.9835644968067266,0.26951674,1.0,EC Venous
COLGALT2,0.9671359666641282,0.2705811,1.0,EC Venous
CILP,0.9917818124836573,0.27635053,1.0,EC Venous
MGAM,0.9589264933810133,0.28448534,1.0,EC Venous
RSPO2,0.9753489245311587,0.29111016,1.0,EC Venous
MMP9,0.9671359666641282,0.30359083,1.0,EC Venous
COMP,0.9589264933810133,0.32185158,1.0,EC Venous
CLEC4M,0.8709305518407602,0.32556036,1.0,EC Venous
ACKR2,0.9753489245311587,0.3299097,1.0,EC Venous
KCNA5,0.9753489245311587,0.33015162,1.0,EC Venous
JPH2,0.9835644968067266,0.34457538,1.0,EC Venous
CDKN2A,0.9835644968067266,0.35080037,1.0,EC Venous
CXCL10,0.9837235278909315,0.3652647,1.0,EC Venous
PNMT,0.950774294202285,0.3664894,1.0,EC Venous
GZMK,0.9589264933810133,0.37237757,1.0,EC Venous
FABP3,0.9507213737488173,0.38131893,1.0,EC Venous
LZTS1,0.9589264933810133,0.39107314,1.0,EC Venous
MMP17,0.9589264933810133,0.4105412,1.0,EC Venous
TNFRSF9,0.9835644968067266,0.41330805,1.0,EC Venous
Z82206.1,0.9507213737488173,0.41600055,1.0,EC Venous
CCN4,0.9671359666641282,0.42346138,1.0,EC Venous
OMD,0.9753489245311587,0.42993903,1.0,EC Venous
MATN3,0.9671359666641282,0.43275145,1.0,EC Venous
MEDAG,0.9425214754501762,0.4370037,1.0,EC Venous
PTTG1,0.9671359666641282,0.4536294,1.0,EC Venous
VIT,0.9917818124836573,0.45910096,1.0,EC Venous
SAA4,0.9917818124836573,0.489724,1.0,EC Venous
PPP1R17,0.9917818124836573,0.50159276,1.0,EC Venous
PPP2R2B,0.9589264933810133,0.50244796,1.0,EC Venous
ADGRL3,0.9671359666641282,0.5067009,1.0,EC Venous
CCR4,0.9425214754501762,0.5118402,1.0,EC Venous
CSF2,0.9589264933810133,0.51571304,1.0,EC Venous
MEOX1,0.8808824799185357,0.5290861,1.0,EC Venous
STAC2,0.9835644968067266,0.5291962,1.0,EC Venous
CDO1,0.9425214754501762,0.54674023,1.0,EC Venous
TREML1,0.9671359666641282,0.54753006,1.0,EC Venous
RASD1,0.9425214754501762,0.5650794,1.0,EC Venous
IGHD,0.9507213737488173,0.59443974,1.0,EC Venous
CLCA2,0.9835644968067266,0.6040093,1.0,EC Venous
CLDN10,0.973971060935976,0.62057364,1.0,EC Venous
MFAP5,0.9507213737488173,0.6280316,1.0,EC Venous
STC1,0.9660764655944339,0.6388055,1.0,EC Venous
CXCR6,0.9261408050116013,0.655422,1.0,EC Venous
WNT11,0.9343276645081016,0.6762101,1.0,EC Venous
S100A3,0.9343276645081016,0.7394988,1.0,EC Venous
TYMS,0.9179617588423248,0.7400249,1.0,EC Venous
OR52N4,0.9917818124836573,0.7421217,1.0,EC Venous
PCLAF,0.9671359666641282,0.74233633,1.0,EC Venous
KIF5C,0.9753489245311587,0.75924844,1.0,EC Venous
PADI4,0.9507213737488173,0.78616506,1.0,EC Venous
TM4SF18,0.8709305518407602,0.7865348,1.0,EC Venous
CAMK4,0.9179617588423248,0.8012258,1.0,EC Venous
FOSL1,0.9261408050116013,0.82343054,1.0,EC Venous
RRM2,0.9507213737488173,0.869574,1.0,EC Venous
FGF9,0.9753489245311587,0.8910092,1.0,EC Venous
CHAC1,0.9500863453259084,0.8961849,1.0,EC Venous
NCR3,0.9589264933810133,0.9581236,1.0,EC Venous
CCR7,0.9343276645081016,0.9912941,1.0,EC Venous
RASD2,0.9507213737488173,1.249857,1.0,EC Venous
FAM111B,0.9671359666641282,1.2559855,1.0,EC Venous
IL4I1,0.8853408526083177,1.3054864,1.0,EC Venous
TOP2A,0.9343276645081016,1.3414907,1.0,EC Venous
AK5,0.9835644968067266,1.4076352,1.0,EC Venous
DTX1,0.9343276645081016,1.4280852,1.0,EC Venous
CCL8,0.9016305413434422,1.601532,1.0,EC Venous
NUSAP1,0.9016305413434422,1.6483225,1.0,EC Venous
PI16,0.9343276645081016,1.7035561,1.0,EC Venous
ZNF530,0.8423467375178616,1.706933,1.0,EC Venous
MKI67,0.9425214754501762,1.7085576,1.0,EC Venous
SLC2A4,0.9753489245311587,1.7595071,1.0,EC Venous
C2orf72,0.9671359666641282,1.8287845,1.0,EC Venous
TNIP3,0.9016305413434422,1.8856664,1.0,EC Venous
CBARP,0.8611034491644081,2.2192886,1.0,EC Venous
EDA2R,0.8529131523900069,2.2862465,1.0,EC Venous
PRRG3,0.9753489245311587,2.8645844,1.0,EC Venous
DEPDC1B,0.9753489245311587,3.4213624,1.0,EC Venous
CCN3,0.8690994806450059,6.485235,1.0,EC Venous
KLRC3,0.9567243633453717,0.25234464,1.0,AT2
SPP1,0.949520700027343,0.254896,1.0,AT2
CD163L1,0.9711417105858875,0.25624806,1.0,AT2
SYN2,0.9783542176988099,0.26172665,1.0,AT2
LOXL4,0.9711417105858875,0.26210356,1.0,AT2
CLEC4D,0.9639315628793279,0.2640632,1.0,AT2
CCDC89,0.9639315628793279,0.2645899,1.0,AT2
